condition,trial,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_alpha,true_rotation_shift,softmin_temperature,baseline_geometry_mae,baseline_weight_mae,baseline_alpha_error,baseline_fit_rmse,baseline_alpha_span_topk,baseline_geometry_dispersion_topk,baseline_weight_dispersion_topk,baseline_near_tie_diverse,marginalized_geometry_mae,marginalized_weight_mae,marginalized_alpha_error,marginalized_fit_rmse,marginalized_alpha_span_topk,marginalized_geometry_dispersion_topk,marginalized_weight_dispersion_topk,marginalized_near_tie_diverse,alpha_error_improvement_factor,alpha_span_reduction_factor,geometry_ratio_marginalized_over_baseline,weight_ratio_marginalized_over_baseline
full_clean,0,0.07473191925289527,-0.6130944629488481,1.2949298417854564,0.2090737071421406,0.49563704001624603,0.2952892528416134,1.2477239253421017,42,0.0001,0.11004030335617628,0.25521873133065265,0.4430400534471586,0.0107950028099497,0.502193603208597,0.06944550602814523,0.10569803159244388,0,0.11004030335617628,0.25521873133065265,0.4430400534471586,0.0107950028099497,0.502193603208597,0.06944550602814523,0.10569803159244388,0,1.0,1.0,1.0,1.0
full_clean,1,0.20448013198469242,0.43737503466125816,1.0237455766254115,0.39658471880436763,0.24310123551015828,0.3603140456854741,0.7730751084888957,8,0.0001,0.14286884681077658,0.08514377411360992,0.4936209171296203,0.004480264655915158,0.5510409935767877,0.06658738771673008,0.1349117390058464,0,0.14286884681077658,0.08514377411360992,0.4936209171296203,0.004480264655915158,0.5510409935767877,0.06658738771673008,0.1349117390058464,0,1.0,1.0,1.0,1.0
full_clean,2,0.1065035517043827,0.5813949587750752,0.7750701220130153,0.35281467108031045,0.12079794770876699,0.5263873812109227,1.7726642686154566,11,0.0001,0.1318320467740959,0.10354751788038967,0.020054707853800702,0.005880328356312136,0.10890530310417601,0.06497724330671072,0.18070574366053874,0,0.1318320467740959,0.10354751788038967,0.020054707853800702,0.005880328356312136,0.10890530310417601,0.06497724330671072,0.18070574366053874,0,1.0,1.0,1.0,1.0
full_clean,3,0.20275724404518214,0.3689715303154221,0.6942363444285558,0.27882078703744095,0.23877242673018675,0.4824067862323723,0.7169181648748002,18,0.0001,0.06980020853662702,0.199329574253763,0.6573815351288594,0.007781806453867245,0.7063468154547046,0.06227662379825277,0.19504038656422318,0,0.06980020853662702,0.199329574253763,0.6573815351288594,0.007781806453867245,0.7063468154547046,0.06227662379825277,0.19504038656422318,0,1.0,1.0,1.0,1.0
full_clean,4,0.2158442860710749,0.004964491459897191,0.5544650690711633,0.24340371262696658,0.16456508585579135,0.5920312015172421,0.6994028901366508,42,0.0001,0.06593014799456491,0.3960545400379598,0.7128517013659078,0.0029910769755668474,0.7366673066596121,0.059074316879418526,0.19779583367691664,0,0.06593014799456491,0.3960545400379598,0.7128517013659078,0.0029910769755668474,0.7366673066596121,0.059074316879418526,0.19779583367691664,0,1.0,1.0,1.0,1.0
full_clean,5,0.07350404919310304,-0.23547189487821316,0.8713244313311856,0.46517690126887073,0.404313388123303,0.13050971060782635,1.2617675118423866,51,0.0001,0.125848625691263,0.07307919957739066,0.008008390858617931,0.009012756696421044,0.502193603208597,0.05176271266780563,0.14086310984991612,0,0.125848625691263,0.07307919957739066,0.008008390858617931,0.009012756696421044,0.502193603208597,0.055360948631174405,0.12759828423625497,0,1.0,1.0,1.0,1.0
full_clean,6,0.08261212179665925,-0.2513503823178184,0.9578512187076841,0.16338132913967884,0.32932100834867756,0.5072976625116437,1.1791778336131382,53,0.0001,0.033017654078757515,0.033697241519156346,0.3320691544385047,0.00402900016622415,0.38343523501910515,0.07798019548234385,0.20934319122129263,0,0.033017654078757515,0.033697241519156346,0.3320691544385047,0.00402900016622415,0.38343523501910515,0.07798019548234385,0.20934319122129263,0,1.0,1.0,1.0,1.0
full_clean,7,0.16455951064272945,0.2291366229163157,1.2148844009058848,0.11161797621742157,0.8010700809416367,0.08731194284094179,0.7170407893261964,17,0.0001,0.07100060688767883,0.40334371656809836,0.6814580104567548,0.002746518284200867,0.6972692499751323,0.058736405594161746,0.1338175959093638,0,0.07100060688767883,0.40334371656809836,0.6814580104567548,0.002746518284200867,0.6972692499751323,0.058736405594161746,0.1338175959093638,0,1.0,1.0,1.0,1.0
full_clean,8,0.2078505466510599,-0.03968767188126356,0.9403185986104475,0.2549379252413817,0.3324831581463153,0.412578916612303,1.5441595780221826,24,0.0001,0.11579972788752585,0.030204614190048162,0.00169861400095761,0.00391606362662921,0.9662034069766171,0.07887649032983579,0.14850307805159338,0,0.11579972788752585,0.030204614190048162,0.00169861400095761,0.00391606362662921,0.9662034069766171,0.07887649032983579,0.14850307805159338,0,1.0,1.0,1.0,1.0
full_clean,9,0.16555181409374342,0.6459067816561908,1.3656578996964146,0.23164603277024454,0.2774942983663342,0.49085966886342125,1.7229911870788344,15,0.0001,0.06328314565849825,0.21969796550180387,1.1128884436405984,0.025159591402673043,1.1472791140788587,0.04820779099539505,0.132958052699974,0,0.06328314565849825,0.21969796550180387,1.1128884436405984,0.025159591402673043,1.1472791140788587,0.04820779099539505,0.132958052699974,0,1.0,1.0,1.0,1.0
