condition,baseline_geometry_mae_mean,marginalized_geometry_mae_mean,baseline_weight_mae_mean,marginalized_weight_mae_mean,baseline_alpha_error_mean,marginalized_alpha_error_mean,baseline_fit_rmse_mean,marginalized_fit_rmse_mean,baseline_alpha_span_topk_mean,marginalized_alpha_span_topk_mean,baseline_geometry_dispersion_topk_mean,marginalized_geometry_dispersion_topk_mean,baseline_weight_dispersion_topk_mean,marginalized_weight_dispersion_topk_mean,baseline_near_tie_diverse_fraction,marginalized_near_tie_diverse_fraction,alpha_error_improvement_factor_mean,alpha_span_reduction_factor_mean,alpha_error_ratio_of_means_baseline_over_marginalized,alpha_span_ratio_of_means_baseline_over_marginalized,geometry_ratio_of_means_marginalized_over_baseline,weight_ratio_of_means_marginalized_over_baseline,softmin_temperature_mean
full_clean,0.08285941769850284,0.08587805287030545,0.14749232186272096,0.1478757231207775,0.24999574335764096,0.24996378665661215,0.007729182815391057,0.007740167004716333,0.5922369283080219,0.5899743632720066,0.06806885803817916,0.06805095277334046,0.16498091514288998,0.16488430842220614,0.0,0.0,1.0013390600012841,1.011104662340577,1.0001278453229416,1.0038350226329618,1.0364308035905634,1.0025994658787283,0.0001
full_noisy,0.08430915368878107,0.08591570983421844,0.14615923880071047,0.15155770302990249,0.2646540127880116,0.2548095763514405,0.008580484001568864,0.008592604461054603,0.5274992365614282,0.5251404212786381,0.06764580985756848,0.06799137139370984,0.1722672823306747,0.17213302249321974,0.0,0.0,6.871171242475526,1.0097153847764802,1.0386344837487322,1.004491780078644,1.0190555363818241,1.0369354977043421,0.0001
partial_arc_noisy,0.08018165206096059,0.08245364247848132,0.14421212407311046,0.1472583155657477,0.12938055636835516,0.132524246141057,0.01692829738251968,0.018369712835297206,0.5220232391884017,0.5136183807379375,0.06701471585815205,0.06976754069433926,0.1715034801615608,0.1716530028243322,0.5,0.425,5.035547416094494,1.0356814476909029,0.9762783802644254,1.0163640141507173,1.0283355401032817,1.0211229916500844,0.0001
sparse_full_noisy,0.08350385055420054,0.0844734763053713,0.12727871636399765,0.1395668085680196,0.2733876152360293,0.23595511366707295,0.013285023067008257,0.014934711569974368,0.5526870078682022,0.5397994561455262,0.06845506693850056,0.0688935154685401,0.16676765696290272,0.16771929830574456,0.625,0.6,5.311776043079727,1.0807100419961033,1.158642467998268,1.0238747030512043,1.0116117489760714,1.0965447527682466,0.0004
sparse_partial_high_noise,0.09697157921280716,0.09030643332536938,0.11486075360535415,0.16122922375998877,0.28714095661631134,0.2602008444395012,0.050415576438647705,0.04357228950770413,0.5410245056090807,0.4255383746316547,0.07367590526539618,0.0719762086154506,0.16413269153228977,0.17078450526280078,0.85,0.6,5.700472437293433,1.942517971169842,1.1035358368449644,1.2713882880184202,0.9312670171864386,1.4036928950853862,0.0009
