method,split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_best_entropy,mean_candidate_count,mean_alpha_log_span_set,mean_geometry_span_norm_set,mean_ambiguity_ratio,mean_anchored_alpha_log_std,mean_anchored_alpha_log_span,mean_anchored_effective_count,best_alpha_bank_log_span,anchored_alpha_bank_log_span,best_alpha_abs_error_mean,anchored_alpha_abs_error_mean,alpha_abs_error_gain,anchored_beats_best_flag,alpha_point_recoverable_flag,alpha_point_unrecoverable_flag,ratio_anchored_span_over_std,ratio_candidate_times_anchored_span_over_std
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,nan,53.666666666666664,0.2588774487021825,0.8989686594503551,0.28804249014825434,0.0685697678386259,0.18832997560554252,30.18268627065844,0.0278963878996957,0.02598096967181155,0.11380016961722954,0.11694687019773668,-0.0031467005805071446,0,1,0,2.7465452894957805,147.39793053627355
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,nan,233.66666666666666,0.23588788470351427,0.8096967531176534,0.2922965921759519,0.04847293541390193,0.1272319644655821,129.79567996924257,0.0198309877174541,0.00756049583590173,0.11707051295614883,0.12796880075871805,-0.010898287802569226,0,1,0,2.624804145950033,613.3292354369911
one_shot_random,holdout,20260422,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.2823661528628415,37,nan,68.0,0.31604314827183894,0.9171914912356068,0.34545072489492007,0.07827219299132883,0.2195759052515709,36.97984651114498,0.1254290716154986,0.040577156156676814,0.1778024840317498,0.19112639230733997,-0.013323908275590157,0,0,1,2.8052861949403898,190.75946125594652
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.2823661528628415,37,nan,244.33333333333334,0.30963885187844403,0.854376408934508,0.36452823154183855,0.06088942139483929,0.15868324050170055,148.89804434449948,0.09945324312157891,0.029460542907176458,0.2084493344514512,0.17470292863305836,0.03374640581839283,1,0,1,2.606088779635883,636.7543584910342
one_shot_random,holdout,20260422,sparse_partial_high_noise,high_skew,0.8058417417559449,-0.5118742378742865,56,nan,105.66666666666667,0.5359993625804821,0.8928435888889491,0.6012130401958758,0.14376680060395808,0.393437074770804,56.146614713527555,0.3353918509790246,0.03898446120406315,0.15526228866288586,0.234927249445355,-0.07966496078246915,0,0,1,2.736633703896576,289.17096137840485
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,high_skew,0.8058417417559449,-0.5118742378742865,56,nan,222.66666666666666,0.49101521573569135,0.8567271341308077,0.5750729200948143,0.12127055865283014,0.3083149243972141,127.58241332447115,0.2965372172668461,0.050299117364253826,0.1540949266106212,0.23501824466993257,-0.08092331805931136,0,0,1,2.542372404974869,566.1015888410708
one_shot_random,holdout,20260423,sparse_partial_high_noise,low_skew,1.284002752037176,0.0928375717888188,29,nan,93.0,0.6512784479227797,0.911429719173959,0.7146077645286383,0.20787834328410396,0.5333571060929178,50.91989103406461,0.4451505627748159,0.057974989373590025,0.19563399328954553,0.24229089642475907,-0.046656903135213534,0,0,1,2.5657175014054725,238.6117276307089
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,low_skew,1.284002752037176,0.0928375717888188,29,nan,188.66666666666666,0.6323657300596286,0.8728101914384143,0.724745045323648,0.18936592435211272,0.47368188327235616,100.82368683812268,0.4528808222598041,0.12659099108621463,0.19303237905970924,0.19304805883608403,-1.5679776374788457e-05,0,0,1,2.5014103376390326,471.93275036789754
one_shot_random,holdout,20260423,sparse_partial_high_noise,mid_skew,1.248145134684595,-0.2693313050528414,37,nan,108.66666666666667,0.46451943018062564,0.9208637219406318,0.5050596569547766,0.12146290572132157,0.3303129818796095,55.956145006325166,0.013916015902685402,0.020894199814125318,0.13512684652906568,0.24747747124297417,-0.1123506247139085,0,0,1,2.719455600033211,295.514175203609
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,mid_skew,1.248145134684595,-0.2693313050528414,37,nan,258.3333333333333,0.42648184098397524,0.8904439274485539,0.47922331089553466,0.09589301959678433,0.2563842394335119,145.33333837164164,0.016634574831872112,0.04176599521034478,0.13358194076315985,0.2224747986489759,-0.08889285788581605,0,0,1,2.6736485912939267,690.692552750931
one_shot_random,holdout,20260423,sparse_partial_high_noise,high_skew,1.1892117130269413,-0.6618817448914281,0,nan,59.0,0.29481120339860994,0.8675239751519781,0.33984777072812067,0.0708036495590464,0.20030255356680957,31.712925555705265,0.1313046093489072,0.010244065444735719,0.1730784998578061,0.19049646732897896,-0.017417967471172857,0,0,1,2.828986245557609,166.91018848789892
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,high_skew,1.1892117130269413,-0.6618817448914281,0,nan,228.0,0.29058819915484885,0.8582392280693084,0.3391350917124815,0.06522777839831756,0.17492550137821095,128.02051552796877,0.1028390071269258,0.03728308549472674,0.19764996774966773,0.17613622542946727,0.021513742320200452,1,0,1,2.6817638587697017,611.4421597994921
one_shot_random,holdout,20260424,sparse_partial_high_noise,low_skew,0.7901446823273661,-0.111493954288097,51,nan,104.33333333333333,0.5695843033547379,0.9454537263171864,0.6042435984022979,0.17508382305606393,0.4417658773750847,51.20483971303929,0.3587434911263397,0.07769415149048119,0.28400104087990213,0.24629143977296644,0.03770960110693569,1,0,1,2.5231678583489585,263.2505132210747
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,low_skew,0.7901446823273661,-0.111493954288097,51,nan,212.0,0.5677123512633327,0.8554748687773791,0.6645592965305361,0.12925322830552324,0.3593600021356936,115.69954485959408,0.012662343187640895,0.038037170792528524,0.048341707675773025,0.3112751395923736,-0.26293343191660057,0,0,1,2.780278713859085,589.419087338126
one_shot_random,holdout,20260424,sparse_partial_high_noise,mid_skew,0.8649653549713395,-0.2613324334384325,2,nan,89.0,0.40716972998940343,0.899532013916259,0.45262874273558973,0.11330540427673842,0.3057848405353352,49.31605025868949,0.012019367153740107,0.039726611645090996,0.2637815152083488,0.1362310712956453,0.1275504439127035,1,1,0,2.698766575067472,240.19022518100502
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,mid_skew,0.8649653549713395,-0.2613324334384325,2,nan,222.66666666666666,0.4214228402923294,0.8985995440659639,0.46930630653868394,0.1022945432167827,0.27395737432650696,120.93550491937519,0.2619646444394703,0.09140683351195558,0.18879045141996728,0.14952187501755057,0.03926857640241671,1,1,0,2.6781230262479707,596.3287271778814
