method,split,condition,geometry_skew_bin,count,alpha_point_recoverable_rate,mean_anchored_alpha_log_std,mean_anchored_alpha_bank_log_span,mean_anchored_alpha_abs_error,anchored_beats_best_rate
one_shot_random,holdout,sparse_partial_high_noise,high_skew,3,0.0,0.15753216766508568,0.030070568698273056,0.19674283655498528,0.0
one_shot_random,holdout,sparse_partial_high_noise,low_skew,3,0.3333333333333333,0.1505106447262646,0.05388337017862758,0.20184306879848737,0.3333333333333333
one_shot_random,holdout,sparse_partial_high_noise,mid_skew,3,0.3333333333333333,0.10434683432979626,0.033732655871964376,0.19161164494865313,0.3333333333333333
one_shot_random,confirmation,sparse_partial_high_noise,high_skew,3,0.0,0.20633196115143268,0.0378701492194761,0.17546701762253178,0.6666666666666666
one_shot_random,confirmation,sparse_partial_high_noise,low_skew,3,0.0,0.14531555846332836,0.047691153794687684,0.16628420805122876,0.3333333333333333
one_shot_random,confirmation,sparse_partial_high_noise,mid_skew,3,0.3333333333333333,0.16210946535020823,0.03396090859010513,0.1508947618238167,0.0
persistent_mode_informed,holdout,sparse_partial_high_noise,high_skew,3,0.3333333333333333,0.13695715477454964,0.07341452785946911,0.18633838165694702,0.3333333333333333
persistent_mode_informed,holdout,sparse_partial_high_noise,low_skew,3,0.3333333333333333,0.12236402935717931,0.05739621923821497,0.21076399972905854,0.0
persistent_mode_informed,holdout,sparse_partial_high_noise,mid_skew,3,0.3333333333333333,0.08635899473613544,0.054211123876492275,0.18223320076652827,0.6666666666666666
persistent_mode_informed,confirmation,sparse_partial_high_noise,high_skew,3,0.3333333333333333,0.15961677190472276,0.06878555423758957,0.17673793293113935,1.0
persistent_mode_informed,confirmation,sparse_partial_high_noise,low_skew,3,0.6666666666666666,0.12883640901804072,0.08729470854450944,0.14626501415983054,0.3333333333333333
persistent_mode_informed,confirmation,sparse_partial_high_noise,mid_skew,3,0.6666666666666666,0.12912679080996922,0.06264011231456619,0.13767394813822809,0.3333333333333333
legacy_random_5seed,holdout,sparse_partial_high_noise,high_skew,3,0.0,0.16595301754976166,0.045245549242686665,0.22094397250437872,1.0
legacy_random_5seed,holdout,sparse_partial_high_noise,low_skew,3,0.3333333333333333,0.1531266209796796,0.05852016847142479,0.1998620189422905,0.6666666666666666
legacy_random_5seed,holdout,sparse_partial_high_noise,mid_skew,3,0.3333333333333333,0.10944229405410277,0.025964171312321666,0.1831935666972233,0.6666666666666666
legacy_random_5seed,confirmation,sparse_partial_high_noise,high_skew,3,0.3333333333333333,0.21163137767109866,0.06132628978128227,0.18010213052197152,0.3333333333333333
legacy_random_5seed,confirmation,sparse_partial_high_noise,low_skew,3,0.3333333333333333,0.15192141735042178,0.06280908283449714,0.15531840114909767,0.3333333333333333
legacy_random_5seed,confirmation,sparse_partial_high_noise,mid_skew,3,0.3333333333333333,0.16482872705162774,0.03987435710477826,0.1575536020227134,0.0
