method,split,count,alpha_point_recoverable_rate,mean_anchored_alpha_log_std,mean_anchored_alpha_bank_log_span,mean_best_alpha_bank_log_span,mean_anchored_alpha_abs_error,mean_best_alpha_abs_error,mean_alpha_abs_error_gain,anchored_beats_best_rate,anchored_std_vs_unrecoverable_corr,ambiguity_ratio_vs_unrecoverable_corr
one_shot_random,holdout,9,0.2222222222222222,0.13746321557371552,0.03922886491628834,0.16192451138353747,0.1967325167673753,0.17076994313820137,-0.02596257362917393,0.2222222222222222,0.4017769323148068,0.4678272094082705
one_shot_random,confirmation,9,0.1111111111111111,0.1712523283216564,0.03984073720142297,0.21624906537476948,0.16421532916585907,0.14731416332861627,-0.01690116583724281,0.3333333333333333,0.20392239347972713,0.17419629533494288
persistent_mode_informed,holdout,9,0.3333333333333333,0.11522672628928815,0.06167395699139212,0.14048183399168634,0.1931118607175113,0.142830494929471,-0.050281365788040294,0.3333333333333333,-0.12428819086507994,-0.02664085383387389
persistent_mode_informed,confirmation,9,0.5555555555555556,0.13919332391091088,0.0729067916988884,0.193486496284751,0.15355896507639932,0.17598700955769034,0.02242804448129101,0.5555555555555556,-0.4218644662315954,-0.36238495076216665
legacy_random_5seed,holdout,9,0.2222222222222222,0.14284064419451467,0.043243296342144376,0.23012607945393826,0.20133318604796416,0.25514583791498624,0.05381265186702205,0.7777777777777778,0.3726118974547343,0.41148453501175797
legacy_random_5seed,confirmation,9,0.3333333333333333,0.17612717402438272,0.05466990990685256,0.34786193484638656,0.16432471123126088,0.14501303898576168,-0.019311672245499168,0.2222222222222222,0.3093393235325228,0.2634308039151667
