condition,canonical_alpha_span_topk_mean,pose_alpha_span_topk_mean,canonical_alpha_best_error_mean,pose_alpha_best_error_mean,canonical_geometry_dispersion_topk_mean,pose_geometry_dispersion_topk_mean,canonical_weight_dispersion_topk_mean,pose_weight_dispersion_topk_mean,canonical_gap_topk_mean,pose_gap_topk_mean,canonical_near_tie_diverse_fraction,pose_near_tie_diverse_fraction,alpha_span_ratio_pose_over_canonical_mean,alpha_error_ratio_pose_over_canonical_mean,geometry_dispersion_ratio_pose_over_canonical_mean,weight_dispersion_ratio_pose_over_canonical_mean
full_clean,0.12309542480931604,0.5922369283080219,0.01583324076697574,0.24999574335764096,0.07105232067342662,0.06806885803817916,0.1472059417570075,0.16498091514288998,0.0007035118030614409,0.00032388338990209126,0.0,0.0,5.569681788047009,28.886192254933245,0.9903094355941959,1.163136311282402
full_noisy,0.13267156429590238,0.5274992365614282,0.019937669458971567,0.2646540127880116,0.07383531641866548,0.06764580985756848,0.15559734324089933,0.1722672823306747,0.0006393943204287819,0.0003084244111639024,0.0,0.0,4.328575509904337,30.983293290177784,0.9285506997111245,1.1435773210915852
partial_arc_noisy,0.1572343588777236,0.5220232391884017,0.03162291978659829,0.12938055636835516,0.07242907307648902,0.06701471585815205,0.1579626196789248,0.1715034801615608,0.0005698629052808692,0.00018274880089773528,0.0,0.5,3.7418925232404545,11.375512356383629,0.9620336270103678,1.1162378882005348
sparse_full_noisy,0.1322785921381597,0.5526870078682022,0.024941521737875644,0.2733876152360293,0.07460155121116718,0.06845506693850056,0.1527220369989168,0.16676765696290272,0.0006351061632977969,0.00022964930056444433,0.0,0.625,4.637148461803447,18.782086343718557,0.9598106210679032,1.13394884071826
sparse_partial_high_noise,0.14069448072700536,0.5410245056090807,0.038419366771035704,0.28714095661631134,0.07532904580827171,0.07367590526539618,0.15441316905306715,0.16413269153228977,0.00042677243743113435,0.0001480998171315882,0.125,0.85,4.635505782543315,13.170941503949006,1.0054146849160506,1.0890940046480762
