condition,true_e,mae,median_abs_error,p95_abs_error,mean_e_hat,std_e_hat
full_low_noise,0.1,3.394499417930732e-05,2.8770575391807995e-05,8.174485120088985e-05,0.0999968009226725,4.2841517855977154e-05
full_low_noise,0.15,5.360391224010131e-05,4.501898002856608e-05,0.00012603038963871348,0.14999911317855588,6.677398423623507e-05
full_low_noise,0.2,6.791149122080957e-05,5.9215840048032486e-05,0.00016595642581081338,0.19999756657826326,8.450444789143586e-05
full_low_noise,0.25,8.783959720704208e-05,6.85424603621837e-05,0.00022348931305563022,0.24999936126079955,0.0001110711636153488
full_low_noise,0.3,0.00010256060579534516,8.334708825172288e-05,0.0002564757240827386,0.3000018825244307,0.00013120562633611558
full_low_noise,0.35,0.00012493965886591185,0.00010798766580447094,0.0002998752752666949,0.3499994399992545,0.00015469453291740024
full_low_noise,0.4,0.00013147023702479794,0.0001098532929744711,0.0003446105405943172,0.39999214228674657,0.00016864322502059168
full_low_noise,0.45,0.00015324715422033831,0.00011986415465986555,0.00036867067112380793,0.44999451944328095,0.00019298885068596804
full_low_noise,0.5,0.00015568906782325662,0.00013145603333380995,0.0004084737462656528,0.49999740019504124,0.00019942642163450053
full_low_noise,0.55,0.0001783968166111712,0.0001525570091077677,0.00043722284247553163,0.5500049044046394,0.00022467839748827878
full_low_noise,0.6,0.0001965616233851303,0.00016777391340239145,0.00047671335439469775,0.5999943377839952,0.0002451978746964895
full_low_noise,0.65,0.00018899545209830355,0.00015397249375853628,0.00047520061343948574,0.649984324170414,0.00023990878764344503
full_low_noise,0.7,0.00021272825007639625,0.00018336619351810857,0.0005084889939614975,0.6999939719040648,0.00026190803789728946
full_low_noise,0.75,0.00020888509002502128,0.00017135676242469033,0.000527710642765733,0.7499903155636702,0.00026357561764258107
full_low_noise,0.8,0.0002075726407571369,0.00018341755785850067,0.0004947782588636483,0.8000020179899693,0.00025613510308328176
full_low_noise,0.85,0.00020199305453827068,0.00017776687601578356,0.00046979693505186355,0.849993571479623,0.00024915551444892783
full_low_noise,0.9,0.00018278499022224577,0.00015994751858144918,0.0004390933560849075,0.8999891813852265,0.0002294686989553626
full_medium_noise,0.1,0.00013874496339220967,0.00011583024297736472,0.0003457386191115831,0.09997022890969068,0.00017273714948462047
full_medium_noise,0.15,0.00021779571240019614,0.00018722316231187253,0.0005322941974186284,0.149963888579683,0.00026976502504160154
full_medium_noise,0.2,0.0002944477408687949,0.0002557193392876689,0.0007499571314098464,0.1999713691985421,0.0003677039493885889
full_medium_noise,0.25,0.00035538647041683994,0.0002855590366534766,0.0008729793320411335,0.24996339960093109,0.00044738759728874574
full_medium_noise,0.3,0.00040680778206206037,0.0003219561444625374,0.0010438822671673064,0.2999683408839279,0.0005218915623254078
full_medium_noise,0.35,0.00047715998853413747,0.0003991573606531851,0.0011600951085552237,0.3499073909958999,0.0005905040946175088
full_medium_noise,0.4,0.0005414330331571465,0.00043211909662732584,0.001411143993669145,0.3999371765373786,0.0006886201092323156
full_medium_noise,0.45,0.000616469760399229,0.0005142911823293184,0.0015236307432447377,0.44991407498696456,0.0007665744491252906
full_medium_noise,0.5,0.0006645646026384293,0.0005438542893535236,0.0016783948576126087,0.49988598257579886,0.0008408240476056094
full_medium_noise,0.55,0.0007404628586270904,0.0006431434923803714,0.0018389963825716888,0.5498803215944528,0.0009066380133293622
full_medium_noise,0.6,0.0007792497868843456,0.0006571796477925496,0.0018533645297727106,0.599881402242653,0.0009719915389229802
full_medium_noise,0.65,0.0007620433454485722,0.0006480014416271884,0.001887328916178543,0.6499273439280123,0.0009567150530014286
full_medium_noise,0.7,0.0008380319305194208,0.0006629607628916845,0.0021238580498985074,0.6997379160071056,0.001023212557871648
full_medium_noise,0.75,0.0008547592735453463,0.0007009502026921188,0.0021714648566059478,0.7497636608798195,0.0010394527848929258
full_medium_noise,0.8,0.0008152311254300874,0.0006777241349524288,0.0019738168600674983,0.799859888898128,0.001006389099474148
full_medium_noise,0.85,0.0008568923715993924,0.0007462358810946812,0.0021051838631677136,0.8497894139162057,0.0010587514239920165
full_medium_noise,0.9,0.0007638036194690525,0.0006600253278059576,0.0019353080908133978,0.8998304457225356,0.0009409483318647614
partial_arc_medium_noise,0.1,0.00023131928826089203,0.00020090588125275255,0.0005716050219117264,0.09998272460024343,0.0002898569126254294
partial_arc_medium_noise,0.15,0.0003382872667001819,0.0002793673553396908,0.0008528117710914701,0.14998671805263628,0.0004272845690763995
partial_arc_medium_noise,0.2,0.00042698036463639083,0.0003475367214013786,0.001053928331663253,0.19999166086117612,0.0005383146856878176
partial_arc_medium_noise,0.25,0.0005468521293007123,0.00044959537433747476,0.001349674735584322,0.24993465354850045,0.0006826269476932885
partial_arc_medium_noise,0.3,0.0006469741299485781,0.0005505564641732075,0.0015784706828524172,0.29994579640216595,0.0008125184197236533
partial_arc_medium_noise,0.35,0.0007671332390528226,0.0006108442872034825,0.001962588464993156,0.34993046188701715,0.0009751746173194566
partial_arc_medium_noise,0.4,0.0008303455763770391,0.0006894747148854241,0.00209259106974188,0.3998485446798041,0.0010422947390904902
partial_arc_medium_noise,0.45,0.0009116129362855722,0.0007621709558243983,0.002168908545407208,0.4499849383755872,0.0011314548471593148
partial_arc_medium_noise,0.5,0.0010433889249379395,0.0009128862009222805,0.002362641219622148,0.4999592909703047,0.001290206315881969
partial_arc_medium_noise,0.55,0.001127579188816602,0.001000746375508621,0.002660226286643563,0.5498036602500634,0.0013918874308986864
partial_arc_medium_noise,0.6,0.0011907630677392578,0.0009962440537610862,0.002904574271707183,0.6000187015528918,0.0015086629070453943
partial_arc_medium_noise,0.65,0.0012875779551628087,0.0011115855000683461,0.0031543880725919955,0.6499820500863193,0.0016114988271514093
partial_arc_medium_noise,0.7,0.0012711739051942616,0.0010722485353986677,0.003055670265728155,0.6998514105117996,0.001581238793373143
partial_arc_medium_noise,0.75,0.001284875976779922,0.0010880780999586448,0.0031177754954483973,0.7498927496190193,0.0016087618579550763
partial_arc_medium_noise,0.8,0.001289074222140731,0.0010555620262809873,0.003096309210102958,0.7997486099256456,0.0015985363631427153
partial_arc_medium_noise,0.85,0.0012777729234367428,0.0010929463552969976,0.002951320734576135,0.8498252885194,0.0015781113303905798
partial_arc_medium_noise,0.9,0.0012047998676768383,0.0010211741991326129,0.0029055958122788375,0.899922094455031,0.0015019301050794645
sparse_full_medium_noise,0.1,0.0004614346189548487,0.0003870349675662785,0.00111727315746803,0.09995552758522032,0.0005788207028452824
sparse_full_medium_noise,0.15,0.0006903669584718101,0.0005731941953503877,0.001723801454796378,0.14995486929728577,0.0008694543723599815
sparse_full_medium_noise,0.2,0.0009347392106604966,0.0007944518980626258,0.0022835831811861495,0.19988341499669285,0.0011569651091951425
sparse_full_medium_noise,0.25,0.0012097694848261322,0.0010691292110412282,0.0029333616031166562,0.2499466893842433,0.001505052092646446
