condition,trial,true_alpha,alpha_strength,alpha_strength_bin,true_t,geometry_skew,geometry_skew_bin,baseline_geometry_mae,baseline_weight_mae,baseline_alpha_error,baseline_fit_rmse,harmonic_geometry_mae,harmonic_weight_mae,harmonic_alpha_error,harmonic_fit_rmse,harmonic_alignment_clean_rmse,harmonic_improves_alpha,pca_geometry_mae,pca_weight_mae,pca_alpha_error,pca_fit_rmse,pca_alignment_clean_rmse,pca_improves_alpha,oracle_alpha_error,oracle_fit_rmse
full_clean,0,0.766702199513243,0.265656819615817,strong,0.16570142626714357,0.16570142626714357,low_skew,0.05604401139233551,0.1748196834420115,0.5023220013651661,0.010336879559801187,0.05604401139233551,0.1748196834420115,0.5023220013651661,0.010336879559801187,0.188385472366816,0,0.05604401139233551,0.1748196834420115,0.5023220013651661,0.010336879559801187,0.188385472366816,0,0.004069341951271399,0.0127174277234534
full_clean,1,1.624161167974143,0.4849914781787764,strong,-0.5425767655133641,0.5425767655133641,high_skew,0.07774389156808888,0.22180543603565014,1.0058704423121974,0.012164232018516219,0.06515039860505324,0.08451737722971857,0.992666137090241,0.015326207108726354,0.09169123674349687,1,0.06515039860505324,0.08451737722971857,0.992666137090241,0.015326207108726354,0.09169123674349687,1,0.0013987891487579063,0.018402686632706423
full_clean,2,1.7507511588566473,0.5600449294733895,strong,-0.09808684475587656,0.09808684475587656,low_skew,0.10891464669958227,0.10002846364873601,0.03469189361766434,0.006886931081642995,0.10891464669958227,0.10002846364873601,0.03469189361766434,0.006886931081642995,0.062379631050091526,0,0.10891464669958227,0.10002846364873601,0.03469189361766434,0.006886931081642995,0.062379631050091526,0,0.03469189361766434,0.006886931081642995
full_clean,3,0.7875741522355545,0.2387977511463131,moderate,0.03558260904277335,0.03558260904277335,low_skew,0.12086276395357898,0.17058116850996893,0.0024860760464052722,0.004680242771542551,0.12086276395357898,0.17058116850996893,0.0024860760464052722,0.004680242771542551,0.16871253445946147,0,0.12086276395357898,0.17058116850996893,0.0024860760464052722,0.004680242771542551,0.16871253445946147,0,0.009378707419243626,0.005590096419060363
full_clean,4,0.6878588621056557,0.3741716043816419,strong,0.02159851173572842,0.02159851173572842,low_skew,0.008758551196787145,0.30860926181335097,0.0026318462017900224,0.008847798176404282,0.008758551196787145,0.30860926181335097,0.0026318462017900224,0.008847798176404282,0.2620940707839704,0,0.008758551196787145,0.30860926181335097,0.0026318462017900224,0.008847798176404282,0.2620940707839704,0,0.013135948616189386,0.011845131419601628
full_clean,5,0.9093172463182392,0.09506123984238543,weak,0.36923399207618823,0.36923399207618823,mid_skew,0.03847840044689969,0.21846511266067145,0.17359100193991395,0.005399346422024036,0.03847840044689969,0.21846511266067145,0.17359100193991395,0.005399346422024035,0.069965878763867,0,0.03847840044689969,0.21846511266067145,0.17359100193991395,0.005399346422024035,0.069965878763867,0,0.023695154803671237,0.011734368571118441
full_clean,6,1.7200946757114592,0.5423793333287855,strong,0.2940854119409102,0.2940854119409102,mid_skew,0.10754550386263233,0.17653018477287793,0.013776842493816943,0.005649011916516374,0.10754550386263233,0.17653018477287793,0.013776842493816943,0.005649011916516375,0.055659768625413095,0,0.10754550386263233,0.17653018477287793,0.013776842493816943,0.005649011916516375,0.055659768625413095,0,0.013776842493816943,0.005649011916516374
full_clean,7,1.427711039643138,0.35607249025014354,strong,0.5857684104447208,0.5857684104447208,high_skew,0.05801239400199879,0.20768439942013425,0.748594961990192,0.010165577597713771,0.05801239400199879,0.20768439942013425,0.748594961990192,0.010165577597713771,0.06996794139930397,0,0.05801239400199879,0.20768439942013425,0.748594961990192,0.010165577597713771,0.06996794139930397,0,0.030898463710439694,0.015882682762424574
full_clean,8,0.6738089959449712,0.39480859703770615,strong,-0.6788883653156826,0.6788883653156826,high_skew,0.21676247577041516,0.2025845434842116,0.8147771240280554,0.005932531216193818,0.21676247577041516,0.2025845434842116,0.8147771240280554,0.005932531216193818,0.2767153687186026,0,0.21676247577041516,0.2025845434842116,0.8147771240280554,0.005932531216193818,0.2767153687186026,0,0.000913917544495102,0.008259897739068428
full_clean,9,1.753712604324874,0.5617350289426845,strong,-0.40471839655027475,0.40471839655027475,mid_skew,0.14902918692714026,0.1309873671747322,0.03156346763965945,0.008124338409437295,0.14902918692714026,0.1309873671747322,0.03156346763965945,0.008124338409437295,0.05775681128797057,0,0.14902918692714026,0.1309873671747322,0.03156346763965945,0.008124338409437295,0.05775681128797057,0,0.03156346763965945,0.008124338409437295
