condition,alpha_strength_bin,geometry_skew_bin,count,baseline_alpha_error_mean,oracle_alpha_error_mean,harmonic_alpha_error_mean,pca_alpha_error_mean,harmonic_alignment_clean_rmse_mean,pca_alignment_clean_rmse_mean,oracle_headroom_mean,harmonic_fraction_of_oracle_gain_mean,pca_fraction_of_oracle_gain_mean,harmonic_improves_alpha_fraction,pca_improves_alpha_fraction
full_clean,weak,low_skew,2,0.08647425293284122,0.02471797303553147,0.12852541542748463,0.12852541542748463,0.026501922240913512,0.028059807326585372,0.06175627989730975,-0.6809212369101147,-0.6809212369101147,0.0,0.0
full_clean,weak,mid_skew,4,0.1300325887913769,0.023642300095537777,0.13120589322811066,0.13120589322811066,0.057143470539459146,0.057375729997808204,0.10639028869583914,-0.011028303909279962,-0.011028303909279962,0.0,0.0
full_clean,weak,high_skew,2,0.07933966224184241,0.01958171464341374,0.0816862711153099,0.0816862711153099,0.0650942511169982,0.0639604317270393,0.05975794759842867,-0.03926856540048234,-0.03926856540048234,0.0,0.0
full_clean,moderate,low_skew,5,0.020842843950004464,0.022221370224572136,0.020214207151202212,0.020214207151202212,0.06581279194346866,0.06581279194346866,-0.0013785262745676721,nan,nan,0.2,0.2
full_clean,moderate,mid_skew,3,0.08155701943340103,0.012763862169903403,0.08155701943340103,0.08155701943340103,0.005234919359588426,0.005234919359588426,0.06879315726349763,0.0,0.0,0.0,0.0
full_clean,moderate,high_skew,5,0.11850468509762901,0.011895829067962382,0.11566488776882752,0.11844405591883941,0.08894855627304646,0.08894227909583885,0.10660885602966663,0.02663753682912839,0.0005687067758491762,0.2,0.2
full_clean,strong,low_skew,10,0.21911097039963834,0.032589570998944536,0.17573918186167165,0.17573918186167165,0.08655492428582567,0.08655492428582567,0.1865213994006938,0.2325298259466381,0.2325298259466381,0.2,0.2
full_clean,strong,mid_skew,13,0.31563559028280364,0.019383436517973925,0.3166191841785585,0.36914248337886973,0.12400866484755912,0.12400866484755912,0.2962521537648297,-0.0033201240337164214,-0.1806126720636125,0.0,0.0
full_clean,strong,high_skew,16,0.2655010802485177,0.02375904983286367,0.26615923037804323,0.26615923037804323,0.06611021489275039,0.06611021489275039,0.24174203041565404,-0.002722530825086124,-0.002722530825086124,0.0625,0.0625
full_noisy,weak,low_skew,5,0.009053266473584598,0.012992403902966765,0.010137204651417875,0.010630429708043222,0.03940895813002205,0.026024500502974814,-0.0039391374293821675,nan,nan,0.2,0.0
full_noisy,weak,mid_skew,5,0.04971642353725527,0.010147333444532669,0.05727651639696687,0.04971642353725527,0.027087973151220312,0.014975135518330329,0.0395690900927226,-0.191060568792357,0.0,0.2,0.0
full_noisy,weak,high_skew,5,0.009485366973660137,0.02117654273479974,0.014436262954431655,0.009485366973660137,0.043486390383577586,0.052367197411777325,-0.011691175761139604,nan,nan,0.4,0.0
full_noisy,moderate,low_skew,1,0.36234608248187195,0.005837859193418948,0.36234608248187195,0.36234608248187195,0.04949674078067517,0.04949674078067517,0.356508223288453,0.0,0.0,0.0,0.0
full_noisy,moderate,mid_skew,8,0.17514736428102357,0.018324391243813395,0.17514736428102357,0.17514736428102357,0.04694428994308156,0.049031645292106324,0.15682297303721016,0.0,0.0,0.0,0.0
full_noisy,moderate,high_skew,9,0.17687111695986474,0.0184101703367286,0.1767511129135861,0.17687111695986474,0.07909950494762387,0.07882718435594015,0.15846094662313615,0.0007573099166448213,0.0,0.1111111111111111,0.0
full_noisy,strong,low_skew,3,0.29111448159124254,0.017560397902638192,0.017560397902638192,0.017560397902638192,0.0373602251028427,0.0373602251028427,0.27355408368860434,1.0,1.0,0.3333333333333333,0.3333333333333333
full_noisy,strong,mid_skew,11,0.30993636328968105,0.01521429729712508,0.2612910683963902,0.30993636328968105,0.1029432959954948,0.1029432959954948,0.29472206599255596,0.16505481097747024,0.0,0.09090909090909091,0.0
full_noisy,strong,high_skew,13,0.11941711459113548,0.02872994996231725,0.11941711459113548,0.11941711459113548,0.10100815022554709,0.10100815022554709,0.09068716462881823,0.0,0.0,0.0,0.0
partial_arc_noisy,weak,low_skew,1,0.1530678418031426,0.02332803146509632,0.13783819189319801,0.19021719707358653,0.037049863439345236,0.06409763905078351,0.12973981033804627,0.11738609660568058,-0.28633736378717267,1.0,0.0
partial_arc_noisy,weak,mid_skew,3,0.07084352603826327,0.0323141325643224,0.11056904828057756,0.04021702060459231,0.03674092758857101,0.03407928062144478,0.038529393473940875,-1.0310445781915154,0.7948867779189157,0.3333333333333333,0.6666666666666666
partial_arc_noisy,weak,high_skew,3,0.07369978476040491,0.019047904421009714,0.037241511236878765,0.023323476424132832,0.04795687079603054,0.03437849125405617,0.05465188033939519,0.667100075918991,0.9217671564716298,1.0,1.0
