condition,trial,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_alpha,rotation_shift,canonical_best_score,canonical_gap_top2,canonical_gap_topk,canonical_alpha_best_error,canonical_alpha_span_topk,canonical_alpha_std_topk,canonical_geometry_dispersion_topk,canonical_weight_dispersion_topk,canonical_near_tie_diverse,pose_best_score,pose_gap_top2,pose_gap_topk,pose_alpha_best_error,pose_alpha_span_topk,pose_alpha_std_topk,pose_geometry_dispersion_topk,pose_weight_dispersion_topk,pose_near_tie_diverse,alpha_span_ratio_pose_over_canonical,alpha_error_ratio_pose_over_canonical,geometry_dispersion_ratio_pose_over_canonical,weight_dispersion_ratio_pose_over_canonical
full_clean,0,0.07473191925289527,-0.6130944629488481,1.2949298417854564,0.2090737071421406,0.49563704001624603,0.2952892528416134,1.2477239253421017,42,0.0002461900013782206,3.7529279404594146e-05,0.0005516723720112898,0.025241219331009646,0.17725543165470614,0.060249638025581184,0.07716891900782341,0.13462224451456117,0,0.00011653208566682197,5.5518195746664354e-05,0.0002550983475563364,0.4430400534471586,0.502193603208597,0.22045929397088582,0.06944550602814523,0.10569803159244388,0,2.833163410116937,17.552244510742383,0.8999154960445256,0.7851453671240138
full_clean,1,0.20448013198469242,0.43737503466125816,1.0237455766254115,0.39658471880436763,0.24310123551015828,0.3603140456854741,0.7730751084888957,8,0.0001967118678234774,3.987729392632052e-05,0.00048420895744981374,0.003820906192295692,0.07462831842481488,0.019801228761964506,0.05531023903405367,0.17075988633552322,0,2.007277138704257e-05,9.544366062130583e-05,0.0003423297211606278,0.4936209171296203,0.5510409935767877,0.24894735841591664,0.06658738771673008,0.1349117390058464,0,7.383805574179459,129.18948864144738,1.2038889883613275,0.7900669290723268
full_clean,2,0.1065035517043827,0.5813949587750752,0.7750701220130153,0.35281467108031045,0.12079794770876699,0.5263873812109227,1.7726642686154566,11,0.00046142688845857957,5.636381479268165e-05,0.0008698793835501505,0.03879275041018038,0.09593019200828956,0.030453690295434998,0.0802674517833132,0.16998546649955237,0,3.4578261578048596e-05,0.00015622384240568537,0.0007327796571416722,0.020054707853800702,0.10890530310417601,0.0324904387292795,0.06497724330671072,0.18070574366053874,0,1.1352557607178064,0.5169705071630535,0.8095092327350902,1.0630658454616448
full_clean,3,0.20275724404518214,0.3689715303154221,0.6942363444285558,0.27882078703744095,0.23877242673018675,0.4824067862323723,0.7169181648748002,18,0.00016639236808479587,1.5325076250732216e-05,0.00023945184792816874,0.01101038882694616,0.06157709246872467,0.019257369850994927,0.07607594482101596,0.1069222702633625,0,6.05565116854499e-05,6.4796094708164e-05,0.00015394297786120549,0.6573815351288594,0.7063468154547046,0.33033464798339895,0.06227662379825277,0.19504038656422318,0,11.47093484177516,59.70556948179919,0.8186112436036269,1.824132485064291
full_clean,4,0.2158442860710749,0.004964491459897191,0.5544650690711633,0.24340371262696658,0.16456508585579135,0.5920312015172421,0.6994028901366508,42,1.9430669139381933e-05,7.884593462179294e-05,0.00031792188060091487,0.008264613283665123,0.0500422975595608,0.014863128035825218,0.08682109964944812,0.13056507075326682,0,8.946541473766122e-06,9.681085824938723e-06,0.00011787384991337305,0.7128517013659078,0.7366673066596121,0.35304154584230457,0.059074316879418526,0.19779583367691664,0,14.720892976243226,86.25348542016454,0.6804142900509097,1.51492150646246
full_clean,5,0.07350404919310304,-0.23547189487821316,0.8713244313311856,0.46517690126887073,0.404313388123303,0.13050971060782635,1.2617675118423866,51,0.00015105085506073268,3.786881777184038e-05,0.0005110648104237586,0.020230646396118157,0.10115204948471823,0.028857256209198462,0.05878136558384913,0.13647480452835578,0,8.122978326888235e-05,1.1525132268083783e-05,0.00010768988956369063,0.008008390858617931,0.502193603208597,0.23471252123755765,0.05176271266780563,0.14086310984991612,0,4.964739773112229,0.39585442312681496,0.880597314364334,1.0321546921186362
full_clean,6,0.08261212179665925,-0.2513503823178184,0.9578512187076841,0.16338132913967884,0.32932100834867756,0.5072976625116437,1.1791778336131382,53,0.000191033008421137,0.00012268194962503293,0.0003375670653630911,0.0411215710081454,0.11891845722781946,0.041721551369879026,0.08414191079814981,0.13615047005775419,0,1.623284233943423e-05,4.0370327848851875e-06,0.00021504394782301988,0.3320691544385047,0.38343523501910515,0.1566496688414458,0.07798019548234385,0.20934319122129263,0,3.224354267265127,8.075303211852683,0.9267699621109454,1.5375869883702242
full_clean,7,0.16455951064272945,0.2291366229163157,1.2148844009058848,0.11161797621742157,0.8010700809416367,0.08731194284094179,0.7170407893261964,17,8.542772779643784e-05,9.638243976067801e-05,0.0003807520932990044,0.015811239518377485,0.07933199912676958,0.022390154002328588,0.06981557934003195,0.17059524807763804,0,7.543362685449676e-06,3.18421071063087e-06,0.00019019271586262487,0.6814580104567548,0.6972692499751323,0.32626948036799314,0.058736405594161746,0.1338175959093638,0,8.789256008296501,43.099594416028715,0.8413080024458459,0.784415729144245
full_clean,8,0.2078505466510599,-0.03968767188126356,0.9403185986104475,0.2549379252413817,0.3324831581463153,0.412578916612303,1.5441595780221826,24,1.533555432780832e-05,7.464202128540696e-05,0.0006727178371030219,0.00169861400095761,0.21364865645030373,0.0597143470817456,0.09089965287020302,0.10929194534373095,0,1.5335554327808317e-05,7.464202128540696e-05,0.0003090110965926553,0.00169861400095761,0.9662034069766171,0.4418647509675715,0.07887649032983579,0.14850307805159338,0,4.522394023111318,1.0,0.8677314801461863,1.3587742224236254
full_clean,9,0.16555181409374342,0.6459067816561908,1.3656578996964146,0.23164603277024454,0.2774942983663342,0.49085966886342125,1.7229911870788344,15,0.0010820941100360157,0.0002574351528196973,0.0022331152671333674,0.0033520454452611315,0.2518724935936445,0.09002280962450548,0.07595378054211815,0.10862436103782346,0,0.0006330050395494593,0.00044908907048655643,0.0017712178752903368,1.1128884436405984,1.1472791140788587,0.509245521858376,0.04820779099539505,0.132958052699974,0,4.554999625841669,332.00279107609236,0.634699032112861,1.2240168911435754
