condition,baseline_geometry_mae_mean,baseline_weight_mae_mean,baseline_alpha_error_mean,baseline_fit_rmse_mean,harmonic_geometry_mae_mean,harmonic_weight_mae_mean,harmonic_alpha_error_mean,harmonic_fit_rmse_mean,pca_geometry_mae_mean,pca_weight_mae_mean,pca_alpha_error_mean,pca_fit_rmse_mean,harmonic_alpha_improvement_vs_baseline,pca_alpha_improvement_vs_baseline,harmonic_geometry_ratio_vs_baseline,pca_geometry_ratio_vs_baseline
full_clean,0.07645032924173205,0.16328303395779314,0.2251446743431012,0.008462458399224415,0.07565081458381248,0.15233080920966477,0.21670629622897503,0.009086758875318549,0.07659666624221444,0.15818887145268787,0.23376878982172747,0.00930635619440913,1.0389392383191767,0.9631083538345601,0.9895420377407199,1.0019141448040032
full_noisy,0.0785014533800181,0.15376626281775424,0.2385766161579471,0.011088035426493153,0.07662705170554304,0.15894415677678203,0.23607549497594432,0.012777485992268005,0.07472491912559506,0.1530288082835377,0.21440039938572347,0.011361020787996634,1.010594581967339,1.112761995040544,0.9761227137362508,0.9518921740704444
partial_arc_noisy,0.08505614086024485,0.11944981018982093,0.2408238222473818,0.013980498346067316,0.11568376414074559,0.14301413115873263,0.35951686991835485,0.07951024113798595,0.09225974864993972,0.18102936217664328,0.30697884692628724,0.061325996540308306,0.6698540246583481,0.78449647152792,1.3600871491551065,1.0846923892483091
sparse_full_noisy,0.07603298078770276,0.1439437218670368,0.21526405606011964,0.017151022747775274,0.08212912401131187,0.18178571743143318,0.3013094368200192,0.06862680005061354,0.09814188363161874,0.16460973990104358,0.2731908211589946,0.06126499730428253,0.7144285234873113,0.7879622571024737,1.080177617139996,1.2907804299511532
sparse_partial_high_noise,0.09618258697357375,0.17204210940908798,0.24826125638135405,0.047599019449542056,0.10458187863750268,0.1887905134532574,0.3127808691768729,0.09949676651265386,0.09463380866415663,0.1853457890383317,0.2826757477239137,0.0913153531548535,0.7937226373041568,0.8782545314917787,1.087326531009575,0.9838975186865929
