branch,scope_class,control_object,established_dimension,collapse_error,supporting_metric,supporting_metric_label,secondary_metric,secondary_metric_label,notes
symmetric ellipse,exact one-knob base case,e = c / a,1,3.973642985026043e-08,0.9890752216796184,PC1 explained variance ratio,0.9999999999999999,abs Isomap Spearman rho with e,full normalized family is one-dimensional in boundary space
hyperbola twin,exact one-knob twin,lambda = a / c,1,3.973642985026042e-08,2.220446049250313e-16,normalized openness scale spread,1.4210854715202004e-14,vertex-curvature scale spread,deficit-side twin stays one-knob under its own bounded ratio
asymmetry,structured one-knob failure,"(e, w)",2,3.71958791396172e-08,0.020038824637657396,minimum one-knob family distance,1.145022003120344,maximum one-knob family distance,"e alone fails; fixed (e, w) restores collapse"
raw anisotropy,structured one-knob failure,"(e, alpha) raw; e after whitening",2,7.947285970052084e-08,0.05693833002551881,minimum raw one-knob family distance,3.973642985026043e-08,maximum whitened one-knob collapse error,raw family needs alpha; whitening restores the original one-knob base case
equal-weight three-source,low-dimensional control manifold,normalized source triangle,3,2.3332837228305747e-13,0.9900625301713757,random-family PC3 cumulative variance,0.995670300974838,equilateral-slice PC1 variance,broad family is about three-parameter; equilateral slice is near one-parameter
weighted three-source,low-dimensional control manifold,normalized source triangle + weight simplex,5,2.4475716268756817e-12,0.9999638847702222,random-weighted PC5 cumulative variance,0.9987657634554472,equilateral-weighted PC2 cumulative variance,broad family is about five-parameter; equilateral weighted slice is near two-parameter
