representation,condition,geometry_penalty,alpha_penalty,selectivity,canonical_fit_improvement_factor,pose_free_fit_improvement_factor
radial,full_clean,1.0102087131368953,10.078102283843863,9.97625753251463,14.133434200143947,15.862278629601287
radial,full_noisy,1.2972573152739044,11.664897917526273,8.991969272544308,12.062111685382629,13.718290545891374
radial,partial_arc_noisy,1.0582178071284696,5.547888277200688,5.242671442333009,9.34037553541089,13.509481855619986
radial,sparse_full_noisy,0.8111631203107933,7.023258612662478,8.65825681272535,13.020414375081518,9.022162187210235
radial,sparse_partial_high_noise,0.9932452462836165,1.793013844065922,1.8052075766531634,4.249836070047995,4.689573161600914
support,full_clean,0.9311325898126269,10.958706354619709,11.76922220800471,14.478577048603535,16.361941648684855
support,full_noisy,1.3584096989343524,10.581021536794834,7.789271193437041,12.233962080955624,14.256791022130383
support,partial_arc_noisy,1.004010742755919,5.556323976207203,5.534128012371256,10.136188112636393,16.759986811457413
support,sparse_full_noisy,0.785034897116393,9.389626294581104,11.960775666242712,13.012972294274629,9.763628533732248
support,sparse_partial_high_noise,0.8158303705572435,3.9784580053885787,4.876575019720263,5.502330366963088,3.931653736225667
