condition,alpha_strength_bin,geometry_skew_bin,count,marginalized_alpha_error_mean,conditioned_alpha_error_mean,family_alpha_error_mean,hybrid_alpha_error_mean,oracle_combo_alpha_error_mean,hybrid_vs_marginalized_alpha_ratio,hybrid_over_oracle_combo_alpha_mean,hybrid_choose_family_fraction,oracle_combo_choose_family_fraction,hybrid_matches_oracle_combo_fraction,mean_hybrid_score_margin
sparse_full_noisy,moderate,low_skew,4,0.11524663240825059,0.10732996574158396,0.10433781175566195,0.10433781175566195,0.10369846617866779,1.1045528985995499,0.0006393455769941603,1.0,0.25,0.25,5.998186581524694e-05
sparse_full_noisy,moderate,mid_skew,4,0.11392311030164445,0.2246791769481836,0.20883521262628377,0.11510831573984365,0.11488000082342248,0.9897035637209923,0.0002283149164211684,0.75,0.5,0.75,5.224768140151058e-06
sparse_full_noisy,moderate,high_skew,4,0.14403554181458234,0.13760344874883573,0.01721484355907721,0.012944356340308605,0.012944356340308605,11.12728497484707,0.0,0.75,0.75,1.0,2.5296450002591786e-05
sparse_partial_high_noise,moderate,low_skew,4,0.2686980026784799,0.20105792822523863,0.24743334410100734,0.24743334410100734,0.17896221153812095,1.0859409577748416,0.0684711325628864,1.0,0.25,0.25,6.994088484765538e-05
sparse_partial_high_noise,moderate,mid_skew,4,0.2162996860639532,0.2021888771028087,0.2162996860639532,0.2162996860639532,0.19879968606395315,1.0,0.017500000000000043,1.0,0.25,0.25,1.3785734941242946e-05
sparse_partial_high_noise,moderate,high_skew,4,0.3177850735637151,0.11587860240189843,0.21244150333891196,0.20535817000557866,0.10653681511448265,1.5474674007617146,0.098821354891096,0.75,0.5,0.75,1.1791341676817274e-05
