condition,alpha_strength_bin,geometry_skew_bin,trial_in_cell,true_alpha,true_t,true_rotation_shift,baseline_geometry_mae,baseline_weight_mae,baseline_alpha_error,baseline_fit_rmse,marginalized_geometry_mae,marginalized_weight_mae,marginalized_alpha_error,marginalized_fit_rmse,conditioned_geometry_mae,conditioned_weight_mae,conditioned_alpha_error,conditioned_fit_rmse,conditioned_score,conditioned_seed_rank,family_geometry_mae,family_weight_mae,family_alpha_error,family_fit_rmse,family_score,family_seed_rank,hybrid_geometry_mae,hybrid_weight_mae,hybrid_alpha_error,hybrid_fit_rmse,hybrid_score,hybrid_choose_family,hybrid_score_margin,oracle_combo_alpha_error,oracle_combo_choose_family,hybrid_matches_oracle_combo,oracle_pose_geometry_mae,oracle_pose_weight_mae,oracle_pose_alpha_error,oracle_pose_fit_rmse
sparse_full_noisy,moderate,low_skew,0,0.8281148971377308,-0.02429252745133885,18,0.16179376782146473,0.034648877242275805,0.02146066672266289,0.024426315165918994,0.0521110514087731,0.11475645012778087,0.035986664974327454,0.027761200331500507,0.0521110514087731,0.11475645012778087,0.035986664974327454,0.027761200331500507,0.0018330625161183888,1,0.11142854990098522,0.034648877242275805,0.02146066672266289,0.012287132021904979,0.0017280576999324118,2,0.11142854990098522,0.034648877242275805,0.02146066672266289,0.012287132021904979,0.0017280576999324118,1,0.000105004816185977,0.02146066672266289,1,1,0.16179376782146473,0.034648877242275805,0.02146066672266289,0.02153964965893668
sparse_full_noisy,moderate,low_skew,1,0.8594985190077352,0.017798300301169356,4,0.12270416406933321,0.11148632363128713,0.03396212585724201,0.019672784111410654,0.12270416406933321,0.11148632363128713,0.03396212585724201,0.019672784111410654,0.12270416406933321,0.11148632363128713,0.03396212585724212,0.01967278411141071,0.0015729812863155596,1,0.12251132114471763,0.11148632363128713,0.03396212585724201,0.01912610414348389,0.001572214935091184,1,0.12251132114471763,0.11148632363128713,0.03396212585724201,0.01912610414348389,0.001572214935091184,1,7.663512243756727e-07,0.03396212585724201,0,0,0.0716190610552824,0.12236019211740023,0.021953690323584296,0.014211326248369143
sparse_full_noisy,moderate,low_skew,2,1.1628828694876643,0.04671199788075486,36,0.08902984208653325,0.3180805791895396,0.3258051202593627,0.016688718879222127,0.08902984208653325,0.3180805791895396,0.3258051202593627,0.016688718879222127,0.08902984208653325,0.3180805791895396,0.3258051202593626,0.016688718879222093,0.0016426136571541245,1,0.01839517249629331,0.3180805791895396,0.3258051202593627,0.016028591723757007,0.00161711303514273,1,0.01839517249629331,0.3180805791895396,0.3258051202593627,0.016028591723757007,0.00161711303514273,1,2.5500622011394563e-05,0.3258051202593626,0,0,0.10676880118470812,0.18444474211411901,0.05741653513361933,0.016279557699452222
sparse_full_noisy,moderate,low_skew,3,1.2603639110539575,0.04856223973500107,51,0.05638873803467193,0.1372372483223067,0.06523261854207019,0.03395647985946089,0.05638873803467193,0.1372372483223067,0.06523261854207019,0.03395647985946089,0.05638873803467193,0.1372372483223067,0.03356595187540368,0.029287153304168076,0.0020451999634717353,1,0.07054517204481577,0.07730931659855263,0.03612333418338021,0.011771242761629714,0.0019365442896324947,3,0.07054517204481577,0.07730931659855263,0.03612333418338021,0.011771242761629714,0.0019365442896324947,1,0.00010865567383924052,0.03356595187540368,0,0,0.05638873803467193,0.1372372483223067,0.06523261854207019,0.03395647985946089
sparse_full_noisy,moderate,mid_skew,0,1.2293728232604186,0.4053114757844846,19,0.03959170687137766,0.2928646194766357,0.422677545425689,0.007146820690555044,0.03959170687137766,0.2928646194766357,0.422677545425689,0.007146820690555044,0.03959170687137766,0.2928646194766357,0.422677545425689,0.007146820690555044,0.0015722218062551338,1,0.08466949316711218,0.0407726877661562,0.006814174259977879,0.003906077598214192,0.0015376273217930113,3,0.08466949316711218,0.0407726877661562,0.006814174259977879,0.003906077598214192,0.0015376273217930113,1,3.459448446212253e-05,0.006814174259977879,1,1,0.08765741928658861,0.0407726877661562,0.006814174259977879,0.005884812611090933
sparse_full_noisy,moderate,mid_skew,1,1.2600326448670152,0.29276956122274206,18,0.04120412149765027,0.051451383120399014,0.008991556011394009,0.005659514133820073,0.04120412149765027,0.051451383120399014,0.008991556011394009,0.005659514133820073,0.10951800201560612,0.19776137357610465,0.47320546883719294,0.004978560597098714,0.001640060056714566,2,0.0605934204974396,0.19776137357610465,0.4498721355038596,0.011687807259898554,0.0016244913569392388,2,0.0605934204974396,0.19776137357610465,0.4498721355038596,0.011687807259898554,0.0016244913569392388,1,1.5568699775327186e-05,0.4498721355038596,1,1,0.04120412149765027,0.051451383120399014,0.008991556011394009,0.005659514133820073
sparse_full_noisy,moderate,mid_skew,2,1.1359221827561117,0.29499331345660407,12,0.03346367116440709,0.12090626214262068,0.25446997342479216,0.010221943878334012,0.0717799985481185,0.27557929884889193,0.003156990974174434,0.012346833595888543,0.07392935387540155,0.23851279899231223,0.0003667089918395483,0.006907930656954803,0.0014660620485125158,2,0.07584135872607185,0.26439722750837175,0.001279968657524222,0.005846695660001804,0.0014655894608686893,3,0.07584135872607185,0.26439722750837175,0.001279968657524222,0.005846695660001804,0.0014655894608686893,1,4.7258764382645396e-07,0.0003667089918395483,0,0,0.0655845934337011,0.06298166038261048,0.024099745670377093,0.010310667925403898
sparse_full_noisy,moderate,mid_skew,3,0.8159978208068581,-0.26409282047069704,48,0.08736156113965432,0.18233219119718735,0.020866348795320344,0.018467831853101954,0.08736156113965432,0.18233219119718735,0.020866348795320344,0.018467831853101954,0.08736156113965432,0.18233219119718735,0.002466984538012862,0.015127665350672082,0.0014417416800454274,1,0.02264578118724588,0.05641517983537974,0.37737457208377334,0.01899094494209008,0.0014714783793660993,2,0.08736156113965432,0.18233219119718735,0.002466984538012862,0.015127665350672082,0.0014417416800454274,0,-2.9736699320671942e-05,0.002466984538012862,0,1,0.05588860562412776,0.07804062682837572,0.009302542972128514,0.010922972136673391
sparse_full_noisy,moderate,high_skew,0,1.2829845787767118,0.5642529042637765,42,0.061226827311635985,0.12167770824509065,0.5089866283886242,0.01161287562860486,0.061226827311635985,0.12167770824509065,0.5089866283886242,0.01161287562860486,0.061226827311635985,0.12167770824509065,0.5089866283886242,0.01161287562860486,0.0015363999129254095,1,0.06210925158560345,0.07680872866741234,0.016288553158195773,0.004325510979749722,0.0014426837296242661,2,0.06210925158560345,0.07680872866741234,0.016288553158195773,0.004325510979749722,0.0014426837296242661,1,9.371618330114334e-05,0.016288553158195773,1,1,0.08763361101970413,0.1492389751392517,0.038827956264590346,0.026598040398729584
sparse_full_noisy,moderate,high_skew,1,1.2258326128740453,-0.6517225495163158,16,0.1136584729855054,0.13182328030781623,0.02942471476735542,0.013468420697776833,0.05669745127470982,0.05444398273895745,0.044009432558947514,0.023895784239517305,0.05669745127470982,0.05444398273895745,0.012342765892281005,0.02035275361480749,0.0014055132663923337,1,0.08738928860642846,0.13182328030781623,0.02942471476735542,0.016409526545940863,0.0014157647150873102,2,0.05669745127470982,0.05444398273895745,0.012342765892281005,0.02035275361480749,0.0014055132663923337,0,-1.025144869497654e-05,0.012342765892281005,0,1,0.05669745127470982,0.05444398273895745,0.044009432558947514,0.023895784239517305
sparse_full_noisy,moderate,high_skew,2,1.2767886860745101,0.5254765400033514,49,0.14042125698787208,0.16451353823393927,0.010092660455994107,0.011222469538129087,0.14042125698787208,0.16451353823393927,0.010092660455994107,0.011222469538129087,0.14042125698787208,0.16451353823393927,0.013240672877339321,0.012476763531455102,0.0015538212977548004,1,0.11938924398428048,0.16451353823393927,0.010092660455994107,0.007793386204695393,0.001540971960442818,1,0.11938924398428048,0.16451353823393927,0.010092660455994107,0.007793386204695393,0.001540971960442818,1,1.2849337311982272e-05,0.010092660455994107,1,1,0.06491014691703016,0.12836300544144263,0.04502384896679201,0.02357247595208993
sparse_full_noisy,moderate,high_skew,3,1.1521326195850496,-0.5656671757810996,54,0.06010259758809405,0.3864428655995624,0.013053445854763535,0.014900210252696134,0.06010259758809405,0.3864428655995624,0.013053445854763535,0.014900210252696134,0.03472802776298437,0.3511703902945979,0.01584372783709842,0.013924701304514038,0.0011858381608396246,3,0.07632637448535073,0.3864428655995624,0.013053445854763535,0.014695866302950058,0.0011809664327474066,1,0.07632637448535073,0.3864428655995624,0.013053445854763535,0.014695866302950058,0.0011809664327474066,1,4.871728092218069e-06,0.013053445854763535,1,1,0.06010259758809405,0.3864428655995624,0.013053445854763535,0.012844790783658787
sparse_partial_high_noise,moderate,low_skew,0,1.2569188878635538,-0.15229024484509088,20,0.1122815540832562,0.13495985965575538,0.06354649497292231,0.04434795479614336,0.08681814958467321,0.2137532696168772,0.11971673644991787,0.049164444172217804,0.08681814958467321,0.2137532696168772,0.11971673644991787,0.049164444172217804,0.0018858102664589078,1,0.05686014394738692,0.2137532696168772,0.11971673644991787,0.050421426981781085,0.001884194107244275,1,0.05686014394738692,0.2137532696168772,0.11971673644991787,0.050421426981781085,0.001884194107244275,1,1.6161592146328712e-06,0.11971673644991787,0,0,0.017528810082632396,0.1113752018670064,0.0991780973043761,0.047525441316102826
sparse_partial_high_noise,moderate,low_skew,1,0.8624122499001882,0.18510904879854398,54,0.057751631660185494,0.03210321908150743,0.028402121454842222,0.024763911781043972,0.05069636784038845,0.10985359798988441,0.3068266771659277,0.08083190709537237,0.05836492427344012,0.1552258779531046,0.03626637935296284,0.07568995353617634,0.0021831250193977197,3,0.06362356919772508,0.08877442476208874,0.3101509096045084,0.06393860823501629,0.002177651551368178,2,0.06362356919772508,0.08877442476208874,0.3101509096045084,0.06393860823501629,0.002177651551368178,1,5.473468029541535e-06,0.03626637935296284,0,0,0.057751631660185494,0.03210321908150743,0.028402121454842222,0.020992609960538432
sparse_partial_high_noise,moderate,low_skew,2,0.7857583886376794,0.16742103563674596,22,0.13990065619462624,0.13518384285533636,0.37219704889420824,0.041953704412035255,0.13990065619462624,0.13518384285533636,0.37219704889420824,0.041953704412035255,0.13990065619462624,0.13518384285533636,0.37219704889420824,0.041953704412035255,0.0029650441890907257,1,0.20307596713699402,0.13518384285533636,0.37219704889420824,0.058296294843916525,0.002811954218512045,1,0.20307596713699402,0.13518384285533636,0.37219704889420824,0.058296294843916525,0.002811954218512045,1,0.0001530899705786807,0.37219704889420824,0,0,0.03618904959727066,0.0875778358280274,0.020936889197050168,0.010680118986162215
