family,rho,t,h,w1,w2,w3,S1,S2,mean_boundary_collapse_error,max_boundary_collapse_error,mean_simplex_loop_error,max_simplex_loop_error
balanced,0.1,0.0,1.0,0.2,0.35,0.45,0.75,1.0,1.995196096288378e-13,3.1287087978030883e-13,6.838624438368824e-15,1.2164955643601086e-14
balanced,0.1,0.0,1.0,0.2,0.35,0.45,0.75,1.5,3.8112041687117247e-13,5.975748821760831e-13,1.3060155717761926e-14,2.3145237874413306e-14
balanced,0.1,0.0,1.0,0.2,0.35,0.45,0.75,2.5,4.980495089228898e-13,7.807590218197345e-13,1.7061636994939717e-14,3.026295938797452e-14
balanced,0.1,0.0,1.0,0.2,0.35,0.45,0.75,4.0,5.733886707040138e-13,8.989014579643683e-13,1.9644467913188283e-14,3.4818028267292964e-14
balanced,0.1,0.0,1.0,0.2,0.35,0.45,1.0,1.5,1.8160082727595964e-13,2.8481884002169537e-13,6.226113911896395e-15,1.1039219754541939e-14
balanced,0.1,0.0,1.0,0.2,0.35,0.45,1.0,2.5,2.985299155306769e-13,4.68223608951422e-13,1.0226439262495418e-14,1.8130085613491324e-14
balanced,0.1,0.0,1.0,0.2,0.35,0.45,1.0,4.0,3.7386907545057894e-13,5.862593233105879e-13,1.2809104589317643e-14,2.270177039409634e-14
balanced,0.1,0.0,1.0,0.2,0.35,0.45,1.5,2.5,1.169291198323507e-13,1.8344272015102106e-13,4.006479276116522e-15,7.171473574860103e-15
balanced,0.1,0.0,1.0,0.2,0.35,0.45,1.5,4.0,1.9226826664198633e-13,3.0148919316467904e-13,6.587558502552063e-15,1.177166939064367e-14
balanced,0.1,0.0,1.0,0.2,0.35,0.45,2.5,4.0,7.53391839498474e-14,1.1852539796865898e-13,2.5890369734677755e-15,4.611102534756203e-15
offset,0.14,0.25,1.15,0.2,0.35,0.45,0.75,1.0,5.035522878457918e-13,7.872425078208811e-13,2.5263611868259617e-14,4.2991845620034704e-14
offset,0.14,0.25,1.15,0.2,0.35,0.45,0.75,1.5,9.616723070131232e-13,1.5033736927368948e-12,4.825003926792827e-14,8.209815888857686e-14
offset,0.14,0.25,1.15,0.2,0.35,0.45,0.75,2.5,1.3502771907916913e-12,2.11088388704638e-12,6.774458868294933e-14,1.152345083474673e-13
offset,0.14,0.25,1.15,0.2,0.35,0.45,0.75,4.0,1.565841362139576e-12,2.4475716268756817e-12,7.856518720175455e-14,1.3364989840561783e-13
offset,0.14,0.25,1.15,0.2,0.35,0.45,1.0,1.5,4.581200239281524e-13,7.162445004771325e-13,2.2988469463939845e-14,3.912087091851676e-14
offset,0.14,0.25,1.15,0.2,0.35,0.45,1.0,2.5,8.467249059898874e-13,1.3237546946133996e-12,4.2482827014016394e-14,7.224268226837276e-14
offset,0.14,0.25,1.15,0.2,0.35,0.45,1.0,4.0,1.0622890771780667e-12,1.6604424344443378e-12,5.330304282157841e-14,9.065808893578675e-14
offset,0.14,0.25,1.15,0.2,0.35,0.45,1.5,2.5,3.886048905212e-13,6.075101944247533e-13,1.949568131244096e-14,3.316972447220451e-14
offset,0.14,0.25,1.15,0.2,0.35,0.45,1.5,4.0,6.041690596467216e-13,9.441993847799234e-13,3.031604611318536e-14,5.162005801423194e-14
offset,0.14,0.25,1.15,0.2,0.35,0.45,2.5,4.0,2.1556417806793328e-13,3.3712939938458884e-13,1.0823928246305431e-14,1.8501626038905898e-14
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,0.75,1.0,1.3173980170901168e-13,2.064944391097865e-13,8.032324726988682e-15,1.6489054637940597e-14
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,0.75,1.5,3.2591949861486966e-13,5.100458462301507e-13,1.9887029500570194e-14,4.073407558685236e-14
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,0.75,2.5,4.786161824447986e-13,7.48859431216145e-13,2.9198708597695766e-14,5.985245816667637e-14
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,0.75,4.0,5.695118301466031e-13,8.914329391543088e-13,3.473976253308436e-14,7.117627710279181e-14
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,1.0,1.5,1.9417973902446036e-13,3.041862783994026e-13,1.1857819606376103e-14,2.425387906314767e-14
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,1.0,2.5,3.4687640915466585e-13,5.428726082987005e-13,2.116943704512876e-14,4.3372232274074586e-14
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,1.0,4.0,4.377720634105509e-13,6.855733703705109e-13,2.671043208844209e-14,5.471096383751958e-14
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,1.5,2.5,1.526967264356248e-13,2.3909732230235024e-13,9.314544642846241e-15,1.9129532544869435e-14
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,1.5,4.0,2.4359235856969305e-13,3.813870931394278e-13,1.4854344631124426e-14,3.048220631236561e-14
skewed,0.16,-0.55,0.85,0.2,0.35,0.45,2.5,4.0,9.08958066825159e-14,1.427007620720908e-13,5.545706553174706e-15,1.1414157777163169e-14
tall,0.18,0.45,1.45,0.2,0.35,0.45,0.75,1.0,4.908652683397463e-13,7.669653146975859e-13,3.709455039402251e-14,6.484189593884907e-14
tall,0.18,0.45,1.45,0.2,0.35,0.45,0.75,1.5,9.425966902248672e-13,1.4728240916490912e-12,7.122006914944666e-14,1.2443478022517148e-13
tall,0.18,0.45,1.45,0.2,0.35,0.45,0.75,2.5,1.3312059617700707e-12,2.0799866232269884e-12,1.005816139645921e-13,1.757087885491582e-13
tall,0.18,0.45,1.45,0.2,0.35,0.45,0.75,4.0,1.5502581398782685e-12,2.4224314628316447e-12,1.1713138666335055e-13,2.045849602675898e-13
tall,0.18,0.45,1.45,0.2,0.35,0.45,1.0,1.5,4.5173142660428504e-13,7.05987303899472e-13,3.412777472903457e-14,5.960907766256158e-14
tall,0.18,0.45,1.45,0.2,0.35,0.45,1.0,2.5,8.403406970953101e-13,1.3131498354853875e-12,6.348925138729849e-14,1.108829653029677e-13
tall,0.18,0.45,1.45,0.2,0.35,0.45,1.0,4.0,1.059392875250047e-12,1.6555946750826879e-12,8.003885324651391e-14,1.3975914344727526e-13
tall,0.18,0.45,1.45,0.2,0.35,0.45,1.5,2.5,3.8860927650236394e-13,6.071625316088096e-13,2.936271660749905e-14,5.1366445252313004e-14
tall,0.18,0.45,1.45,0.2,0.35,0.45,1.5,4.0,6.076614531699401e-13,9.496073711842927e-13,4.591254194945422e-14,8.021939493207282e-14
tall,0.18,0.45,1.45,0.2,0.35,0.45,2.5,4.0,2.1905218757646628e-13,3.424448396520576e-13,1.6552909795006194e-14,2.894740211368655e-14
