condition,baseline_geometry_mae_mean,spectral_geometry_mae_mean,baseline_weight_mae_mean,spectral_weight_mae_mean,baseline_alpha_error_mean,spectral_alpha_error_mean,baseline_fit_rmse_mean,spectral_fit_rmse_mean,baseline_alpha_span_topk_mean,spectral_alpha_span_topk_mean,baseline_geometry_dispersion_topk_mean,spectral_geometry_dispersion_topk_mean,baseline_weight_dispersion_topk_mean,spectral_weight_dispersion_topk_mean,baseline_near_tie_diverse_fraction,spectral_near_tie_diverse_fraction,alpha_error_improvement_factor_mean,alpha_span_reduction_factor_mean,alpha_error_ratio_of_means_baseline_over_spectral,alpha_span_ratio_of_means_baseline_over_spectral,geometry_ratio_of_means_spectral_over_baseline,weight_ratio_of_means_spectral_over_baseline,geometry_error_ratio_spectral_over_baseline_mean,weight_error_ratio_spectral_over_baseline_mean,spectral_design_condition_mean
full_clean,0.08285941769850284,0.07898879092404812,0.14749232186272096,0.1551516413119723,0.24999574335764096,0.3003939609564187,0.007729182815391057,0.020148634615074917,0.5922369283080219,0.5723500995257026,0.06806885803817916,0.06465303888199793,0.16498091514288998,0.17191870271969525,0.0,0.55,45.70674863402156,1.3947302879460994,0.8322262623445699,1.0347459165269635,0.953286821438468,1.0519302927265615,1.2862785519797526,1.7339654084680127,1.4142135623730967
full_noisy,0.08430915368878107,0.08583555204429053,0.14615923880071047,0.14379885609275833,0.2646540127880116,0.3931973910063114,0.008580484001568864,0.02080856401626454,0.5274992365614282,0.5758536841695596,0.06764580985756848,0.06396299181217964,0.1722672823306747,0.17279464932289762,0.0,0.625,10.831717186264475,1.0120111225118207,0.6730818129557821,0.9160299761251618,1.0181047761568571,0.9838506089158651,1.5415754022105026,1.4757584090546338,1.4142135623730967
partial_arc_noisy,0.08018165206096059,0.10317212206849873,0.14421212407311046,0.12927604986734292,0.12938055636835516,0.4908701907416145,0.01692829738251968,0.12538528012620315,0.5220232391884017,1.1702554313171698,0.06701471585815205,0.05032406779473523,0.1715034801615608,0.14796485482010446,0.5,0.0,0.4825778268210569,0.4459626072007752,0.26357387107350105,0.4460763225006727,1.286729811828508,0.8964298300037834,1.6511352579244245,1.1556852501317671,6949.846138368569
sparse_full_noisy,0.08350385055420054,0.09216806279309654,0.12727871636399765,0.1624353269008964,0.2733876152360293,0.23415286532975052,0.013285023067008257,0.048714818062747245,0.5526870078682022,0.5791621149845092,0.06845506693850056,0.05683665709198819,0.16676765696290272,0.16131122371443363,0.625,0.475,22.759657437109958,1.3865710554547683,1.16756040909867,0.9542872255775655,1.1037582360740628,1.2762175133535778,1.3727552031176997,2.0763685375981824,45.85606979137525
sparse_partial_high_noise,0.09697157921280716,0.09465714893708613,0.11486075360535415,0.1220883002237509,0.28714095661631134,0.5824022620494576,0.050415576438647705,0.13630127483658905,0.5410245056090807,1.171103405932298,0.07367590526539618,0.05040597980984475,0.16413269153228977,0.14776408444288558,0.85,0.0,1.2029670355643935,0.4619617448225252,0.4930285737659572,0.4619784238253317,0.976132901057103,1.062924422760011,1.524502016828208,2.8994544234189954,3660386.066194189
