condition,trial,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_alpha,true_rotation_shift,spectral_design_condition,baseline_geometry_mae,baseline_weight_mae,baseline_alpha_error,baseline_fit_rmse,baseline_alpha_span_topk,baseline_geometry_dispersion_topk,baseline_weight_dispersion_topk,baseline_near_tie_diverse,spectral_geometry_mae,spectral_weight_mae,spectral_alpha_error,spectral_fit_rmse,spectral_alpha_span_topk,spectral_geometry_dispersion_topk,spectral_weight_dispersion_topk,spectral_near_tie_diverse,alpha_error_improvement_factor,alpha_span_reduction_factor,geometry_error_ratio_spectral_over_baseline,weight_error_ratio_spectral_over_baseline
full_clean,0,0.07473191925289527,-0.6130944629488481,1.2949298417854564,0.2090737071421406,0.49563704001624603,0.2952892528416134,1.2477239253421017,42,1.4142135623730967,0.11004030335617628,0.25521873133065265,0.4430400534471586,0.0107950028099497,0.502193603208597,0.06944550602814523,0.10569803159244388,0,0.0554406527146836,0.036146131547669706,0.4564852052594536,0.022329769577576816,0.5007630477602705,0.07110752040604802,0.15498298262185628,1,0.9705463580037536,1.0028567512214106,0.5038213365809652,0.1416280511983269
full_clean,1,0.20448013198469242,0.43737503466125816,1.0237455766254115,0.39658471880436763,0.24310123551015828,0.3603140456854741,0.7730751084888957,8,1.4142135623730967,0.14286884681077658,0.08514377411360992,0.4936209171296203,0.004480264655915158,0.5510409935767877,0.06658738771673008,0.1349117390058464,0,0.09360399201604352,0.15172507848717012,0.0009228418991918952,0.010747857089129367,0.5451110086618147,0.05866662423262184,0.1686388778512494,0,534.8921820323386,1.0108784904739503,0.6551742672075869,1.7819867637617137
full_clean,2,0.1065035517043827,0.5813949587750752,0.7750701220130153,0.35281467108031045,0.12079794770876699,0.5263873812109227,1.7726642686154566,11,1.4142135623730967,0.1318320467740959,0.10354751788038967,0.020054707853800702,0.005880328356312136,0.10890530310417601,0.06497724330671072,0.18070574366053874,0,0.11354342128584805,0.21245418053075546,0.012611803349076967,0.04359034952569775,0.07366772052899262,0.0836019779626412,0.18546720507641004,0,1.5901538660820038,1.4783313820781967,0.8612732948037529,2.0517554150951893
full_clean,3,0.20275724404518214,0.3689715303154221,0.6942363444285558,0.27882078703744095,0.23877242673018675,0.4824067862323723,0.7169181648748002,18,1.4142135623730967,0.06980020853662702,0.199329574253763,0.6573815351288594,0.007781806453867245,0.7063468154547046,0.06227662379825277,0.19504038656422318,0,0.020716775743585197,0.3335235591633366,0.6581022258487312,0.03507568659879833,0.6925910237350972,0.05432999902133268,0.137981547857517,1,0.9989048954834603,1.019861348542208,0.2968010580185338,1.6732266670009217
full_clean,4,0.2158442860710749,0.004964491459897191,0.5544650690711633,0.24340371262696658,0.16456508585579135,0.5920312015172421,0.6994028901366508,42,1.4142135623730967,0.06593014799456491,0.3960545400379598,0.7128517013659078,0.0029910769755668474,0.7366673066596121,0.059074316879418526,0.19779583367691664,0,0.06593014799456491,0.3960545400379598,0.7128517013659078,0.0029910769755668474,0.7528377703740219,0.06855439846693105,0.21228576934572518,1,1.0,0.9785206529869297,1.0,1.0
full_clean,5,0.07350404919310304,-0.23547189487821316,0.8713244313311856,0.46517690126887073,0.404313388123303,0.13050971060782635,1.2617675118423866,51,1.4142135623730967,0.125848625691263,0.07307919957739066,0.008008390858617931,0.009012756696421044,0.502193603208597,0.05176271266780563,0.14086310984991612,0,0.1024131371222668,0.40163785045869504,0.0011539781830640639,0.01944973881510718,0.5039894566838437,0.03991113760796863,0.21008603372086565,1,6.939811320655912,0.9964367241190658,0.8137803377647594,5.495925691322902
full_clean,6,0.08261212179665925,-0.2513503823178184,0.9578512187076841,0.16338132913967884,0.32932100834867756,0.5072976625116437,1.1791778336131382,53,1.4142135623730967,0.033017654078757515,0.033697241519156346,0.3320691544385047,0.00402900016622415,0.38343523501910515,0.07798019548234385,0.20934319122129263,0,0.033017654078757515,0.033697241519156346,0.3320691544385047,0.00402900016622415,0.3577509765163379,0.04281914469798051,0.17958103039470782,1,1.0,1.0717936782531585,1.0,1.0
full_clean,7,0.16455951064272945,0.2291366229163157,1.2148844009058848,0.11161797621742157,0.8010700809416367,0.08731194284094179,0.7170407893261964,17,1.4142135623730967,0.07100060688767883,0.40334371656809836,0.6814580104567548,0.002746518284200867,0.6972692499751323,0.058736405594161746,0.1338175959093638,0,0.07100060688767883,0.40334371656809836,0.6814580104567548,0.002746518284200867,0.7063468154547046,0.06087277086247156,0.184312861970102,1,1.0,0.9871485716634417,1.0,1.0
full_clean,8,0.2078505466510599,-0.03968767188126356,0.9403185986104475,0.2549379252413817,0.3324831581463153,0.412578916612303,1.5441595780221826,24,1.4142135623730967,0.11579972788752585,0.030204614190048162,0.00169861400095761,0.00391606362662921,0.9662034069766171,0.07887649032983579,0.14850307805159338,0,0.1610638394926638,0.21842979159815357,0.007089823634647496,0.0331741118354029,0.9233752183284439,0.0698751107951701,0.15251329404408065,1,0.2395848033026656,1.0463822158078961,1.3908827113056963,7.2316696456967815
full_clean,9,0.16555181409374342,0.6459067816561908,1.3656578996964146,0.23164603277024454,0.2774942983663342,0.49085966886342125,1.7229911870788344,15,1.4142135623730967,0.06328314565849825,0.21969796550180387,1.1128884436405984,0.025159591402673043,1.1472791140788587,0.04820779099539505,0.132958052699974,0,0.033606432005862226,0.24268313749440304,0.036130311774953405,0.07377368218781928,1.1502986163522773,0.04508486765627243,0.15337072510469424,0,30.802071417830536,0.9973750274663515,0.5310486963972411,1.1046216879619235
full_clean,10,0.12324466927856427,0.017798300301169356,1.4216990824072344,0.46619321409883385,0.27336221717963305,0.2604445687215331,0.8594985190077352,4,1.4142135623730967,0.05464403900983972,0.05274286314401485,0.013510582514314806,0.0068877647997118395,0.34474543108679623,0.08949177556917738,0.20635239185495938,0,0.026465028775200333,0.1252535573524768,0.3070155667614979,0.030047183230722394,0.3358414849332775,0.06119441702902343,0.1733040345377744,0,0.044006180718550905,1.0265123475001539,0.484316848731383,2.374796320982251
