method,split,observation_seed,bank_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,candidate_count,alpha_log_span_set,geometry_span_norm_set,ambiguity_ratio,best_geometry_mae,consensus_geometry_mae,best_alpha,consensus_rho12,consensus_rho13,consensus_rho23
one_shot_random,holdout,20260422,20260324,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,53,0.2655706108695811,0.9354441707471594,0.2838978735176298,0.07448989405343073,0.10653493843996988,0.9806006344242542,0.257362582715233,0.14489722266619914,0.21410113843508757
one_shot_random,holdout,20260422,20260325,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,62,0.26172997071436466,0.8991679226572561,0.2910801910514001,0.04171983987953335,0.11199291371437929,0.9976620423332274,0.2589972336957427,0.15535740047764676,0.21838023546635854
one_shot_random,holdout,20260422,20260326,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,46,0.24933176452260164,0.8622938849466499,0.2891494058757332,0.017844327854995817,0.11107425813014486,1.008340978843481,0.2595687917528876,0.15302037390178191,0.21738973723237515
persistent_mode_informed,holdout,20260422,20260324,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,227,0.24591368767294552,0.7696520238246537,0.3195128188592549,0.042241360928163794,0.10492594356944103,1.002191449013505,0.2471518323380708,0.16726026616751424,0.19712186069934814
persistent_mode_informed,holdout,20260422,20260325,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,228,0.2550964087259634,0.8188171175170482,0.31154259390608324,0.11499244742550645,0.10739710661829603,1.0069981484272497,0.25508641694156414,0.16010704533192502,0.20375398607800901
persistent_mode_informed,holdout,20260422,20260326,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,246,0.20665355771163396,0.8406211180112587,0.24583436376251755,0.1756161535909817,0.1020538504331272,0.9872250881769656,0.24429944379056234,0.1558153720354924,0.20280286396993694
one_shot_random,holdout,20260422,20260324,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.28236615286284156,37,69,0.3205299127815365,0.8864652888514515,0.3615820233602502,0.037912259698638116,0.10084098523514244,0.9420717465872063,0.2767668151729782,0.16422534323506996,0.2325315795220234
one_shot_random,holdout,20260422,20260325,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.28236615286284156,37,60,0.3227782540444703,0.8961426252586103,0.3601862526641029,0.060073582857612016,0.11822035926269107,1.0679652776167656,0.25778266443908127,0.14931577825186731,0.2142871731564771
one_shot_random,holdout,20260422,20260326,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.28236615286284156,37,75,0.30482127798951,0.9689665595967586,0.31458389866040704,0.19297224422606832,0.10538853349248554,1.0365758195141346,0.26896051441015173,0.16264585776973126,0.2282747209781593
persistent_mode_informed,holdout,20260422,20260324,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.28236615286284156,37,251,0.32453040185618276,0.9029098403794569,0.3594272510307293,0.08267600561900651,0.12994783623860398,1.0475164536881982,0.24427636692561816,0.1451503550472474,0.19677646294682136
persistent_mode_informed,holdout,20260422,20260325,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.28236615286284156,37,234,0.3075321007796198,0.761505019786986,0.40384776565969976,0.13878590191832854,0.12605597909721453,0.9483504587162965,0.24930375104097488,0.14596240625249207,0.20261259905038842
