method,split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_candidate_count,mean_alpha_log_span_set,mean_geometry_span_norm_set,mean_ambiguity_ratio,alpha_bank_log_span,consensus_geometry_bank_span_norm,best_geometry_mae_mean,consensus_geometry_mae_mean,geometry_mae_gain,compression_load
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,53.666666666666664,0.2588774487021825,0.8989686594503551,0.28804249014825434,0.027896387899695806,0.017120505268647893,0.044684687262653296,0.10986737009483134,-0.06518268283217804,52.50830190722239
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,233.66666666666666,0.2358878847035143,0.8096967531176534,0.2922965921759519,0.01983098771745416,0.029152176978007326,0.11094998731488398,0.10479230020695475,0.00615768710792923,27.774829774410886
one_shot_random,holdout,20260422,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.28236615286284156,37,68.0,0.31604314827183894,0.9171914912356068,0.34545072489492007,0.12542907161549868,0.051473891005454776,0.09698602892743947,0.10814995933010635,-0.011163930402666875,17.818577016810533
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.28236615286284156,37,244.33333333333334,0.3096388518784441,0.854376408934508,0.36452823154183855,0.09945324312157894,0.02393834718823805,0.1207299023492492,0.1262723181890931,-0.005542415839843898,35.69070171036287
one_shot_random,holdout,20260422,sparse_partial_high_noise,high_skew,0.8058417417559449,-0.5118742378742865,56,105.66666666666667,0.5359993625804821,0.8928435888889491,0.6012130401958758,0.3353918509790247,0.06927490925201372,0.15517746064068308,0.07869541525934663,0.07648204538133645,12.888412248089598
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,high_skew,0.8058417417559449,-0.5118742378742865,56,222.66666666666666,0.49101521573569135,0.8567271341308077,0.5750729200948143,0.2965372172668461,0.06507779376226218,0.06345070095665555,0.07252021319178774,-0.009069512235132193,13.164661624217713
one_shot_random,holdout,20260423,sparse_partial_high_noise,low_skew,1.284002752037176,0.09283757178881881,29,93.0,0.6512784479227797,0.911429719173959,0.7146077645286383,0.445150562774816,0.03547670196229583,0.11295262140627031,0.056232294144926,0.056720327261344315,25.690937115366992
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,low_skew,1.284002752037176,0.09283757178881881,29,188.66666666666666,0.6323657300596286,0.8728101914384143,0.724745045323648,0.4528808222598042,0.04722899347085326,0.04928873681061674,0.047217069089030596,0.0020716677215861443,18.480389423862217
one_shot_random,holdout,20260423,sparse_partial_high_noise,mid_skew,1.2481451346845953,-0.2693313050528414,37,108.66666666666667,0.46451943018062564,0.9208637219406318,0.5050596569547767,0.013916015902685416,0.02605625474739655,0.12117341290121615,0.08473845951037047,0.03643495339084568,35.341369312972404
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,mid_skew,1.2481451346845953,-0.2693313050528414,37,258.3333333333333,0.4264818409839753,0.8904439274485542,0.47922331089553466,0.016634574831872084,0.04769671687640014,0.13609668672965633,0.09297783374105924,0.04311885298859709,18.668872529654905
one_shot_random,holdout,20260423,sparse_partial_high_noise,high_skew,1.1892117130269413,-0.6618817448914281,0,59.0,0.29481120339861,0.8675239751519781,0.3398477707281207,0.13130460934890728,0.039703840018018556,0.12782231087821327,0.0618914866522271,0.06593082422598617,21.84987584974841
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,high_skew,1.1892117130269413,-0.6618817448914281,0,228.0,0.29058819915484885,0.8582392280693084,0.3391350917124815,0.10283900712692585,0.03323446958907566,0.13428582336742337,0.0580748540218646,0.07621096934555877,25.8237678735639
one_shot_random,holdout,20260424,sparse_partial_high_noise,low_skew,0.7901446823273661,-0.11149395428809702,51,104.33333333333333,0.5695843033547379,0.9454537263171862,0.6042435984022979,0.35874349112633985,0.07062818747304753,0.0872220969659584,0.0649939126137128,0.022228184352245592,13.38635125923317
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,low_skew,0.7901446823273661,-0.11149395428809702,51,212.0,0.5677123512633327,0.8554748687773791,0.6645592965305361,0.012662343187640868,0.04045533630631796,0.10394012235915617,0.053870739564946514,0.05006938279420966,21.146156400726262
one_shot_random,holdout,20260424,sparse_partial_high_noise,mid_skew,0.8649653549713395,-0.2613324334384325,2,89.0,0.40716972998940343,0.899532013916259,0.45262874273558973,0.012019367153740051,0.07323430145548733,0.10321578978530987,0.02536293524090878,0.07785285454440109,12.282932943151033
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,mid_skew,0.8649653549713395,-0.2613324334384325,2,222.66666666666666,0.4214228402923294,0.8985995440659639,0.46930630653868394,0.2619646444394703,0.13335571139648703,0.12900629661097318,0.023023468276837062,0.10598282833413612,6.738365643705273
one_shot_random,holdout,20260424,sparse_partial_high_noise,high_skew,1.2822085684698488,0.4737218196896238,35,85.33333333333333,0.7504171042100906,0.9344825531604485,0.8034178081072367,0.007469245651130052,0.0515197732074149,0.15631942135461985,0.07691450515395526,0.07940491620066459,18.13832815991423
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,high_skew,1.2822085684698488,0.4737218196896238,35,145.0,0.7521012918640384,0.8946329015392402,0.8420381307005128,0.0015336659735845082,0.03475337526189822,0.15700087945658148,0.0909876086914604,0.06601327076512108,25.742331350476594
one_shot_random,confirmation,20260425,sparse_partial_high_noise,low_skew,1.1495547960554364,0.03523116428113053,17,81.0,0.36996193957050605,0.9128881686436721,0.4060234358682078,0.013888547793129369,0.025433618833847284,0.16022366828025814,0.08550420297909411,0.07471946530116402,35.89297199928122
persistent_mode_informed,confirmation,20260425,sparse_partial_high_noise,low_skew,1.1495547960554364,0.03523116428113053,17,251.0,0.38926925614539587,0.8757360677782101,0.4453464241354503,0.20420087468805181,0.07274122766094156,0.13797055084707327,0.08839836383312734,0.04957218701394593,12.039060872881544
one_shot_random,confirmation,20260425,sparse_partial_high_noise,mid_skew,1.1089816388146323,0.41077650719586833,48,108.0,0.47477454724355805,0.8962717762230445,0.5295382278178332,0.0113828852025421,0.014737904408440236,0.18779234262456757,0.08534940849560303,0.10244293412896453,60.81405818521659
persistent_mode_informed,confirmation,20260425,sparse_partial_high_noise,mid_skew,1.1089816388146323,0.41077650719586833,48,221.33333333333334,0.47417639474126644,0.8821397515731784,0.5380467751664715,0.027487980435883533,0.07594540682760813,0.14237666123950946,0.0783668879826515,0.06400977325685796,11.615445731637028
one_shot_random,confirmation,20260425,sparse_partial_high_noise,high_skew,1.2826531927841773,-0.5313299359465913,24,124.33333333333333,0.873002716661937,0.9312355680934007,0.9374427762930759,0.6957494560798215,0.03192026969003796,0.11099051572150516,0.03201567683634988,0.07897483888515527,29.17380013189648
persistent_mode_informed,confirmation,20260425,sparse_partial_high_noise,high_skew,1.2826531927841773,-0.5313299359465913,24,170.33333333333334,0.8553708755441112,0.8761972873094047,0.976080255180232,0.05188182816915515,0.0888822775348385,0.07601465671100756,0.033284272985582494,0.042730383725425064,9.857952694404894
