split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_candidate_count,mean_alpha_log_span_set,mean_geometry_span_norm_set,mean_ambiguity_ratio,mean_anchored_alpha_log_std,mean_anchored_alpha_log_span,mean_anchored_effective_count,best_alpha_output,best_alpha_output_abs_error,anchored_alpha_output,anchored_alpha_output_abs_error,refined_alpha_output,refined_alpha_output_abs_error,best_alpha_bank_log_span,anchored_alpha_bank_log_span,refined_alpha_bank_log_span,refined_alpha_abs_error_mean,refined_beats_anchored_flag,refined_beats_best_flag,gate_open_flag,point_output_flag,correction_excursion_ratio,bounded_correction_tau,bounded_correction_weight,bounded_alpha_output,bounded_alpha_output_abs_error,bounded_beats_anchored_flag,bounded_beats_best_flag,bounded_beats_refined_flag
calibration,20260410,sparse_partial_high_noise,low_skew,1.1217890161161423,0.1451518868676587,53,161.33333333333334,0.5395702432673549,0.8776209209926661,0.6152923114523231,0.16183713955570941,0.4133409296676393,94.10474706775501,0.9521005259247166,0.16968849019142573,1.0467683707859499,0.07502064533019248,1.1225274983943132,0.00073848227817086,0.22197251970813078,0.06559571420690515,0.2108046649338721,0.08922230005665625,1,1,1,1,0.16904970377417888,0.05431354492204564,0.0,1.0467683707859499,0.07502064533019248,1,1,0
calibration,20260410,sparse_partial_high_noise,mid_skew,1.1386629736527398,-0.2053148391190289,6,208.0,0.5286901874033528,0.904121214688003,0.5849372367554743,0.13969788500055347,0.36145490636257316,120.06109539709358,1.1802075675801764,0.04154459392743659,1.0632976552827136,0.07536531837002625,1.0530942235371692,0.08556875011557064,0.0047977861855615644,0.05934214253330948,0.22824029204886978,0.11337784429123303,0,0,0,0,0.02667653469282244,0.05431354492204564,nan,nan,nan,0,0,0
calibration,20260410,sparse_partial_high_noise,high_skew,1.2163133874347725,-0.6622995711727697,22,261.0,0.5548061839562971,0.889813814311097,0.6246734831161007,0.1133736897538948,0.2928486782959579,142.14146901873661,1.0418287695197788,0.1744846179149937,1.019321251773356,0.19699213566141638,1.06916938066733,0.14714400676744255,0.27524585308608984,0.06336292374793602,0.19290113825945557,0.14286308273338666,1,1,0,0,0.1630367641921048,0.05431354492204564,nan,nan,nan,0,0,0
calibration,20260411,sparse_partial_high_noise,low_skew,1.159371427099871,0.14686963596079392,15,237.66666666666666,0.2705076266462261,0.8491162379102701,0.31910016966437466,0.05872442335827227,0.15785281467902026,134.15735230067267,0.9902565633756643,0.1691148637242067,1.0001921097892759,0.1591793173105951,1.0170426525358627,0.14232877456400828,0.05401060197245553,0.025258551434787845,0.022324934652405367,0.1422783069313287,1,1,0,0,0.10583887557336018,0.05431354492204564,nan,nan,nan,0,0,0
calibration,20260411,sparse_partial_high_noise,mid_skew,1.2226140284530431,0.2578962401373784,21,173.66666666666666,0.6123185076103845,0.8983059598809419,0.6819078382221395,0.1803497813575542,0.4618611316682852,96.26587459594457,1.222896543462846,0.00028251500980291944,1.0850501917336246,0.13756383671941852,1.1027377936748806,0.11987623477816256,0.007694400895166126,0.0694036121049631,0.1874817682863198,0.11862009195386351,1,0,1,1,0.03500997217866458,0.05431354492204564,0.35540992161507423,1.0913038057870765,0.1313102226659666,1,0,0
calibration,20260411,sparse_partial_high_noise,high_skew,1.2745425961678112,0.6954212915285561,18,153.66666666666666,0.7347292409274707,0.8993609257217262,0.8171169539374493,0.19611978855508141,0.42124999073566555,93.27261480492483,1.2944927922789577,0.019950196111146568,1.1166908371314157,0.15785175903639548,1.0849634928233276,0.18957910334448358,0.009973803833865647,0.2630954739114275,0.535812434945456,0.18657465376421914,0,0,0,0,0.06842341484134673,0.05431354492204564,nan,nan,nan,0,0,0
calibration,20260412,sparse_partial_high_noise,low_skew,1.1685674195962412,0.14831088408388507,32,243.66666666666666,0.39754194689921984,0.8823995105727817,0.45256210801077695,0.08266982114183485,0.21682155400069766,138.42967976988675,1.0812234767760205,0.08734394282022073,1.032078092623979,0.13648932697226224,0.9725603696959082,0.19600704990033302,0.025546733362456747,0.0031726256783505893,0.10064279012054791,0.19508499688443318,0,0,0,0,0.27394630679392085,0.05431354492204564,nan,nan,nan,0,0,0
calibration,20260412,sparse_partial_high_noise,mid_skew,0.8812085887392607,0.4266360032401446,58,146.33333333333334,0.29928615981653467,0.5136388155575757,0.5750710986717084,0.06213610032585761,0.16215167646430206,116.64066360026236,1.0013906207765382,0.12018203203727751,1.014305089384764,0.13309650064550338,1.0134061830112617,0.13219759427200106,0.02041655819537693,0.02504183078707279,0.04512445856219319,0.13240405146535314,1,0,0,0,0.0054678541946844746,0.05431354492204564,nan,nan,nan,0,0,0
calibration,20260412,sparse_partial_high_noise,high_skew,0.791242631916462,-0.6767255273818573,1,179.33333333333334,0.8215480951441098,0.902917777493269,0.9095156076787608,0.2394449172936093,0.6229114312172663,103.08516331467949,1.0908293862811247,0.29958675436466264,1.1513371678670452,0.36009453595058316,1.1573108833441526,0.3660682514276905,0.5403080425862963,0.06919581404086292,0.38402130736326506,0.3842957240434734,0,0,1,1,0.00830790395531234,0.05431354492204564,0.8470380829084828,1.1563951284619896,0.3651524965455275,0,0,1
calibration,20260416,sparse_partial_high_noise,low_skew,1.251449993747517,-0.011978891607849106,32,178.66666666666666,0.6600884541170681,0.8560151393562485,0.7768358999275161,0.15517957469685917,0.44713083097011624,107.66167779349905,0.9159188140805672,0.3355311796669498,1.1820898392829111,0.06936015446460586,1.1438130242532756,0.1076369694942414,0.4886931240610342,0.03538329265063314,0.18604207827559877,0.11919302773253644,0,1,1,1,0.0736171176654267,0.05431354492204564,0.0,1.1820898392829111,0.06936015446460586,1,1,1
calibration,20260416,sparse_partial_high_noise,mid_skew,1.2419793681897893,-0.44764907761156186,12,157.33333333333334,0.6745985828953364,0.91711743222635,0.7360847926763943,0.1855056831519645,0.41933175196246947,95.39301067292784,0.9128814038616355,0.32909796432815375,1.1337943683527039,0.1081849998370854,1.158529804243097,0.08344956394669234,0.5045210646788828,0.14835551641315134,0.31579481935283676,0.12828835392981655,1,1,0,0,0.05146744838204785,0.05431354492204564,nan,nan,nan,0,0,0
calibration,20260416,sparse_partial_high_noise,high_skew,1.1866154632460388,0.6027915804267757,5,181.66666666666666,0.8406191309049348,0.902920994245897,0.9314178545133296,0.21142134586352043,0.5770455328692046,108.03204394266366,1.3643733136921277,0.17775785044608883,1.1947505070933804,0.008135043847341539,1.261407700211347,0.07479223696530823,0.016091599739047613,0.07372834301087769,0.21047715434142922,0.13829905093688222,0,1,1,1,0.09408432042467839,0.05431354492204564,0.0,1.1947505070933804,0.008135043847341539,1,1,1
calibration,20260417,sparse_partial_high_noise,low_skew,0.8118979550083474,-0.1806085087754579,29,212.33333333333334,0.5209973642590537,0.9023493966371529,0.5771141864682193,0.1257973034347065,0.3156872711082874,126.31281243331507,1.0545777968967034,0.242679841888356,1.0335129308099027,0.22161497580155531,1.129407108437017,0.3175091534286696,0.3275215028562999,0.0876061447084212,0.08983761172050828,0.31848025835046667,0,0,0,0,0.2810667664522979,0.05431354492204564,nan,nan,nan,0,0,0
calibration,20260417,sparse_partial_high_noise,mid_skew,1.2619160489624313,0.23231582095435085,4,170.66666666666666,0.8951905785786645,0.8932605718024066,1.0047131166271632,0.19180913616258854,0.4193654617204375,88.66827562960009,1.083733920612204,0.17818212835022718,1.17136694400865,0.09054910495378121,1.2697795671324348,0.007863518170003525,0.47603397639746936,0.09641217160247414,0.017901404627673728,0.010923228053514903,1,1,1,1,0.1923666313141547,0.05431354492204564,0.0,1.17136694400865,0.09054910495378121,1,1,0
calibration,20260417,sparse_partial_high_noise,high_skew,0.86848329444384,-0.6280079309469837,40,151.66666666666666,0.5250385189856661,0.8375335146836861,0.6310854071661348,0.15125302503246255,0.39156983553423,85.5543603181154,0.9446791795601118,0.07619588511627184,1.0797338425796024,0.21125054813576238,1.1467796121722795,0.27829631772843955,0.3489554591631182,0.05990976170599473,0.11150365385159075,0.27984908036144124,0,0,0,0,0.15385022715904847,0.05431354492204564,nan,nan,nan,0,0,0
calibration,20260418,sparse_partial_high_noise,low_skew,1.1668612367248918,-0.14594916659893772,41,238.33333333333334,0.2779046146692361,0.7929178851771786,0.3506036299177002,0.05810671393352381,0.15559283047224046,157.65741730574513,0.988632702052139,0.1782285346727528,1.0224203815111175,0.14444085521377437,1.011230139264507,0.15563109746038473,0.03104698930367423,0.02972315557254216,0.047203123800330656,0.15538502144545555,0,1,0,0,0.0707307011965043,0.05431354492204564,nan,nan,nan,0,0,0
calibration,20260418,sparse_partial_high_noise,mid_skew,0.8927899215802785,0.31239828831979416,15,229.66666666666666,0.4129473445930481,0.9070932157739305,0.45687330088317163,0.09188889152296832,0.24498917069271595,111.74323824616482,1.0652066433463345,0.17241672176605605,1.0192546323188332,0.1264647107385547,0.968283784427441,0.07549386284716253,0.03853703479211144,0.027027255316224567,0.21432522622718495,0.0818223552376467,1,1,0,0,0.20940385377887763,0.05431354492204564,nan,nan,nan,0,0,0
calibration,20260418,sparse_partial_high_noise,high_skew,1.1985688418340448,0.4633307896967259,24,186.33333333333334,0.5925836591797595,0.9022514746884925,0.657953766237653,0.16684517109445673,0.41699487304714905,109.9398312607239,1.2143619632178186,0.015793121383773867,1.0822929809101958,0.116275860923849,0.9884218300832573,0.21014701175078743,0.015492452070319851,0.027660699779075315,0.3074500903964512,0.20102965510241966,0,0,1,1,0.2175749527003434,0.05431354492204564,0.0,1.0822929809101958,0.116275860923849,1,0,1
