perturbation_type,step_fraction,count,raw_rmse_mean,raw_rmse_p95,orbit_rmse_mean,orbit_rmse_p95,orbit_absorption_mean,orbit_absorption_p95,orbit_ratio_mean,orbit_ratio_p95,nontrivial_best_shift_fraction
alpha,0.03,192,0.011114137719503729,0.015957763063077567,0.011099595169122164,0.015957763063077567,0.0011094742441862461,0.0,0.9988905257558137,1.0,0.026041666666666668
alpha,0.06,192,0.022254771137147286,0.03184414418999203,0.021953847462148058,0.03184414418999203,0.011789366814084497,0.002320452429818525,0.9882106331859154,1.0,0.06770833333333333
alpha,0.1,192,0.037196636554687884,0.054630689578684416,0.03580103396696544,0.054630689578684416,0.03296905664933584,0.24489679981737042,0.9670309433506642,1.0,0.15625
alpha,0.14,192,0.05229927312664966,0.07923321085677379,0.048658099221971375,0.07923321085677379,0.06152723585167347,0.4880044444173928,0.9384727641483265,1.0,0.22916666666666666
geometry_random,0.03,192,0.0007282441252383821,0.0014540022238867622,0.0007282441252383821,0.0014540022238867622,0.0,0.0,1.0,1.0,0.0
geometry_random,0.06,192,0.001461530716031287,0.0029074068362557126,0.0014485100424266742,0.0028756001425149164,0.0036794993366103183,0.0,0.9963205006633897,1.0,0.005208333333333333
geometry_random,0.1,192,0.0024239988090698733,0.004849806891498146,0.0024065780051725906,0.00480058164127199,0.003101247095739779,0.0,0.9968987529042602,1.0,0.015625
geometry_random,0.14,192,0.0033762037541854597,0.006839875670781847,0.0033479853867932376,0.006700159522705909,0.005867226785474679,0.0,0.9941327732145253,1.0,0.020833333333333332
rho,0.03,192,0.0009106772442594823,0.0015575466986369076,0.0009106772442594823,0.0015575466986369076,0.0,0.0,1.0,1.0,0.0
rho,0.06,192,0.0018213810194523028,0.0031153495754919136,0.0018213810194523028,0.0031153495754919136,0.0,0.0,1.0,1.0,0.0
rho,0.1,192,0.0030358067834270505,0.005193010774181417,0.0030358067834270505,0.005193010774181417,0.0,0.0,1.0,1.0,0.0
rho,0.14,192,0.004250498515593439,0.007269749651523759,0.004250498515593439,0.007269749651523759,0.0,0.0,1.0,1.0,0.0
t,0.03,192,0.0007186342338498323,0.0016173947280999329,0.0007186342338498323,0.0016173947280999329,0.0,0.0,1.0,1.0,0.0
t,0.06,192,0.0014420906181267141,0.003246940638643093,0.0014122060284633465,0.0032093272935388444,0.012797088344435473,0.0,0.9872029116555646,1.0,0.020833333333333332
t,0.1,192,0.0023967045608446866,0.005287628418407063,0.002337236163034475,0.0052116947750449685,0.01807566882216609,0.05085048288222721,0.9819243311778338,1.0,0.052083333333333336
t,0.14,192,0.0033464690354822212,0.007316380861216494,0.003254285080053862,0.007194778779637296,0.021018040557949733,0.12312919173088599,0.9789819594420504,1.0,0.06770833333333333
h,0.03,192,0.0005495452247975989,0.0013061259128263566,0.0005495452247975989,0.0013061259128263566,0.0,0.0,1.0,1.0,0.0
h,0.06,192,0.001100114853082326,0.0026166062073524534,0.001100114853082326,0.0026166062073524534,0.0,0.0,1.0,1.0,0.0
h,0.1,192,0.0018250590402719435,0.004370763532890463,0.0018167716550221852,0.004370763532890463,0.0033179317033490787,0.0,0.9966820682966508,1.0,0.020833333333333332
h,0.14,192,0.0025578815462871003,0.006132520959583557,0.002473037564707074,0.0058176119684979506,0.020819623748478882,0.11460212928791746,0.9791803762515211,1.0,0.057291666666666664
