split,condition,count,point_output_rate,alpha_point_recoverable_rate,gate_precision,trigger_fire_rate_open,mean_correction_pressure_open,mean_triggered_alpha_output_abs_error_open,mean_triggered_alpha_bank_log_span_open,triggered_beats_anchored_rate_open,triggered_beats_best_rate_open
calibration,sparse_full_noisy,18,0.8333333333333334,0.6111111111111112,0.7333333333333333,0.5333333333333333,0.29199575227565955,0.12749419758998987,0.17936873240559859,0.8,0.4
calibration,sparse_partial_high_noise,18,0.5555555555555556,0.3333333333333333,0.5,0.7,0.2567587969550017,0.12853129468924124,0.14573569884328136,0.9,0.7
holdout,sparse_full_noisy,9,0.7777777777777778,0.5555555555555556,0.7142857142857143,0.5714285714285714,0.2715652267295859,0.11531543405347754,0.08387415895660048,0.8571428571428571,0.42857142857142855
holdout,sparse_partial_high_noise,9,0.7777777777777778,0.2222222222222222,0.2857142857142857,0.7142857142857143,0.26083261330856844,0.20147293664067806,0.14770920743212937,0.42857142857142855,0.7142857142857143
confirmation,sparse_full_noisy,9,0.8888888888888888,0.5555555555555556,0.625,0.25,0.2424040242153887,0.10812035472820387,0.07740090236718197,1.0,0.625
confirmation,sparse_partial_high_noise,9,0.6666666666666666,0.3333333333333333,0.5,0.8333333333333334,0.4097330036802563,0.1292976554208687,0.17870538247063583,0.8333333333333334,0.3333333333333333
