dataset,e,a,pc1,pc2,isomap1
unique,0.805,1.0,2.5677053528866214,0.3907708522440654,2.5814472955489434
unique,0.81,1.0,2.6711653858070967,0.3882410584073428,2.684999034730764
unique,0.815,1.0,2.7770998616034763,0.3849520036561618,2.7910482495844056
unique,0.82,1.0,2.885617191844913,0.38085185183786585,2.899708608774415
unique,0.825,1.0,2.996836342257037,0.3758731418278414,3.0111082046883144
unique,0.83,1.0,3.1108793137589767,0.3699426911632431,3.1253773140790355
unique,0.835,1.0,3.2278826608564355,0.36298662812935767,3.2426616543565467
unique,0.84,1.0,3.3479898670873762,0.35491733144711457,3.363114156906698
unique,0.845,1.0,3.4713581220172856,0.3456428516523218,3.4869075013930866
unique,0.85,1.0,3.5981578637913145,0.3350583142581165,3.61422664249813
unique,0.855,1.0,3.728574057775651,0.3230529988703328,3.7452731968765467
unique,0.86,1.0,3.8628116115129494,0.3094975113900311,3.8802694620016602
unique,0.865,1.0,4.001085898731223,0.2942493981633518,4.019457725210487
unique,0.87,1.0,4.143642153012241,0.2771547659225808,4.163109605060682
unique,0.875,1.0,4.290744790024723,0.2580335736941439,4.311520491822922
unique,0.88,1.0,4.442688065625857,0.23668613153323825,4.465018393754815
unique,0.885,1.0,4.599796554438409,0.21289490338599215,4.623976295732395
unique,0.89,1.0,4.762433343433935,0.18640033554985003,4.788808539859574
unique,0.895,1.0,4.931000426967016,0.15691364818816922,4.959977608819248
unique,0.9,1.0,5.105954358849571,0.12410606182407058,5.138007513348224
unique,0.905,1.0,5.287807501835562,0.08758947456566979,5.323507517359869
unique,0.91,1.0,5.477148241060602,0.04692719761583675,5.517170858325241
unique,0.915,1.0,5.67463803315473,0.0015990543656494438,5.719789025788759
unique,0.92,1.0,5.881051412390974,-0.048999625438619354,5.932216454824467
unique,0.925,1.0,6.097276158051578,-0.10559248183042325,6.155681834598145
unique,0.93,1.0,6.324365558190541,-0.16903630242676737,6.391427643853548
unique,0.935,1.0,6.563555857430557,-0.24037829332939964,6.641006218331856
unique,0.94,1.0,6.81634098234373,-0.3208934172337168,6.906316362862825
unique,0.945,1.0,7.08452943066586,-0.41216968824738576,7.189548903778147
unique,0.95,1.0,7.370363884341325,-0.51620952041013,7.493899656222122
unique,0.955,1.0,7.676658714394935,-0.635595537092958,7.823090848293675
unique,0.96,1.0,8.007053027997339,-0.7737280658350993,8.18211929470049
unique,0.965,1.0,8.366368217420895,-0.9352218359372921,8.577777476375621
unique,0.97,1.0,8.761245913302137,-1.1265737482139402,9.018756689065794
unique,0.975,1.0,9.201238383426126,-1.357359925270524,9.519228504117295
unique,0.98,1.0,9.701028936531692,-1.6426198128195635,10.101082011632046
scale_overlay,0.05,0.75,-2.697794690362784,-0.26272088575669716,nan
