condition,baseline_geometry_mae_mean,refined_geometry_mae_mean,baseline_weight_mae_mean,refined_weight_mae_mean,baseline_alpha_error_mean,refined_alpha_error_mean,baseline_fit_rmse_mean,refined_fit_rmse_mean,baseline_alpha_span_topk_mean,refined_alpha_span_topk_mean,baseline_geometry_dispersion_topk_mean,refined_geometry_dispersion_topk_mean,baseline_weight_dispersion_topk_mean,refined_weight_dispersion_topk_mean,baseline_near_tie_diverse_fraction,refined_near_tie_diverse_fraction,alpha_error_improvement_factor_mean,alpha_span_reduction_factor_mean,alpha_error_ratio_of_means_baseline_over_refined,alpha_span_ratio_of_means_baseline_over_refined,geometry_ratio_of_means_refined_over_baseline,weight_ratio_of_means_refined_over_baseline,softmin_temperature_mean
full_clean,0.12645457508347643,0.1361662013883414,0.17018125272213128,0.17018125272213128,0.46833048528838944,0.46833048528838944,0.00763763373293243,0.004705478974015141,0.5266172983926923,0.20000000000000007,0.06801644687243766,0.02138390641042196,0.12030488529914515,2.7755575615628914e-17,0.0,0.0,1.0,2.6330864919634607,1.0,2.6330864919634607,1.076799327335164,1.0,0.0001
full_noisy,0.093142964353632,0.07886766260794155,0.11042108813376583,0.11042108813376583,0.031373617160767586,0.03868109069303316,0.013303185540061928,0.010937967423828021,0.3256436376892552,0.07369521961917214,0.06311227120835267,0.020049034484201485,0.16076642249750378,3.700743415417189e-17,0.0,0.0,0.8724865522443372,3.8609317406208854,0.8110840878232598,4.418789161251615,0.8467377343554151,1.0,0.0001
partial_arc_noisy,0.0451491611424432,0.032559457140264814,0.11967867383985531,0.11967867383985531,0.01782881590215868,0.01782881590215868,0.012612624942970779,0.014708104777937422,0.6850799833446517,0.20000000000000018,0.05839814490216974,0.01905128009166083,0.16666508092086763,2.7755575615628914e-17,0.5,0.0,1.0,3.425399916723256,1.0,3.4253999167232556,0.7211530915832846,1.0,0.0001
sparse_full_noisy,0.1439256126346282,0.1765781242663187,0.2044384645608248,0.2044384645608248,0.08763631502376351,0.08763631502376351,0.012082136002396101,0.015594787059892798,0.2350348115281113,0.15000000000000002,0.07373829257799605,0.020759967244823756,0.15229351254141746,4.163336342344337e-17,1.0,0.0,1.0,1.7788437047341752,1.0,1.5668987435207418,1.2268707496460876,1.0,0.0004
sparse_partial_high_noise,0.1423084581105855,0.12485452183982175,0.11195701405507855,0.11195701405507855,0.08464362059785524,0.08464362059785524,0.048001427288246655,0.048007930034555744,0.350692896946589,0.20000000000000012,0.08528684444930808,0.018614742681406463,0.17843923240706688,0.021076165804407455,0.5,0.5,1.0,1.7534644847329437,1.0,1.753464484732944,0.8773513781085267,1.0,0.0009
