split,count,mean_band_candidate_count,mean_frontier_candidate_count,mean_cluster_count,mean_cluster_entropy,mean_compression_load,mean_mode_persistence_rate,mean_poison_pull,mean_supportive_pull
calibration,36,59.73888888888889,16.0,15.077777777777776,0.7959473621891473,10.462345726146483,0.9342342502471013,0.002859445178160113,0.3760740289592924
holdout,18,58.56666666666667,16.0,15.244444444444444,0.8044902243337511,11.36561838837936,0.9529422946547277,0.0022768785521511464,0.39029970357714583
confirmation,18,58.10000000000001,16.0,15.044444444444444,0.7717228686080146,11.004529318247018,0.919678536238594,0.001701081770570446,0.37457263001407726
