split,observation_seed,condition,geometry_skew_bin,bank_seed,cluster_id,cluster_size,cluster_mass_layer1,cluster_mass_layer2,cluster_best_score,cluster_mean_score_gap,cluster_center_rho12,cluster_center_rho13,cluster_center_rho23,cluster_center_alpha,cluster_geometry_span,cluster_alpha_span,cluster_rank_by_mass
calibration,20260410,sparse_full_noisy,low_skew,20260324,0,4,0.2393286152683356,0.3386592719759062,0.0014557340184666945,0.0002562629317810476,0.31139694803711193,0.14732679978270768,0.27436965888631637,1.1245703712782371,0.14834785079758273,0.07181870442540104,2
calibration,20260410,sparse_full_noisy,low_skew,20260324,1,5,0.26420226299953775,0.40456504874408916,0.0014630237078033846,0.0002532247785391429,0.33224132286202324,0.1975216607586723,0.21241502147632657,1.0714221314367491,0.11361318783525004,0.2843264150317357,1
calibration,20260410,sparse_full_noisy,low_skew,20260324,2,4,0.19637126217529324,0.09326479450630272,0.0014963809411843677,0.0002866947866030718,0.24825097795227868,0.13761882072447285,0.21853576448862916,1.0136296067154453,0.09387725995725771,0.2954658198563642,3
calibration,20260410,sparse_full_noisy,low_skew,20260324,3,3,0.18467941642740213,0.024102963315409308,0.0016540621669902523,0.00024490292157403206,0.43110663781547687,0.2985295181653534,0.4136599270776446,0.9849473348563671,0.07366190362093308,0.27441152153724746,4
calibration,20260410,sparse_full_noisy,low_skew,20260324,4,2,0.05943514448876587,0.06210691622381543,0.0017109209162751232,0.0004071105806920937,0.3762721005333696,0.18909971262672268,0.3199806656247527,0.8770534417906972,0.06739692658847081,0.09381230535511789,5
calibration,20260410,sparse_full_noisy,low_skew,20260324,5,1,0.055983298640665355,0.07730100523447705,0.0017348538369848711,0.0002791198185181766,0.34236872713340677,0.252132228728632,0.29869953614250216,0.8494792038805586,0.0,0.0,6
calibration,20260410,sparse_full_noisy,low_skew,20260324,6,3,0.0,0.0,0.001856960055053198,0.0004653117135532588,0.2830675003075291,0.2033643357141844,0.2794567869817701,0.9415511294832472,0.10835825834672169,0.26943969066999623,7
calibration,20260410,sparse_full_noisy,low_skew,20260324,7,5,0.0,0.0,0.0018628489307415223,0.000475481595833319,0.1804612828969811,0.10172728800784021,0.16068699567597447,1.0227491496093095,0.10421001299690465,0.3427095245287777,8
calibration,20260410,sparse_full_noisy,low_skew,20260324,8,1,0.0,0.0,0.001937079944151553,0.0004813459256848584,0.26371084266034256,0.1577710199125773,0.16921733306616943,1.171462901307571,0.0,0.0,9
calibration,20260410,sparse_full_noisy,low_skew,20260324,9,2,0.0,0.0,0.001995993701484202,0.0005474947105118626,0.431974138573285,0.27609699314251834,0.3181751862651555,1.028561034857145,0.01815070153817815,0.2777950844719396,10
calibration,20260410,sparse_full_noisy,low_skew,20260325,0,2,0.15614194848072935,0.3808019551556203,0.001458531287790566,0.00033966037190213505,0.36755442830439145,0.2334660657618668,0.2873511808226171,0.9491414285419434,0.05908908968709614,0.2534213783052613,2
calibration,20260410,sparse_full_noisy,low_skew,20260325,1,3,0.14982475345638274,0.04197840984930089,0.0014750509753414583,0.00037951048387767296,0.4237443672408691,0.3351520889592134,0.3614892434894598,1.0000322112200075,0.07185367163602822,0.14103725074396917,3
calibration,20260410,sparse_full_noisy,low_skew,20260325,2,4,0.23052113627405973,0.04969799220870489,0.0014991395403212875,0.00041552057631550303,0.21332915821388204,0.1255692791857212,0.15526981866533895,1.0017277931714474,0.09702402380859058,0.32552845446368717,1
calibration,20260410,sparse_full_noisy,low_skew,20260325,3,1,0.10880387041282984,0.020602126097672608,0.0016030187326864706,0.00014448744489590462,0.43232115195372006,0.3130126766199202,0.40072763140928774,0.8982369401679546,0.0,0.0,4
calibration,20260410,sparse_full_noisy,low_skew,20260325,4,5,0.09515065470822691,0.26889274165814886,0.001656652905853206,0.0005419820409397672,0.2935905890950996,0.1808923958249991,0.24991186239669858,1.0177432766224295,0.1784246129043834,0.3179635151073523,5
calibration,20260410,sparse_full_noisy,low_skew,20260325,5,1,0.07531083865583663,0.09905973108250403,0.00175018787002102,0.0002916565822304539,0.3496822528066055,0.28722697434886535,0.301840362976604,1.125018739847982,0.0,0.0,6
calibration,20260410,sparse_full_noisy,low_skew,20260325,6,1,0.06532072617234319,0.04234156597169618,0.001807113741584218,0.000348582453793652,0.439594270548897,0.19219940554724876,0.34670051721174355,1.168285665776475,0.0,0.0,7
calibration,20260410,sparse_full_noisy,low_skew,20260325,7,1,0.06028931976415999,0.09245616973451799,0.0018391755077783048,0.0003806442199877388,0.2969488563702391,0.14123717758020612,0.2544230728044944,0.8273180844997886,0.0,0.0,8
calibration,20260410,sparse_full_noisy,low_skew,20260325,8,3,0.058636752075431516,0.004169308241834179,0.0018502928282539688,0.0005709241461356104,0.15494201919758635,0.09156553852547399,0.13303550631528638,1.1947330239020202,0.10420329970299419,0.027621084169654586,9
calibration,20260410,sparse_full_noisy,low_skew,20260325,9,1,0.0,0.0,0.001952857068251317,0.000494325780460751,0.4333314001842973,0.2421600052224527,0.42294396059659256,1.0444551130588429,0.0,0.0,10
calibration,20260410,sparse_full_noisy,low_skew,20260325,10,2,0.0,0.0,0.0020518331089466246,0.0006723902774915084,0.3777776136117292,0.16635445627278278,0.33081527402190614,1.0818650211996914,0.07365485431357412,0.17953451806939577,11
calibration,20260410,sparse_full_noisy,low_skew,20260325,11,1,0.0,0.0,0.002197378841842514,0.0007388475540519479,0.24971533801808418,0.10146293946628746,0.2039865215015441,1.1455032343505196,0.0,0.0,12
calibration,20260410,sparse_full_noisy,low_skew,20260325,12,1,0.0,0.0,0.0022050866601726112,0.0007465553723820452,0.38604280892336384,0.28576295264513,0.40569513852479705,1.1277055214575535,0.0,0.0,13
calibration,20260410,sparse_full_noisy,low_skew,20260326,0,7,0.38458748831060807,0.5655911865260389,0.0014625128296737173,0.0003029243066993251,0.3136238523653569,0.20719051690360432,0.2573302789402568,1.1000002529300918,0.19541270336147606,0.13492296156127437,1
calibration,20260410,sparse_full_noisy,low_skew,20260326,1,1,0.12352016275585377,0.10142448634345687,0.0014862707716485639,2.375794197484655e-05,0.4311512324910664,0.24133834198611845,0.2718500594136546,0.883428258219019,0.0,0.0,4
calibration,20260410,sparse_full_noisy,low_skew,20260326,2,2,0.15052405583985168,0.03212530871050849,0.0016047594013476117,0.00023189175369486945,0.41960033773482264,0.3159693451797592,0.3701927740840969,1.0066472990966178,0.06820882666807895,0.12768507255800873,3
calibration,20260410,sparse_full_noisy,low_skew,20260326,3,3,0.20732041423231484,0.11145477813595675,0.0016375589368175414,0.0002613834134601374,0.24299903144265164,0.1530585421155658,0.23590887711086372,1.0441521716447828,0.10445914045690403,0.2300624474939687,2
