split,condition,count,mean_band_candidate_count,mean_cluster_count,mean_compression_load,mean_mode_persistence_rate,mean_poison_pull,mean_supportive_pull
calibration,sparse_full_noisy,18,26.644444444444442,12.322222222222223,8.422319979906666,0.907652627527843,0.005470261492077616,0.3207353047848009
calibration,sparse_partial_high_noise,18,92.83333333333334,17.833333333333332,12.502371472386299,0.9608158729663594,0.00024862886424260953,0.4314127531337838
holdout,sparse_full_noisy,9,27.377777777777776,12.688888888888888,7.8563252009369755,0.9313061223205114,0.004553757104302293,0.3531554532502493
holdout,sparse_partial_high_noise,9,89.75555555555555,17.799999999999997,14.874911575821747,0.9745784669889438,0.0,0.4274439539040423
confirmation,sparse_full_noisy,9,20.37777777777778,11.666666666666666,7.175583126162288,0.8887661979910895,0.0034021635411408922,0.3489131616846907
confirmation,sparse_partial_high_noise,9,95.82222222222222,18.42222222222222,14.83347551033175,0.9505908744860986,0.0,0.40023209834346385
