e,w1,w2,mean_family_distance,max_family_distance
0.1,0.3,0.4,0.020038824667781164,0.02017231481875322
0.1,0.3,0.5,0.04008552342020601,0.040281634819030604
0.1,0.3,0.6,0.06013063746274917,0.060312835445928324
0.1,0.3,0.7,0.08016471218400165,0.08025139429884566
0.1,0.4,0.5,0.020047491022080078,0.020110321672562784
0.1,0.4,0.6,0.04009418920701255,0.040144039472894834
0.1,0.4,0.7,0.06013063743266605,0.06031286858495096
0.1,0.5,0.6,0.020047491037436117,0.02011028877276613
0.1,0.5,0.7,0.040085523405484776,0.04028163480886218
0.1,0.6,0.7,0.020038824637657396,0.02017228219963227
0.15,0.3,0.4,0.030134139051181893,0.030453270426099154
0.15,0.3,0.5,0.060295922203507914,0.060781882473685
0.15,0.3,0.6,0.090452261525019,0.09093428218270193
0.15,0.3,0.7,0.12057009608207202,0.12085776101033614
0.15,0.4,0.5,0.030164505969843318,0.030331782241779476
0.15,0.4,0.6,0.06032628618875975,0.06049148492799252
0.15,0.4,0.7,0.09045226153404821,0.0909342878763766
0.15,0.5,0.6,0.030164505987593983,0.030331766088348068
0.15,0.5,0.7,0.060295922230251466,0.06078190421642226
0.15,0.6,0.7,0.030134139060125242,0.030453276074085246
0.2,0.3,0.4,0.04032409066297789,0.04092418412144094
0.2,0.3,0.5,0.0807147737753302,0.08165887247607476
0.2,0.3,0.6,0.12109222041456297,0.12207977453444797
0.2,0.3,0.7,0.16137672173252557,0.16205526789302008
0.2,0.4,0.5,0.040397305611221825,0.04074247432943934
0.2,0.4,0.6,0.08078797572164226,0.08117977188306914
0.2,0.4,0.7,0.12109222042442348,0.12207978992050102
0.2,0.5,0.6,0.04039730561978944,0.04074248987212838
0.2,0.5,0.7,0.08071477379371789,0.08165886344264052
0.2,0.6,0.7,0.04032409067277254,0.04092419924011544
0.25,0.3,0.4,0.050645571278731254,0.05163419584532151
0.25,0.3,0.5,0.10142421845063662,0.10302662590769435
0.25,0.3,0.6,0.15217613200028454,0.15392715110687674
0.25,0.3,0.7,0.2027418891218474,0.2040670106904007
0.25,0.4,0.5,0.050792030833096274,0.051407163804855896
0.25,0.4,0.6,0.1015706374016954,0.1023400544202614
0.25,0.4,0.7,0.15217613201998817,0.15392715323609826
0.25,0.5,0.6,0.05079203082488024,0.05140716380195553
0.25,0.5,0.7,0.10142421846213319,0.10302662800700278
0.25,0.6,0.7,0.050645571298456406,0.05163419793827546
0.3,0.3,0.4,0.06114239636354733,0.06263777046972586
0.3,0.3,0.5,0.12252031279235785,0.12501147738118823
0.3,0.3,0.6,0.18385003293721514,0.18667393378341868
0.3,0.3,0.7,0.24484887959893387,0.24713906584009526
0.3,0.4,0.5,0.061402067578801504,0.06239990101448695
0.3,0.4,0.6,0.122779877749036,0.12412026324469347
0.3,0.4,0.7,0.18385003295763472,0.18667391964266875
0.3,0.5,0.6,0.0614020675640225,0.062399901003919366
0.3,0.5,0.7,0.12252031279794397,0.125011463316159
0.3,0.6,0.7,0.06114239638386513,0.06263775650529133
0.35,0.3,0.4,0.07186648769709987,0.07399678371567665
0.35,0.3,0.5,0.14411697024190093,0.14775874810068773
0.35,0.3,0.6,0.21628682070727082,0.22054758713460598
0.35,0.3,0.7,0.28791387601810003,0.2915520833981453
0.35,0.4,0.5,0.07229094754959599,0.07380520419686648
0.35,0.4,0.6,0.14454118646780295,0.1466929704699851
0.35,0.4,0.7,0.21628682071503616,0.2205475997833474
0.35,0.5,0.6,0.07229094754959536,0.07380520419685936
0.35,0.5,0.7,0.14411697024964884,0.14775876073141445
0.35,0.6,0.7,0.07186648770483295,0.07399679633563981
0.4,0.3,0.4,0.08288187521140646,0.08578301730055714
0.4,0.3,0.5,0.1663549774174271,0.17143830055092082
0.4,0.3,0.6,0.24969987977775066,0.25581425623145165
0.4,0.3,0.7,0.3322025170086955,0.33763281393263844
0.4,0.4,0.5,0.08353759025454707,0.0857238150835505
0.4,0.4,0.6,0.1670101844043001,0.17026352355929134
0.4,0.4,0.7,0.24969987977466354,0.2558142484907894
0.4,0.5,0.6,0.08353759024998433,0.08572381507943877
0.4,0.5,0.7,0.16635497740977273,0.17143830830131185
0.4,0.6,0.7,0.0828818752083118,0.08578300956249381
0.45,0.3,0.4,0.09427241725366726,0.0980824028272251
0.45,0.3,0.5,0.1894147832384876,0.1962552362225636
0.45,0.3,0.6,0.28436030480114216,0.2927946305367336
0.45,0.3,0.7,0.3780531526216481,0.3857711640763967
0.45,0.4,0.5,0.09524175225242908,0.09827955089349986
0.45,0.4,0.6,0.1903831366199746,0.19508473141578692
0.45,0.4,0.7,0.2843603048134728,0.2927946513131747
0.45,0.5,0.6,0.09524175224282232,0.09827955088874149
0.45,0.5,0.7,0.1894147832411466,0.19625524800885275
0.45,0.6,0.7,0.09427241726588258,0.09808242378101839
0.5,0.3,0.4,0.10615112285834806,0.11100217842841252
0.5,0.3,0.5,0.21353455957325082,0.22246282700521694
0.5,0.3,0.6,0.3206226391937201,0.33188535246993667
0.5,0.3,0.7,0.42590916712198673,0.43644958978228515
0.5,0.4,0.5,0.1075334255972345,0.1116263897834108
0.5,0.4,0.6,0.21491507448030212,0.22147689143746044
0.5,0.4,0.7,0.32062263918202494,0.33188534792828583
0.5,0.5,0.6,0.10753342560838132,0.11162639182809554
0.5,0.5,0.7,0.21353455957273326,0.22246284258768043
0.5,0.6,0.7,0.106151122846693,0.11100217380721125
0.55,0.3,0.4,0.1186798889373774,0.12467895470599452
0.55,0.3,0.5,0.23904568939063067,0.2503857351902099
0.55,0.3,0.6,0.35897436616545464,0.3735913823285897
0.55,0.3,0.7,0.4763835434017906,0.4902774092398549
0.55,0.4,0.5,0.12058982755701417,0.12596246881293457
0.55,0.4,0.6,0.2409525829810925,0.24985634451754674
0.55,0.4,0.7,0.3589743661532277,0.3735913774403682
0.55,0.5,0.6,0.1205898275691954,0.12596247379445077
0.55,0.5,0.7,0.23904568939062631,0.250385735190199
0.55,0.6,0.7,0.11867988892520387,0.12467895970709146
0.6,0.3,0.4,0.13210895179453566,0.13930091819717283
0.6,0.3,0.5,0.26643495735785466,0.28045895329402826
0.6,0.3,0.6,0.40011773900247893,0.4185882170441323
0.6,0.3,0.7,0.5303717802435747,0.5480664473879329
0.6,0.4,0.5,0.13466059721259327,0.14155338429972592
0.6,0.4,0.6,0.26898189965537195,0.2807902404236367
0.6,0.4,0.7,0.40011773897150305,0.41858820444636297
0.6,0.5,0.6,0.13466059722146054,0.14155339712738219
0.6,0.5,0.7,0.26643495733589956,0.2804589532784108
0.6,0.6,0.7,0.13210895176382023,0.1393009311923576
0.65,0.3,0.4,0.1468816288963847,0.15515144549556173
0.65,0.3,0.5,0.29648916112363427,0.3132966916668155
0.65,0.3,0.6,0.4451488790026529,0.46780431138394857
0.65,0.3,0.7,0.589319432673293,0.6109612363027489
0.65,0.4,0.5,0.15011319993345398,0.15876522442475996
0.65,0.4,0.6,0.29971511460911576,0.3150767452018754
0.65,0.4,0.7,0.44514887898857536,0.46780430051245103
