e,w1,w2,mean_family_distance,max_family_distance
0.65,0.5,0.6,0.15011319993586456,0.15876522643186483
0.65,0.5,0.7,0.2964891611120289,0.31329669166020896
0.65,0.6,0.7,0.14688162888240672,0.1551514568865276
0.7,0.3,0.4,0.16401297795787356,0.1789362281127897
0.7,0.3,0.5,0.3307542597916587,0.3498974242750639
0.7,0.3,0.6,0.49608905892992483,0.5226640602050481
0.7,0.3,0.7,0.6560941289315211,0.6808357528717698
0.7,0.4,0.5,0.16752905789430786,0.1785484883222388
0.7,0.4,0.6,0.33427233769284953,0.3539103483243789
0.7,0.4,0.7,0.49608905892187305,0.522664050441925
0.7,0.5,0.6,0.16752905790229686,0.17854849740156312
0.7,0.5,0.7,0.33075425979166084,0.3498974242750642
0.7,0.6,0.7,0.16401297794990444,0.1789362348011139
0.75,0.3,0.4,0.1970573498546624,0.23312868703310038
0.75,0.3,0.5,0.3833982456827513,0.4175482147565343
0.75,0.3,0.6,0.5677904378270937,0.5992830025757461
0.75,0.3,0.7,0.7583895844744937,0.7817920397819238
0.75,0.4,0.5,0.1879090890496438,0.20382147206002277
0.75,0.4,0.6,0.37456794345037925,0.39922032766185045
0.75,0.4,0.7,0.5677904378464574,0.5992830025913961
0.75,0.5,0.6,0.18790908903062808,0.2038214720555757
0.75,0.5,0.7,0.3833982456827468,0.41754821475653475
0.75,0.6,0.7,0.19705734987390114,0.23312868703385742
0.8,0.3,0.4,0.23738765497085404,0.33999999999999986
0.8,0.3,0.5,0.4473405104961937,0.5079000025216197
0.8,0.3,0.6,0.6547817900086859,0.6986547011336826
0.8,0.3,0.7,0.8814835208441275,0.9011906231969253
0.8,0.4,0.5,0.21329658449879127,0.23739056005102752
0.8,0.4,0.6,0.42448301608954625,0.4545416280733894
0.8,0.4,0.7,0.6547817900008165,0.6986546950141606
0.8,0.5,0.6,0.21329658449962305,0.23739056002485256
0.8,0.5,0.7,0.4473405104891609,0.5079000025189192
0.8,0.6,0.7,0.23738765496298703,0.3399999993041929
0.85,0.3,0.4,0.2523474706950801,0.37499999999999994
0.85,0.3,0.5,0.5160903722374235,0.625
0.85,0.3,0.6,0.774629512965902,0.8132897126152385
0.85,0.3,0.7,1.0111769445731953,1.027248916614776
0.85,0.4,0.5,0.2684099095925583,0.31661939014493007
0.85,0.4,0.6,0.5327130866978272,0.5622004415177166
0.85,0.4,0.7,0.7746295130204139,0.8132897127261989
0.85,0.5,0.6,0.26840990954124677,0.31661938482788354
0.85,0.5,0.7,0.516090372240531,0.6249999999999996
0.85,0.6,0.7,0.25234747075491876,0.3749999999999996
0.9,0.3,0.4,0.21688464621719686,0.25000000000000033
0.9,0.3,0.5,0.5899700068667824,0.7500000000000002
0.9,0.3,0.6,0.9504265955151451,0.9902169717843909
0.9,0.3,0.7,1.145022003120344,1.157930214723631
0.9,0.4,0.5,0.378838626768443,0.5015496995711773
0.9,0.4,0.6,0.7484702927752521,0.7686983485420407
0.9,0.4,0.7,0.9504265955031553,0.9902169827217769
0.9,0.5,0.6,0.378838626777261,0.5015496947058037
0.9,0.5,0.7,0.5899700068634588,0.7499999999128921
0.9,0.6,0.7,0.21688464620476375,0.24999999999999978
