e,w,a1,a2,mean_collapse_error,max_collapse_error
0.15,0.5,1.5,2.5,1.311814935578169e-11,7.169514490928386e-10
0.15,0.5,1.5,4.0,1.0536727059529179e-08,1.054392894890647e-08
0.15,0.5,2.5,4.0,1.0536922759150146e-08,1.0578214906896509e-08
0.15,0.6,0.75,1.0,1.7561222778075398e-08,1.757399479719112e-08
0.15,0.6,0.75,1.5,0.0,0.0
0.15,0.6,0.75,2.5,3.441919828056218e-09,3.4444243085136217e-09
0.15,0.6,0.75,4.0,1.7561222778075398e-08,1.757399479719112e-08
0.15,0.6,1.0,1.5,1.7561222778075398e-08,1.757399479719112e-08
0.15,0.6,1.0,2.5,2.100314260613161e-08,2.101841910570474e-08
0.15,0.6,1.0,4.0,0.0,0.0
0.15,0.6,1.5,2.5,3.441919828056218e-09,3.4444243085136217e-09
0.15,0.6,1.5,4.0,1.7561222778075398e-08,1.757399479719112e-08
0.15,0.6,2.5,4.0,2.100314260613161e-08,2.101841910570474e-08
0.15,0.7,0.75,1.0,1.9023745317359572e-08,1.9038401168490017e-08
0.15,0.7,0.75,1.5,0.0,0.0
0.15,0.7,0.75,2.5,7.664898612036537e-09,7.670807440064345e-09
0.15,0.7,0.75,4.0,1.9023745317359572e-08,1.9038401168490017e-08
0.15,0.7,1.0,1.5,1.9023745317359572e-08,1.9038401168490017e-08
0.15,0.7,1.0,2.5,1.1358846705323036e-08,1.1367593728425674e-08
0.15,0.7,1.0,4.0,0.0,0.0
0.15,0.7,1.5,2.5,7.664898612036537e-09,7.670807440064345e-09
0.15,0.7,1.5,4.0,1.9023745317359572e-08,1.9038401168490017e-08
0.15,0.7,2.5,4.0,1.1358846705323036e-08,1.1367593728425674e-08
0.2,0.3,0.75,1.0,1.3732672496867965e-11,7.067135449981076e-10
0.2,0.3,0.75,1.5,0.0,0.0
0.2,0.3,0.75,2.5,1.3730417421866409e-11,7.067133650402067e-10
0.2,0.3,0.75,4.0,1.3732672496867965e-11,7.067135449981076e-10
0.2,0.3,1.0,1.5,1.3732672496867965e-11,7.067135449981076e-10
0.2,0.3,1.0,2.5,3.1322039868106937e-15,1.0480881692492569e-14
0.2,0.3,1.0,4.0,0.0,0.0
0.2,0.3,1.5,2.5,1.3730417421866409e-11,7.067133650402067e-10
0.2,0.3,1.5,4.0,1.3732672496867965e-11,7.067135449981076e-10
0.2,0.3,2.5,4.0,3.1322039868106937e-15,1.0480881692492569e-14
0.2,0.4,0.75,1.0,1.825028640328265e-08,1.8284989822936833e-08
0.2,0.4,0.75,1.5,0.0,0.0
0.2,0.4,0.75,2.5,1.569955023945484e-11,8.297692228623564e-10
0.2,0.4,0.75,4.0,1.825028640328265e-08,1.8284989822936833e-08
0.2,0.4,1.0,1.5,1.825028640328265e-08,1.8284989822936833e-08
0.2,0.4,1.0,2.5,1.8250150456626624e-08,1.8261736390257133e-08
0.2,0.4,1.0,4.0,0.0,0.0
0.2,0.4,1.5,2.5,1.569955023945484e-11,8.297692228623564e-10
0.2,0.4,1.5,4.0,1.825028640328265e-08,1.8284989822936833e-08
0.2,0.4,2.5,4.0,1.8250150456626624e-08,1.8261736390257133e-08
0.2,0.5,0.75,1.0,1.3609247262193438e-08,1.3618698695472597e-08
0.2,0.5,0.75,1.5,0.0,0.0
0.2,0.5,0.75,2.5,3.717013961365568e-08,3.71958791396172e-08
0.2,0.5,0.75,4.0,1.3609247262193438e-08,1.3618698695472597e-08
0.2,0.5,1.0,1.5,1.3609247262193438e-08,1.3618698695472597e-08
0.2,0.5,1.0,2.5,2.3560901067028364e-08,2.357940515710286e-08
0.2,0.5,1.0,4.0,0.0,0.0
0.2,0.5,1.5,2.5,3.717013961365568e-08,3.71958791396172e-08
0.2,0.5,1.5,4.0,1.3609247262193438e-08,1.3618698695472597e-08
0.2,0.5,2.5,4.0,2.3560901067028364e-08,2.357940515710286e-08
0.2,0.6,0.75,1.0,2.8097958257782077e-08,2.8119129844304254e-08
0.2,0.6,0.75,1.5,0.0,0.0
0.2,0.6,0.75,2.5,1.1022984146662662e-09,1.103127515178635e-09
0.2,0.6,0.75,4.0,2.8097958257782077e-08,2.8119129844304254e-08
0.2,0.6,1.0,1.5,2.8097958257782077e-08,2.8119129844304254e-08
0.2,0.6,1.0,2.5,2.9200256672448342e-08,2.9222257359482885e-08
0.2,0.6,1.0,4.0,0.0,0.0
