method,split,condition,geometry_skew_bin,count,mean_band_candidate_count,mean_cluster_count,mean_compression_load,mean_mode_persistence_rate,mean_poison_pull,mean_supportive_pull
one_shot_random,holdout,sparse_partial_high_noise,low_skew,3,83.66666666666667,18.444444444444443,30.528530093940848,0.8746948815666445,0.0,0.42084194894628874
one_shot_random,holdout,sparse_partial_high_noise,mid_skew,3,88.55555555555556,20.0,21.814293090977994,0.8610314932163492,0.0,0.3890646697789797
one_shot_random,holdout,sparse_partial_high_noise,high_skew,3,83.33333333333333,18.666666666666668,17.62553875258408,0.885261807235432,0.0,0.5032751926537921
one_shot_random,confirmation,sparse_partial_high_noise,low_skew,3,82.33333333333333,18.777777777777775,20.356259221003395,0.7986595886633122,0.0,0.5565790684403237
one_shot_random,confirmation,sparse_partial_high_noise,mid_skew,3,98.11111111111113,18.0,39.19552721800178,0.8828453150915804,0.0,0.4086715265200194
one_shot_random,confirmation,sparse_partial_high_noise,high_skew,3,106.44444444444444,20.22222222222222,35.747018971856896,0.8958629505822255,0.0,0.5485957906804658
persistent_mode_informed,holdout,sparse_partial_high_noise,low_skew,3,211.44444444444443,15.222222222222223,22.467125199666455,0.8126935012089899,0.0,0.3459781473454651
persistent_mode_informed,holdout,sparse_partial_high_noise,mid_skew,3,241.77777777777774,16.11111111111111,20.365979961241017,0.8540193846637054,0.0,0.4128386772358916
persistent_mode_informed,holdout,sparse_partial_high_noise,high_skew,3,198.55555555555554,14.333333333333334,21.576920282752734,0.7153988172859164,0.0,0.3540598771564605
persistent_mode_informed,confirmation,sparse_partial_high_noise,low_skew,3,205.1111111111111,16.22222222222222,14.81740452169773,0.8924332955552963,0.0,0.3598334723514575
persistent_mode_informed,confirmation,sparse_partial_high_noise,mid_skew,3,208.0,15.888888888888891,14.468994642410115,0.8439387189652704,0.0,0.33960897289987696
persistent_mode_informed,confirmation,sparse_partial_high_noise,high_skew,3,194.66666666666666,16.555555555555557,19.10657123835949,0.9279422772007777,0.0,0.33273342346181606
