condition,trial,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_alpha,true_rotation_shift,pred_rho,pred_t,pred_h,pred_w1,pred_w2,pred_w3,pred_alpha,pred_rotation_shift,euclidean_pred_rho,euclidean_pred_t,euclidean_pred_h,euclidean_pred_w1,euclidean_pred_w2,euclidean_pred_rotation_shift,geometry_mae,weight_mae,alpha_abs_error,anisotropic_fit_rmse,euclidean_baseline_fit_rmse,fit_improvement_factor
full_clean,0,0.10482054239736856,-0.1818913323807451,0.8968970029098505,0.2950298388273578,0.5278645504439969,0.17710561072864528,1.372351333106461,47,0.19394310872480738,0.29403218472590026,1.2092113655576644,0.20167700574137745,0.22061846338094504,0.5777045308776775,0.7345385944537626,31,0.21664990884385968,-0.693504495671074,0.6130550050474094,0.3051806717926031,0.3591442848360093,17,0.17017505446336964,0.26706594676602147,0.6378127386526984,0.007008137520626846,0.10703543015065362,15.27302080411798
full_clean,1,0.08809087163464203,-0.1665248388686765,1.4429247374781402,0.3345622486560622,0.24390040937685875,0.42153734196707904,1.093282529044283,4,0.10106865244100621,-0.1888749974586711,0.6612053354304408,0.29287902293207785,0.18657380506164692,0.5205471720062752,1.0755681381438416,4,0.1366467062716608,-0.15108169447688444,0.7983650595459899,0.37516814436862816,0.3371308605947606,3,0.030979757967993123,0.06600655335946412,0.017714390900441357,0.00549816105248938,0.02967435565402122,5.397141948140221
full_clean,2,0.15111921803002565,-0.5703995599484071,1.4276614511947943,0.6050287277152567,0.1110791652981192,0.28389210698662404,1.5608120980898583,57,0.18316515638231123,-0.3517551799710371,0.7563986467555246,0.09584938057963215,0.4782661898172801,0.4258844296030878,0.6542084449049256,9,0.17384478656902397,0.5105689483241829,0.552052492812944,0.3303942612377566,0.3367816457676513,25,0.08692471652129896,0.09466154841097583,0.9066036531849327,0.008551714233835132,0.15236609406179102,17.81702356925699
full_clean,3,0.08506967178338894,-0.23075653724078937,0.8748578288470787,0.3922352501114054,0.3082689702937032,0.2994957795948913,1.1021809134583533,17,0.09363323827624537,-0.6366274651824493,0.644683784081339,0.27447166462080314,0.47332369700039684,0.2522046383788,0.8929555584146177,1,0.2046053073678822,-0.23552996037066848,0.7683648166479486,0.4355284049930307,0.29162481857092076,17,0.047297443143593076,0.05405896459266094,0.20922535504373563,0.008459593017968114,0.032738275881511264,3.8699587334728043
full_clean,4,0.14874470771803883,-0.3970267582129948,0.9118610965527036,0.28970701348218203,0.5915478107269501,0.11874517579086796,0.7059399350934734,14,0.12018462144671169,0.10278352397983008,0.9971921195731729,0.21148238930192595,0.4921233939073902,0.29639421679068384,0.7202128123035086,14,0.2078505466510599,-0.03968767188126356,0.9403185986104475,0.2549379252413817,0.3324831581463153,61,0.053377830450282965,0.11843269399987728,0.014272877210035229,0.012399796416421947,0.11797478499756581,9.514251769595448
full_clean,5,0.13109184373393123,-0.5008436979703385,1.149185141669141,0.6113210566512514,0.21508019757163677,0.17359874577711187,1.7321535101316958,29,0.07935191352959,0.23870019832070288,1.437734468648852,0.5777839066183248,0.2512396412483367,0.1709764521333385,1.7499956638231018,29,0.20522961756525965,-0.6394112191910737,0.7441086411326208,0.2612900505373079,0.7059760136556741,62,0.07861406293917615,0.02410629578446662,0.01784215369140596,0.006617520094796587,0.19048402938497508,28.78480558521527
full_clean,6,0.06896951153195761,-0.2273158293797161,1.343047070023323,0.11590191120371836,0.7797962162232643,0.10430187257301726,1.0235093641239816,10,0.07458514928386066,0.020298435450063334,0.7282878328352428,0.3275607548708305,0.2400918961837611,0.43234734894540844,0.9765818754937312,58,0.14632106476132503,-0.40061237742307093,0.7273836393983697,0.3763053486904383,0.41821443520234935,42,0.019676899850317214,0.30149030756828926,0.046927488630250425,0.002147540806914329,0.006600157160578719,3.0733558772566862
full_clean,7,0.09523075797306232,0.4572344826470899,0.6615945050504404,0.6146398986995123,0.3208784453924872,0.06448165590800048,0.9971945283985206,40,0.17473350975218893,-0.20442493010580876,0.8177574713058063,0.032194918232046156,0.27494987089990547,0.6928552108680484,1.013929508580187,48,0.14176009925330824,0.5629097107502531,1.0064445627050411,0.07448859413572616,0.5442981553389723,18,0.1262794701248095,0.41891570330669864,0.016734980181666304,0.006028286901177905,0.0010252563931020889,0.17007425325124417
full_clean,8,0.15063360242333448,0.024662724141069934,1.0092899641608288,0.21043719557210142,0.44300840155807925,0.34655440286981937,1.594351506964049,21,0.21195001587544682,-0.6655578990439702,0.7648203208040849,0.31235142704755203,0.3397086997565889,0.34793987319585906,1.5880059960664408,53,0.21664990884385968,-0.693504495671074,0.6130550050474094,0.3051806717926031,0.3591442848360093,54,0.11313077032293116,0.06886646786766022,0.006345510897608264,0.005964963433757941,0.15968400774403974,26.770324666255068
full_clean,9,0.1946157923374054,0.5702075225589126,0.5568021305096746,0.26712574818556556,0.4621234369920807,0.27075081482235375,1.1736700226851564,4,0.17841829373174511,-0.4711187699544718,0.6575820608872388,0.14794305741649735,0.5756970895353075,0.2763598530481951,1.1725631595046966,4,0.21664990884385968,-0.693504495671074,0.6130550050474094,0.3051806717926031,0.3591442848360093,38,0.11889208719421152,0.07945512717937879,0.0011068631804598272,0.007458967094302463,0.05482543999618723,7.350272404079337
full_clean,10,0.1484667202216042,-0.12771325264212693,1.4351827428478976,0.20692746439855886,0.11075507195696212,0.6823174636444791,1.5968106845548613,59,0.14703049351498537,0.43320605641092097,0.9379262360420865,0.5553768106065974,0.2553033868050673,0.1893198025883353,0.6182907256619455,43,0.2078505466510599,-0.03968767188126356,0.9403185986104475,0.2549379252413817,0.3324831581463153,59,0.036746266330524496,0.3286651073707625,0.9785199588929158,0.010548417720875013,0.1603979801076103,15.205880573935495
full_clean,11,0.15843400407569666,0.17141002082797097,0.5600807493568764,0.12755454390255808,0.0393667779621718,0.8330786781352701,1.6888559119994353,27,0.06961486074653278,-0.4424067295450488,0.8120454710962376,0.6709116732144454,0.07965070058148745,0.24943762620406712,1.6737440329903366,59,0.17949774130167653,-0.18341595143973244,0.9496907904736851,0.460186496063422,0.43043552596561035,60,0.11933317416376264,0.389094034620802,0.015111879009098717,0.003770356730473816,0.1822474581624541,48.336927031186065
