split,condition,count,mean_alpha_bank_log_span,mean_best_geometry_bank_span_norm,mean_consensus_geometry_bank_span_norm,mean_best_geometry_mae,mean_consensus_geometry_mae,consensus_beats_best_rate,consensus_tighter_rate
calibration,sparse_full_noisy,18,0.3314571880859333,0.44869409438978913,0.11699293733544217,0.07721755741602315,0.05952974417571485,0.6111111111111112,0.8888888888888888
calibration,sparse_partial_high_noise,18,0.2878822353471438,0.47953051312619405,0.07618157484640534,0.09858172679065873,0.0753206658362645,0.7222222222222222,1.0
holdout,sparse_full_noisy,9,0.2883721955540702,0.5131603381818225,0.11471132518316256,0.09295592192764074,0.05784808567008377,0.8888888888888888,1.0
holdout,sparse_partial_high_noise,9,0.23012607945393831,0.5686597728947664,0.06507009553757831,0.1035125097778932,0.07309018613477326,0.7777777777777778,1.0
confirmation,sparse_full_noisy,9,0.2892980279189714,0.5297659873554899,0.12358956448054433,0.09562596398931654,0.06230507807159854,0.8888888888888888,1.0
confirmation,sparse_partial_high_noise,9,0.3478619348463866,0.5091794185901777,0.06647295405492064,0.11775218012927192,0.0768588179911951,0.8888888888888888,1.0
