split,observation_seed,bank_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,candidate_count,alpha_log_span_set,geometry_span_norm_set,ambiguity_ratio,best_geometry_mae,consensus_geometry_mae,best_alpha,consensus_rho12,consensus_rho13,consensus_rho23
calibration,20260410,20260324,sparse_full_noisy,low_skew,1.147529461864347,0.10972497877703384,47,14,0.3520943713053996,0.6130845057164208,0.5742999015999584,0.04691501820867805,0.07239388269461079,1.0913040778755296,0.32791054718279017,0.19682370993918133,0.27684140772942306
calibration,20260410,20260325,sparse_full_noisy,low_skew,1.147529461864347,0.10972497877703384,47,10,0.35401716646693154,0.7818513408693315,0.45279345057246295,0.09774220561406755,0.07348707013650348,1.0773595933388225,0.32940849297143526,0.2126923614030762,0.26275437280256114
calibration,20260410,20260326,sparse_full_noisy,low_skew,1.147529461864347,0.10972497877703384,47,12,0.27627409373685097,0.563375476017519,0.49039069944936653,0.049955439862068345,0.07714261339789412,1.0763505750404045,0.3293599567412908,0.21394594842729664,0.2725159517926571
calibration,20260410,20260327,sparse_full_noisy,low_skew,1.147529461864347,0.10972497877703384,47,19,0.32902590243947627,0.8070937416697053,0.40766751797479145,0.04070923971760574,0.06491619616836565,1.1123499677980049,0.31319481260384807,0.1971944300217337,0.2687533626470774
calibration,20260410,20260328,sparse_full_noisy,low_skew,1.147529461864347,0.10972497877703384,47,10,0.23461957392538763,0.6466273569650043,0.36283583024787697,0.09754066587140331,0.03688596065329897,1.0872103672203692,0.288753689217022,0.17622585745098887,0.23007235205944826
calibration,20260410,20260324,sparse_full_noisy,mid_skew,1.2255287217844368,-0.42211193196284297,21,25,0.4433097689781408,0.6580877973135931,0.6736331699019394,0.1886778795457581,0.18249690817080086,0.8208224552185532,0.24019825990637805,0.1496316263333715,0.1980542182404046
calibration,20260410,20260325,sparse_full_noisy,mid_skew,1.2255287217844368,-0.42211193196284297,21,30,0.44504178972725594,0.7248018114841877,0.6140185947051334,0.24521322940707332,0.19436984086782938,1.1894498768467103,0.23133162798376725,0.13399400496647773,0.18693967343882356
calibration,20260410,20260326,sparse_full_noisy,mid_skew,1.2255287217844368,-0.42211193196284297,21,19,0.4037828009318488,0.7324629188337332,0.5512672253426474,0.22212587001198134,0.18430448648550965,0.8384252334127336,0.2391075967676967,0.1423606165639687,0.20099315620436223
calibration,20260410,20260327,sparse_full_noisy,mid_skew,1.2255287217844368,-0.42211193196284297,21,28,0.4444204230422142,0.6907712993016001,0.6433683963006898,0.0914529105226352,0.17607610161373347,0.8295188134940455,0.2502938493038057,0.1556766167411314,0.20117605810641903
calibration,20260410,20260328,sparse_full_noisy,mid_skew,1.2255287217844368,-0.42211193196284297,21,25,0.4322360505216134,0.6278589949237898,0.6884285389175299,0.15716355538498752,0.203111043870939,1.198444923274014,0.21904715324980029,0.1260824506263267,0.18091209350361265
calibration,20260410,20260324,sparse_full_noisy,high_skew,0.8719494631553358,0.46748272124058204,4,31,0.3581354583018357,0.8568667931865731,0.41795931543802484,0.1131928750026399,0.021975717041575676,1.1488557429081974,0.2539768514363804,0.14973178281716246,0.20831419353637307
calibration,20260410,20260325,sparse_full_noisy,high_skew,0.8719494631553358,0.46748272124058204,4,32,0.3792479787428029,0.6461214355071109,0.5869608372382022,0.022949139931030715,0.032528776848360835,1.1455032343505196,0.22405810280019897,0.1299361209410967,0.18677810087613322
calibration,20260410,20260326,sparse_full_noisy,high_skew,0.8719494631553358,0.46748272124058204,4,30,0.399978634445054,0.8022200948719519,0.4985896476563548,0.13446686394301743,0.027968747011007933,0.8616049674762232,0.23562270430663418,0.1412214964415601,0.20017896438222013
