split,count,mean_candidate_count,mean_alpha_bank_log_span,mean_best_geometry_bank_span_norm,mean_consensus_geometry_bank_span_norm,mean_best_geometry_mae,mean_consensus_geometry_mae,mean_geometry_mae_gain,mean_geometry_bank_span_gain,consensus_beats_best_rate,consensus_tighter_rate,consensus_span_vs_alpha_span_corr,best_span_vs_alpha_span_corr
calibration,36,59.73888888888889,0.3096697117165385,0.46411230375799156,0.09658725609092374,0.08789964210334095,0.06742520500598966,0.020474437097351274,0.36752504766706784,0.6666666666666666,0.9444444444444444,0.34467104156068396,0.053505965145940325
holdout,18,58.56666666666667,0.2592491375040042,0.5409100555382944,0.08989071036037043,0.09823421585276695,0.0654691359024285,0.03276507995033845,0.45101934517792397,0.8333333333333334,1.0,0.1163396172222083,0.09443859595086897
confirmation,18,58.10000000000001,0.31857998138267907,0.5194727029728337,0.09503125926773248,0.10668907205929423,0.0695819480313968,0.037107124027897426,0.4244414437051013,0.8888888888888888,1.0,-0.07112597267513107,0.6148637327671709
