split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_candidate_count,mean_alpha_log_span_set,mean_geometry_span_norm_set,mean_ambiguity_ratio,alpha_bank_log_span,best_geometry_bank_span_norm,consensus_geometry_bank_span_norm,best_geometry_mae_mean,consensus_geometry_mae_mean,geometry_mae_gain,geometry_bank_span_gain,consensus_beats_best_flag,consensus_tighter_flag
calibration,20260410,sparse_full_noisy,low_skew,1.147529461864347,0.10972497877703384,47,13.0,0.30920622157480915,0.6824064842475962,0.4575974799688913,0.03289864364892474,0.2102152428964785,0.12121175155883814,0.06657251385476459,0.0649651446101346,0.0016073692446299942,0.08900349133764036,1,1
calibration,20260410,sparse_full_noisy,mid_skew,1.2255287217844368,-0.42211193196284297,21,25.4,0.4337581666402146,0.6867965643713807,0.6341431850335879,0.37847326633874157,0.47597495951006313,0.08122773141061343,0.1809266889744871,0.1880716762017625,-0.0071449872272753845,0.39474722809944973,0,1
calibration,20260410,sparse_full_noisy,high_skew,0.8719494631553358,0.46748272124058204,4,34.2,0.3833291324029437,0.7699462056848045,0.5047247380572231,0.30090300974062106,0.6617343600479538,0.08088964011906202,0.07938584052634104,0.028933954357033283,0.05045188616930776,0.5808447199288918,1,1
calibration,20260410,sparse_partial_high_noise,low_skew,1.1217890161161423,0.1451518868676587,53,83.2,0.5668153830038625,0.9192895345895782,0.6170786987485253,0.2628464709036928,0.4068597004830943,0.09447305749498502,0.05463718530426177,0.08959182273155027,-0.03495463742728849,0.31238664298810925,0,1
calibration,20260410,sparse_partial_high_noise,mid_skew,1.1386629736527398,-0.2053148391190289,6,112.0,0.546755526774937,0.918766229420792,0.5956417164724126,0.3406810018691099,0.5303656809299953,0.06167277416054958,0.15383409205971765,0.11528154613037819,0.03855254592933946,0.4686929067694457,1,1
calibration,20260410,sparse_partial_high_noise,high_skew,1.2163133874347725,-0.6622995711727697,22,132.0,0.5695222580146424,0.9261441588664436,0.61624679384921,0.27357847213318653,0.5049087891527256,0.06805065076799008,0.06649477339735435,0.02590619775880742,0.04058857563854693,0.43685813838473553,1,1
calibration,20260411,sparse_full_noisy,low_skew,1.1404088967626327,0.02496537790705635,55,15.8,0.2808480655303154,0.7149403647758235,0.4063526204598866,0.2679016628115991,0.4805619613131669,0.13461221848831098,0.06674137584402098,0.030759987490659658,0.03598138835336133,0.3459497428248559,1,1
calibration,20260411,sparse_full_noisy,mid_skew,1.1623349409627526,0.2213605062322707,61,27.0,0.42975237094983765,0.8137281379460584,0.5300069481997214,0.3364824065294857,0.7316112465231576,0.10739557067308174,0.07645770429407052,0.04248614746563202,0.0339715568284385,0.6242156758500759,1,1
calibration,20260411,sparse_full_noisy,high_skew,0.8975141620964918,-0.45991871872541895,58,32.2,0.34562329274178755,0.8345099303788235,0.41498702086074923,0.2626752108257139,0.44517047830154993,0.06586247597365931,0.053018252364366955,0.053214350758360694,-0.00019609839399373913,0.37930800232789064,0,1
calibration,20260411,sparse_partial_high_noise,low_skew,1.159371427099871,0.14686963596079392,15,60.2,0.27749635214127055,0.8633458012861934,0.3219125215475749,0.07503767572287567,0.4287815289575543,0.060444355307244624,0.11565064011096408,0.032669280203026986,0.08298135990793709,0.36833717365030966,1,1
