split,condition,alpha_strength_bin,geometry_skew_bin,count,mean_alpha_bank_log_span,mean_best_geometry_bank_span_norm,mean_consensus_geometry_bank_span_norm,mean_best_geometry_mae,mean_consensus_geometry_mae,consensus_beats_best_rate,consensus_tighter_rate
calibration,sparse_full_noisy,moderate,low_skew,6,0.25791695019969857,0.38659684912214237,0.0924646477132492,0.07036008055482275,0.04795910895086656,1.0,1.0
calibration,sparse_full_noisy,moderate,mid_skew,6,0.391156246633531,0.43952061956988514,0.16218441129519703,0.0787382431046831,0.08504420116133048,0.16666666666666666,0.6666666666666666
calibration,sparse_full_noisy,moderate,high_skew,6,0.34529836742457015,0.5199648144773398,0.09632975299788023,0.08255434858856359,0.0455859224149475,0.6666666666666666,1.0
calibration,sparse_partial_high_noise,moderate,low_skew,6,0.223553654193576,0.5288435162698794,0.074696867337728,0.07955477112030448,0.05746948763413299,0.6666666666666666,1.0
calibration,sparse_partial_high_noise,moderate,mid_skew,6,0.2407552186283143,0.46770014725498615,0.0757626531494796,0.12129002573332807,0.08221435513728444,0.8333333333333334,1.0
calibration,sparse_partial_high_noise,moderate,high_skew,6,0.39933783321954114,0.4420478758537168,0.0780852040520084,0.09490038351834364,0.08627815473737604,0.6666666666666666,1.0
holdout,sparse_full_noisy,moderate,low_skew,3,0.34145439339725286,0.4967569500034949,0.08192506146192653,0.09051165594539158,0.060019127445627235,0.6666666666666666,1.0
holdout,sparse_full_noisy,moderate,mid_skew,3,0.2881204038596234,0.53841491697273,0.11122000644447738,0.09607287011396272,0.05224001771454765,1.0,1.0
holdout,sparse_full_noisy,moderate,high_skew,3,0.2355417894053343,0.5043091475692425,0.15098890764308373,0.09228323972356789,0.06128511185007642,1.0,1.0
holdout,sparse_partial_high_noise,moderate,low_skew,3,0.17108134312258028,0.6029884379512196,0.06383251648297088,0.08947274626806057,0.07413001188792982,0.6666666666666666,1.0
holdout,sparse_partial_high_noise,moderate,mid_skew,3,0.20265871929754167,0.47143571996543515,0.06128544825879681,0.12825791963802616,0.07467367226140033,0.6666666666666666,1.0
holdout,sparse_partial_high_noise,moderate,high_skew,3,0.3166381759416929,0.6315551607676443,0.07009232187096727,0.09280686342759285,0.07046687425498961,1.0,1.0
confirmation,sparse_full_noisy,moderate,low_skew,3,0.3095842976167647,0.5601738163440123,0.1858779446169082,0.06955593710848013,0.04215627868192249,1.0,1.0
confirmation,sparse_full_noisy,moderate,mid_skew,3,0.2665313449474656,0.5577884094942869,0.07003359989549492,0.08069766550648054,0.06075746871149848,0.6666666666666666,1.0
confirmation,sparse_full_noisy,moderate,high_skew,3,0.291778441192684,0.47133573622817027,0.11485714892922982,0.13662428935298898,0.08400148682137461,1.0,1.0
confirmation,sparse_partial_high_noise,moderate,low_skew,3,0.27578522770214925,0.5008253306615251,0.057217822036427245,0.08359385773488558,0.054845252731768664,1.0,1.0
confirmation,sparse_partial_high_noise,moderate,mid_skew,3,0.31624242855731394,0.5333762316211893,0.06342797799887694,0.14705197325527344,0.08117011948126505,1.0,1.0
confirmation,sparse_partial_high_noise,moderate,high_skew,3,0.4515581482796966,0.49333669348781856,0.07877306212945771,0.12261070939765673,0.09456108176055156,0.6666666666666666,1.0
