condition,true_e,replicate,pilot_perimeter_estimate,perimeter_estimate,width_estimate,major_tip_estimate,pilot_abs_error,perimeter_abs_error,width_abs_error,major_tip_abs_error
dense_low_noise,0.05,0,0.07547180028662001,3.9443045221607546e-31,0.07045479380148631,0.4888894165186295,0.02547180028662001,0.05,0.020454793801486307,0.4388894165186295
dense_low_noise,0.05,1,0.07302981066247247,0.043265674648757774,0.06140786128319406,0.4086420020075778,0.023029810662472464,0.006734325351242229,0.011407861283194057,0.3586420020075778
dense_low_noise,0.05,2,0.08436201841890328,0.03704663373067328,0.05002054217630943,0.4726296389755605,0.03436201841890328,0.012953366269326722,2.0542176309423787e-05,0.4226296389755605
dense_low_noise,0.05,3,3.9443045221607546e-31,0.041954366651401606,0.054883407394881886,0.4560787750033301,0.05,0.008045633348598397,0.0048834073948818835,0.4060787750033301
dense_low_noise,0.05,4,0.07854813934310137,0.029943491076380863,0.0,0.4091572823859921,0.028548139343101367,0.02005650892361914,0.05,0.3591572823859921
dense_low_noise,0.05,5,0.07360529701055651,0.03081293270700073,0.05872268676480489,0.4491596144247627,0.02360529701055651,0.019187067292999273,0.008722686764804886,0.3991596144247627
dense_low_noise,0.05,6,0.08193137841652814,0.07145052660588688,0.06313500357949842,0.4784674073734966,0.03193137841652814,0.02145052660588688,0.013135003579498414,0.4284674073734966
dense_low_noise,0.05,7,0.08315468644546933,0.0642539892273378,0.046976176435818584,0.4147501593894512,0.03315468644546933,0.014253989227337796,0.0030238235641814187,0.3647501593894512
dense_low_noise,0.05,8,0.07025983718432444,0.07049771834322868,0.05085953107158483,0.43145585946881465,0.020259837184324433,0.02049771834322868,0.0008595310715848251,0.38145585946881466
dense_low_noise,0.05,9,0.047227381624074555,0.0657144679745125,0.06616623124070765,0.4826577820659882,0.002772618375925448,0.015714467974512494,0.01616623124070765,0.4326577820659882
dense_low_noise,0.05,10,0.09414085863400659,0.03224999909366459,0.0,0.4229309332749488,0.04414085863400659,0.01775000090633541,0.05,0.3729309332749488
dense_low_noise,0.05,11,0.10346557654904212,0.08070971407077415,0.08360270282559253,0.4447054428465171,0.05346557654904212,0.03070971407077415,0.03360270282559252,0.3947054428465171
dense_low_noise,0.05,12,0.09466264965123816,0.046416626658282015,0.03251827013407493,0.5172873687231094,0.04466264965123816,0.003583373341717988,0.017481729865925076,0.46728736872310944
dense_low_noise,0.05,13,0.08111673379818843,0.027178411860608813,0.05917153705075662,0.5307746472435307,0.031116733798188426,0.02282158813939119,0.009171537050756615,0.48077464724353075
dense_low_noise,0.05,14,0.03418250889252296,0.06663517607861477,0.07459391697160794,0.47736963722458986,0.015817491107477044,0.01663517607861477,0.02459391697160794,0.42736963722458987
dense_low_noise,0.05,15,0.09269506696170854,0.05854025582489156,0.0,0.4557289656242655,0.042695066961708536,0.008540255824891554,0.05,0.4057289656242655
dense_low_noise,0.05,16,0.08728150032560553,0.04919977174347158,0.04657763028122267,0.48283988770902747,0.037281500325605524,0.0008002282565284236,0.003422369718777331,0.4328398877090275
dense_low_noise,0.05,17,0.0768676839776665,0.09901748969604196,0.04789284282762134,0.47485444403834937,0.026867683977666493,0.04901748969604196,0.0021071571723786653,0.4248544440383494
dense_low_noise,0.05,18,0.07454452414042659,3.9443045221607546e-31,0.08660053963386025,0.43018993219727925,0.024544524140426585,0.05,0.03660053963386024,0.38018993219727926
dense_low_noise,0.05,19,0.04642566283929034,3.9443045221607546e-31,0.06376003548550702,0.48716043452442226,0.0035743371607096647,0.05,0.013760035485507013,0.43716043452442227
dense_low_noise,0.05,20,0.07262944412239761,0.052937724737883496,0.034323396114649504,0.4560464986455194,0.022629444122397604,0.002937724737883493,0.0156766038853505,0.4060464986455194
dense_low_noise,0.05,21,0.10519437424379971,0.059900801372349,0.06417315370026272,0.43269117409195273,0.05519437424379971,0.009900801372349,0.014173153700262717,0.38269117409195275
dense_low_noise,0.05,22,0.07359361386954644,0.06533343190157506,0.04200585902918344,0.4446033000126638,0.023593613869546434,0.01533343190157506,0.007994140970816563,0.3946033000126638
dense_low_noise,0.05,23,0.08692176814204242,0.027144830368472296,0.05689297172898762,0.4581805085906566,0.03692176814204241,0.022855169631527707,0.006892971728987618,0.40818050859065663
