e,probe,mae
0.05,width,0.06294109401306741
0.05,perimeter,0.08611809692700037
0.05,major_tip,0.04570995418253622
0.1,width,0.06505957816828198
0.1,perimeter,0.09166510486772726
0.1,major_tip,0.04214328805474266
0.15,width,0.05774144724548378
0.15,perimeter,0.09047358631852785
0.15,major_tip,0.02740904505507092
0.2,width,0.041645180936758945
0.2,perimeter,0.08222704640639511
0.2,major_tip,0.01953148188538519
0.25,width,0.031157061689230596
0.25,perimeter,0.06762041829611203
0.25,major_tip,0.014973747945366983
0.3,width,0.02441186452653006
0.3,perimeter,0.053426988374942676
0.3,major_tip,0.012115652577230239
0.35,width,0.020333663974855393
0.35,perimeter,0.04344740379535307
0.35,major_tip,0.009909677132293473
0.4,width,0.016936935924961493
0.4,perimeter,0.03646373691305575
0.4,major_tip,0.008360862669617585
0.45,width,0.01407806145281012
0.45,perimeter,0.030588134139153077
0.45,major_tip,0.006997789140791443
0.5,width,0.011895820581684839
0.5,perimeter,0.027392806030719447
0.5,major_tip,0.005972239913816688
0.55,width,0.009987040801581788
0.55,perimeter,0.023645120259391784
0.55,major_tip,0.005055514930603468
0.6,width,0.008477749598037472
0.6,perimeter,0.02095622055360637
0.6,major_tip,0.004302495084800974
0.65,width,0.007077068067005825
0.65,perimeter,0.01811201290896934
0.65,major_tip,0.0035655808513379043
0.7,width,0.005909023537518383
0.7,perimeter,0.015388897985352687
0.7,major_tip,0.0029123817796215747
0.75,width,0.0046365255109621145
0.75,perimeter,0.01333766295506792
0.75,major_tip,0.002389403716333178
0.8,width,0.003646385995867094
0.8,perimeter,0.011386357320054434
0.8,major_tip,0.0017924773963019667
0.85,width,0.002578688666045496
0.85,perimeter,0.009332439410117507
0.85,major_tip,0.0012986792409238528
0.9,width,0.0016841284946054757
0.9,perimeter,0.007518759625957322
0.9,major_tip,0.0008502710197419426
0.95,width,0.0008282101134788586
0.95,perimeter,0.005758984971314799
0.95,major_tip,0.00041105945357811747
