condition,true_e,probe,mae
sparse_medium_noise,0.05,width,0.05061579248688488
sparse_medium_noise,0.05,major_tip,0.8263884845103041
sparse_medium_noise,0.1,perimeter,0.05005314742696177
sparse_medium_noise,0.1,width,0.058088874125713195
sparse_medium_noise,0.1,major_tip,0.7779634550683073
sparse_medium_noise,0.15,perimeter,0.04148499526226641
sparse_medium_noise,0.15,width,0.0414597873431794
sparse_medium_noise,0.15,major_tip,0.7280759690582378
sparse_medium_noise,0.2,perimeter,0.031559335891409634
sparse_medium_noise,0.2,width,0.029965608528231404
sparse_medium_noise,0.2,major_tip,0.6827818502133243
sparse_medium_noise,0.25,perimeter,0.022797318121387355
sparse_medium_noise,0.25,width,0.018820168804145665
sparse_medium_noise,0.25,major_tip,0.6403547085456474
sparse_medium_noise,0.3,perimeter,0.018654561195196873
sparse_medium_noise,0.3,width,0.01637354227892635
sparse_medium_noise,0.3,major_tip,0.5920850807268199
sparse_medium_noise,0.35,perimeter,0.015844958158409524
sparse_medium_noise,0.35,width,0.013835458591614253
sparse_medium_noise,0.35,major_tip,0.544563362352622
sparse_medium_noise,0.4,perimeter,0.012358869729238218
sparse_medium_noise,0.4,width,0.011057201697521385
sparse_medium_noise,0.4,major_tip,0.49575040870018694
sparse_medium_noise,0.45,perimeter,0.009894107953262544
sparse_medium_noise,0.45,width,0.009898855451856417
sparse_medium_noise,0.45,major_tip,0.4558118147029315
sparse_medium_noise,0.5,perimeter,0.010215696994487556
sparse_medium_noise,0.5,width,0.009072775161838319
sparse_medium_noise,0.5,major_tip,0.4035441290578356
sparse_medium_noise,0.55,perimeter,0.007910140731015015
sparse_medium_noise,0.55,width,0.007834562865727276
sparse_medium_noise,0.55,major_tip,0.3621381080103183
sparse_medium_noise,0.6,perimeter,0.006825414776334905
sparse_medium_noise,0.6,width,0.007015712374657992
sparse_medium_noise,0.6,major_tip,0.3194669283176151
sparse_medium_noise,0.65,perimeter,0.006576654059482436
sparse_medium_noise,0.65,width,0.0061498543204476725
sparse_medium_noise,0.65,major_tip,0.27655951188008976
sparse_medium_noise,0.7,perimeter,0.00552514708186022
sparse_medium_noise,0.7,width,0.005578399452593219
sparse_medium_noise,0.7,major_tip,0.22995850794506942
sparse_medium_noise,0.75,perimeter,0.0044838989654122285
sparse_medium_noise,0.75,width,0.004777286048878131
sparse_medium_noise,0.75,major_tip,0.19058247814788923
sparse_medium_noise,0.8,perimeter,0.0033077912020052155
sparse_medium_noise,0.8,width,0.003950859503758829
sparse_medium_noise,0.8,major_tip,0.14877591652865632
sparse_medium_noise,0.85,perimeter,0.002748392192334846
sparse_medium_noise,0.85,width,0.003837726545637363
sparse_medium_noise,0.85,major_tip,0.10831658783452322
sparse_medium_noise,0.9,perimeter,0.0022918349309592246
sparse_medium_noise,0.9,width,0.0031969533680722487
sparse_medium_noise,0.9,major_tip,0.067606650602246
sparse_medium_noise,0.95,perimeter,0.0016772811394837979
sparse_medium_noise,0.95,width,0.0027733380401971652
sparse_medium_noise,0.95,major_tip,0.0289509648500982
sparse_high_noise,0.05,perimeter,0.05621449402795296
sparse_high_noise,0.05,width,0.06850286501701255
sparse_high_noise,0.05,major_tip,0.8800334937116175
sparse_high_noise,0.1,perimeter,0.07554776380948433
sparse_high_noise,0.1,width,0.0728894238093696
sparse_high_noise,0.1,major_tip,0.8303366759777386
sparse_high_noise,0.15,perimeter,0.08192023248246191
sparse_high_noise,0.15,width,0.06247873431633738
sparse_high_noise,0.15,major_tip,0.7778903900642717
sparse_high_noise,0.2,perimeter,0.07646098226491978
sparse_high_noise,0.2,width,0.05197685602582271
sparse_high_noise,0.2,major_tip,0.7296228391300358
sparse_high_noise,0.25,perimeter,0.05240269731181489
sparse_high_noise,0.25,width,0.04111921492999663
sparse_high_noise,0.25,major_tip,0.6822668335529666
sparse_high_noise,0.3,perimeter,0.03789740533264141
sparse_high_noise,0.3,width,0.03566456540237442
sparse_high_noise,0.3,major_tip,0.6329778695585475
sparse_high_noise,0.35,perimeter,0.03624010646436377
sparse_high_noise,0.35,width,0.025884597625172916
sparse_high_noise,0.35,major_tip,0.5850757129263945
sparse_high_noise,0.4,perimeter,0.02699306320838987
sparse_high_noise,0.4,width,0.021680896061224954
sparse_high_noise,0.4,major_tip,0.5352784129394814
sparse_high_noise,0.45,perimeter,0.023013814000849144
sparse_high_noise,0.45,width,0.020552802779034582
sparse_high_noise,0.45,major_tip,0.48899167218737194
sparse_high_noise,0.5,perimeter,0.020208145905991307
sparse_high_noise,0.5,width,0.018271619381273467
sparse_high_noise,0.5,major_tip,0.4399080396360207
sparse_high_noise,0.55,perimeter,0.015605514060112251
sparse_high_noise,0.55,width,0.01438150136965279
sparse_high_noise,0.55,major_tip,0.39405564151693395
sparse_high_noise,0.6,perimeter,0.014130129120895701
sparse_high_noise,0.6,width,0.012805623450657527
sparse_high_noise,0.6,major_tip,0.3472708218484568
sparse_high_noise,0.65,perimeter,0.012394646951280508
sparse_high_noise,0.65,width,0.011820461225165361
sparse_high_noise,0.65,major_tip,0.29951856317935405
sparse_high_noise,0.7,perimeter,0.011009238796367423
sparse_high_noise,0.7,width,0.011244223997057406
sparse_high_noise,0.7,major_tip,0.2531132537877907
sparse_high_noise,0.75,perimeter,0.009165594888834165
sparse_high_noise,0.75,width,0.00895855454202941
sparse_high_noise,0.75,major_tip,0.20580605284177542
sparse_high_noise,0.8,perimeter,0.0072303889839006276
sparse_high_noise,0.8,width,0.007722938847674578
sparse_high_noise,0.8,major_tip,0.16046258748927592
sparse_high_noise,0.85,perimeter,0.00659956039563867
sparse_high_noise,0.85,width,0.00723361084800475
sparse_high_noise,0.85,major_tip,0.11618978652567782
sparse_high_noise,0.9,perimeter,0.004733587394179271
sparse_high_noise,0.9,width,0.006511394287249459
sparse_high_noise,0.9,major_tip,0.07184181272685079
sparse_high_noise,0.95,perimeter,0.003725085919378842
sparse_high_noise,0.95,width,0.005166899515316386
sparse_high_noise,0.95,major_tip,0.027705094109267414
