representation,condition,geometry_penalty_factor,weight_penalty_factor,alpha_penalty_factor,alpha_over_geometry_selectivity
radial,full_clean,1.0102087131368953,1.7126211202432837,10.078102283843863,9.97625753251463
radial,full_noisy,1.2972573152739044,1.2198830164089338,11.664897917526273,8.991969272544308
radial,partial_arc_noisy,1.0582178071284696,1.2175794540641953,5.547888277200688,5.242671442333009
radial,sparse_full_noisy,0.8111631203107933,1.227240943827598,7.023258612662478,8.65825681272535
radial,sparse_partial_high_noise,0.9932452462836165,0.957858344662122,1.793013844065922,1.8052075766531634
support,full_clean,0.9311325898126269,1.4965778006384083,10.958706354619709,11.76922220800471
support,full_noisy,1.3584096989343524,1.1986843035840467,10.581021536794834,7.789271193437041
support,partial_arc_noisy,1.004010742755919,1.0911787686341212,5.556323976207203,5.534128012371256
support,sparse_full_noisy,0.785034897116393,1.2721584891163225,9.389626294581104,11.960775666242712
support,sparse_partial_high_noise,0.8158303705572435,0.8883312267083561,3.9784580053885787,4.876575019720263
