lambda_ratio,c_scale,a_deficit,b_residue,hyperbolic_eccentricity,normalized_vertex,normalized_openness,asymptote_slope,normalized_vertex_curvature,max_equation_residual,rms_equation_residual
0.05,0.75,0.037500000000000006,0.7490619133289317,19.999999999999996,0.05000000000000001,0.998749217771909,19.974984355438174,0.05012531328320803,7.105427357601002e-14,1.7690463823215448e-14
0.05,1.0,0.05,0.998749217771909,20.0,0.05,0.998749217771909,19.974984355438178,0.05012531328320802,1.0658141036401503e-13,2.5084080847479082e-14
0.05,1.5,0.07500000000000001,1.4981238266578634,19.999999999999996,0.05000000000000001,0.998749217771909,19.974984355438174,0.05012531328320803,7.105427357601002e-14,1.7690463823215448e-14
0.05,2.5,0.125,2.496873044429772,20.0,0.05,0.9987492177719088,19.974984355438178,0.050125313283208024,2.930988785010413e-14,6.92111110159387e-15
0.05,4.0,0.2,3.994996871087636,20.0,0.05,0.998749217771909,19.974984355438178,0.05012531328320802,1.0658141036401503e-13,2.5084080847479082e-14
0.1,0.75,0.07500000000000001,0.746240577829965,9.999999999999998,0.10000000000000002,0.99498743710662,9.9498743710662,0.10101010101010102,5.684341886080802e-14,1.152141399205065e-14
0.1,1.0,0.1,0.99498743710662,10.0,0.1,0.99498743710662,9.9498743710662,0.10101010101010102,3.730349362740526e-14,7.235126770508785e-15
0.1,1.5,0.15000000000000002,1.49248115565993,9.999999999999998,0.10000000000000002,0.99498743710662,9.9498743710662,0.10101010101010102,5.684341886080802e-14,1.152141399205065e-14
0.1,2.5,0.25,2.48746859276655,10.0,0.1,0.99498743710662,9.9498743710662,0.10101010101010101,1.5987211554602254e-14,3.430082502057171e-15
0.1,4.0,0.4,3.97994974842648,10.0,0.1,0.99498743710662,9.9498743710662,0.10101010101010102,3.730349362740526e-14,7.235126770508785e-15
0.15,0.75,0.11249999999999999,0.7415144974981945,6.666666666666667,0.15,0.9886859966642594,6.59123997776173,0.1534526854219949,4.263256414560601e-14,8.102396680561226e-15
0.15,1.0,0.15,0.9886859966642595,6.666666666666667,0.15,0.9886859966642595,6.59123997776173,0.15345268542199486,2.3092638912203256e-14,4.554372475092621e-15
0.15,1.5,0.22499999999999998,1.483028994996389,6.666666666666667,0.15,0.9886859966642594,6.59123997776173,0.1534526854219949,4.263256414560601e-14,8.102396680561226e-15
0.15,2.5,0.375,2.4717149916606487,6.666666666666667,0.15,0.9886859966642595,6.59123997776173,0.15345268542199486,2.6645352591003757e-14,3.392282772797895e-15
0.15,4.0,0.6,3.954743986657038,6.666666666666667,0.15,0.9886859966642595,6.59123997776173,0.15345268542199486,2.3092638912203256e-14,4.554372475092621e-15
0.2,0.75,0.15000000000000002,0.7348469228349535,4.999999999999999,0.20000000000000004,0.9797958971132713,4.898979485566356,0.20833333333333334,2.3092638912203256e-14,5.868401988597847e-15
0.2,1.0,0.2,0.9797958971132712,5.0,0.2,0.9797958971132712,4.898979485566356,0.20833333333333334,2.6645352591003757e-14,5.807527720482704e-15
0.2,1.5,0.30000000000000004,1.469693845669907,4.999999999999999,0.20000000000000004,0.9797958971132713,4.898979485566356,0.20833333333333334,2.3092638912203256e-14,5.868401988597847e-15
0.2,2.5,0.5,2.449489742783178,5.0,0.2,0.9797958971132712,4.898979485566356,0.20833333333333337,1.2434497875801753e-14,2.5375628170128595e-15
0.2,4.0,0.8,3.919183588453085,5.0,0.2,0.9797958971132712,4.898979485566356,0.20833333333333334,2.6645352591003757e-14,5.807527720482704e-15
0.25,0.75,0.1875,0.7261843774138906,4.0,0.25,0.9682458365518541,3.8729833462074166,0.26666666666666666,1.3322676295501878e-14,2.5450854901724163e-15
0.25,1.0,0.25,0.9682458365518543,4.0,0.25,0.9682458365518543,3.872983346207417,0.2666666666666666,7.105427357601002e-15,1.833475426610946e-15
0.25,1.5,0.375,1.4523687548277813,4.0,0.25,0.9682458365518541,3.8729833462074166,0.26666666666666666,1.3322676295501878e-14,2.5450854901724163e-15
0.25,2.5,0.625,2.4206145913796355,4.0,0.25,0.9682458365518543,3.872983346207417,0.26666666666666666,2.1316282072803006e-14,2.8575725882420356e-15
0.25,4.0,1.0,3.872983346207417,4.0,0.25,0.9682458365518543,3.872983346207417,0.2666666666666666,7.105427357601002e-15,1.833475426610946e-15
0.3,0.75,0.22499999999999998,0.7154544010627092,3.3333333333333335,0.3,0.9539392014169455,3.1797973380564857,0.32967032967032966,1.865174681370263e-14,4.295028026632711e-15
0.3,1.0,0.3,0.9539392014169457,3.3333333333333335,0.3,0.9539392014169457,3.1797973380564857,0.32967032967032966,1.7763568394002505e-14,4.2634125368148076e-15
0.3,1.5,0.44999999999999996,1.4309088021254184,3.3333333333333335,0.3,0.9539392014169455,3.1797973380564857,0.32967032967032966,1.865174681370263e-14,4.295028026632711e-15
0.3,2.5,0.75,2.384848003542364,3.3333333333333335,0.3,0.9539392014169457,3.1797973380564852,0.32967032967032966,1.4210854715202004e-14,2.536712630001832e-15
