condition,count,marginalized_alpha_error_mean,support_gated_alpha_error_mean,conditioned_alpha_error_mean,family_alpha_error_mean,joint_alpha_error_mean,score_competitive_alpha_error_mean,oracle_three_alpha_error_mean,oracle_pose_alpha_error_mean,oos_loocv_alpha_error_mean,oos_loocv_strategy,joint_pose_entropy_mean
sparse_full_noisy,9,0.09937798141807411,0.121961890622065,0.12448468116610746,0.12385988494151769,0.1739952508292153,0.12103061785202292,0.09493890496446432,0.02991596825757978,0.1486103358069024,score_competitive,0.45661708548200014
sparse_partial_high_noise,9,0.13194172361116652,0.11637441358513678,0.11637441358513678,0.13388286008671602,0.18124711158185097,0.13531585798234066,0.11629841205254958,0.027474058693229792,0.11637441358513678,conditioned,0.6137804431023159
