condition,alpha_strength_bin,geometry_skew_bin,count,support_gated_alpha_error_mean,conditioned_alpha_error_mean,family_alpha_error_mean,joint_alpha_error_mean,score_competitive_alpha_error_mean,oracle_three_alpha_error_mean,oracle_pose_alpha_error_mean,oos_loocv_alpha_error_mean,oos_loocv_strategy,joint_pose_entropy_mean
sparse_full_noisy,moderate,low_skew,3,0.12707597094642253,0.13191797036364408,0.12707597094642253,0.20463978105205408,0.12533477445203353,0.12491171814382618,0.033610297393288725,0.20680403385465043,joint,0.49210231933550014
sparse_full_noisy,moderate,mid_skew,3,0.22098467945973488,0.2248191291541676,0.22098467945973488,0.3016253346419326,0.222036442310376,0.14765134612640152,0.02997318532291134,0.298152462487501,family,0.5451010182268061
sparse_full_noisy,moderate,high_skew,3,0.017825021460037577,0.016716943980510674,0.023519004418395644,0.015720636793659242,0.015720636793659242,0.012253650623165266,0.026164422056539276,0.020183930151004652,joint,0.3326479188836943
sparse_partial_high_noise,moderate,low_skew,3,0.17605144443473222,0.17605144443473222,0.1781626717729842,0.18186571574720464,0.18043034647879538,0.17605144443473222,0.024853322963824958,0.17605144443473222,conditioned,0.56323664987137
sparse_partial_high_noise,moderate,mid_skew,3,0.15570152143137408,0.15570152143137408,0.15570152143137408,0.16115273495446203,0.16115273495446203,0.15570152143137408,0.04287822569262234,0.15570152143137408,conditioned,0.6039629585021581
sparse_partial_high_noise,moderate,high_skew,3,0.01737027488930402,0.01737027488930402,0.06778438705578971,0.20072288404388625,0.0643644925137646,0.01714227029154236,0.014690627423242083,0.2009508886416479,conditioned,0.6741417209334198
