condition,geometry_skew_bin,trial_in_cell,true_alpha,true_t,true_rotation_shift,marginalized_alpha_error,marginalized_geometry_mae,marginalized_weight_mae,support_gated_alpha_error,support_gated_geometry_mae,support_gated_weight_mae,support_gated_fit_rmse,support_gated_choose_family,conditioned_alpha_error,conditioned_geometry_mae,conditioned_weight_mae,conditioned_fit_rmse,conditioned_score,family_alpha_error,family_geometry_mae,family_weight_mae,family_fit_rmse,family_score,joint_alpha_error,joint_geometry_mae,joint_weight_mae,joint_fit_rmse,joint_score,joint_pose_entropy,score_competitive_alpha_error,score_competitive_choose,oracle_three_alpha_error,oracle_three_choose,oracle_pose_alpha_error,oracle_pose_geometry_mae,oracle_pose_weight_mae,oracle_pose_fit_rmse
sparse_full_noisy,low_skew,0,0.8281148971377308,-0.024292527451338808,18,0.035986664974327454,0.052111051408773125,0.11475645012778092,0.02146066672266289,0.11142854990098522,0.034648877242275854,0.012287132021904932,1,0.035986664974327454,0.052111051408773125,0.11475645012778092,0.027761200331500462,0.0018330625161183892,0.02146066672266289,0.11142854990098522,0.034648877242275854,0.012287132021904932,0.0017280576999324085,0.2606448554473466,0.06681790803293623,0.11946390351620716,0.04935807259092767,0.001849669932817593,0.5164210725713184,0.02146066672266289,family,0.02146066672266289,family,0.02146066672266289,0.16179376782146473,0.034648877242275854,0.02153964965893659
sparse_full_noisy,low_skew,1,0.8594985190077353,0.017798300301169356,4,0.0339621258572419,0.12270416406933321,0.11148632363128713,0.0339621258572419,0.12251132114471763,0.11148632363128713,0.01912610414348386,1,0.03396212585724201,0.12270416406933321,0.11148632363128713,0.019672784111410675,0.0015729812863155598,0.0339621258572419,0.12251132114471763,0.11148632363128713,0.01912610414348386,0.0015722149350911843,0.032692956932619865,0.09072718836386262,0.11475012943025176,0.018978589649107765,0.0015739568714540784,0.5121266373340809,0.0339621258572419,family,0.032692956932619865,joint,0.021953690323584185,0.07161906105528242,0.12236019211740017,0.014211326248369129
sparse_full_noisy,low_skew,2,1.1628828694876643,0.04671199788075486,36,0.3258051202593628,0.0890298420865333,0.3180805791895396,0.3258051202593628,0.018395172496293317,0.3180805791895396,0.01602859172375703,1,0.3258051202593628,0.0890298420865333,0.3180805791895396,0.01668871887922212,0.001642613657154125,0.3258051202593628,0.018395172496293317,0.3180805791895396,0.01602859172375703,0.0016171130351427282,0.3205815307761958,0.028568164514266275,0.13574448988698137,0.01508468084858393,0.0016097939951100946,0.447759248101101,0.3205815307761958,joint,0.3205815307761958,joint,0.05741653513361911,0.1067688011847081,0.18444474211411901,0.01627955769945214
sparse_full_noisy,mid_skew,0,1.1928286918080602,-0.4006151030743843,43,0.3557509425797587,0.10527932005886025,0.2036462544910099,0.3557509425797587,0.0891016172484544,0.2036462544910099,0.007505127112345386,1,0.3557509425797587,0.10527932005886025,0.2036462544910099,0.008828741017716042,0.0017035048913350253,0.3557509425797587,0.0891016172484544,0.2036462544910099,0.007505127112345386,0.0016986238520526116,0.3589062311316821,0.19556147489501133,0.11068462008743428,0.0074494613911940235,0.0016976756182005965,0.35660194840487897,0.3589062311316821,joint,0.3557509425797587,conditioned,0.029729957192380585,0.07278593763352935,0.16117823222587907,0.01759719750698579
sparse_full_noisy,mid_skew,1,0.824797349464585,0.31218429978906825,29,0.056654859866734464,0.2245590625307421,0.1580676712062874,0.056654859866734464,0.2560271487815615,0.1580676712062874,0.02164466092684911,1,0.28815820895003275,0.2375008200893438,0.06068640162478259,0.031576364741553495,0.0015397239656368892,0.056654859866734464,0.2560271487815615,0.1580676712062874,0.02164466092684911,0.0015377277734130181,0.3058001141993518,0.2788014092006142,0.36569407577761653,0.026755589858205513,0.0015500476762648388,0.6248779745711253,0.056654859866734464,family,0.056654859866734464,family,0.03930421264747319,0.02526158721719085,0.06080497023235259,0.019107710684527553
sparse_full_noisy,mid_skew,2,1.1435037943473292,-0.40061237742307093,2,0.0044246206170430735,0.10544771548198678,0.004449852448453954,0.25054823593271147,0.12849307839739998,0.06788912271309015,0.014800783606399477,1,0.030548235932711387,0.08007314565687709,0.06788912271309015,0.014244866246479004,0.001233132416905366,0.25054823593271147,0.12849307839739998,0.06788912271309015,0.014800783606399477,0.0012320640977563418,0.2401696585947638,0.11617003109756596,0.030794390320313447,0.01706056481470576,0.0012450721048659743,0.6538231317044141,0.25054823593271147,family,0.030548235932711387,conditioned,0.020885386128880246,0.023704136130392562,0.26919500826644466,0.01846189890341897
sparse_full_noisy,high_skew,0,1.1811455067934742,-0.5850463597260371,18,0.011906579727358313,0.034982634560751985,0.03323262668545487,0.011906579727358313,0.03866594872635543,0.03323262668545487,0.011652261264198552,1,0.011906579727358313,0.034982634560751985,0.03323262668545487,0.013829061632716806,0.0016895473254019255,0.011906579727358313,0.03866594872635543,0.03323262668545487,0.011652261264198552,0.0015638327764872515,0.012153066887854003,0.03178497718662185,0.04767121645425587,0.014478306672783124,0.0015149153786359348,0.35102905206715374,0.012153066887854003,joint,0.011906579727358313,conditioned,0.008582347288777603,0.07193454069948237,0.14681058794234803,0.010307863645223847
sparse_full_noisy,high_skew,1,1.1433374407442234,0.5702526318590473,54,0.025901486321892486,0.08181463775824598,0.12153172707283733,0.029225718760473196,0.07523030930489179,0.11400751402546798,0.030742771869443422,1,0.025901486321892486,0.08181463775824598,0.12153172707283733,0.03279257217407619,0.0022856386141434657,0.029225718760473196,0.07523030930489179,0.11400751402546798,0.030742771869443422,0.001913032770490376,0.012511606249856255,0.05421714865096008,0.13831110834885513,0.02139907031751157,0.0016428320109284052,0.30187779630146283,0.012511606249856255,joint,0.012511606249856255,joint,0.025901486321892486,0.08181463775824598,0.12153172707283733,0.03357994499185179
sparse_full_noisy,high_skew,2,1.2258326128740453,-0.6517225495163158,16,0.044009432558947736,0.05669745127470981,0.054443982738957473,0.012342765892281227,0.05669745127470981,0.054443982738957473,0.020352753614807546,0,0.012342765892281227,0.05669745127470981,0.054443982738957473,0.020352753614807546,0.0014055132663923344,0.02942471476735542,0.08738928860642843,0.13182328030781623,0.01640952654594086,0.0014157647150873105,0.022497237243267465,0.04340906598877419,0.059448697629334746,0.014857088227815432,0.0013696633052410333,0.3450369082824664,0.022497237243267465,joint,0.012342765892281227,conditioned,0.044009432558947736,0.05669745127470981,0.054443982738957473,0.023895784239517322
sparse_partial_high_noise,low_skew,0,0.791728687043129,0.184639116620944,50,0.03151154046279503,0.09095740082200347,0.34425438956700444,0.03151154046279503,0.09095740082200347,0.34425438956700444,0.03414463200806472,0,0.03151154046279503,0.09095740082200347,0.34425438956700444,0.03414463200806472,0.0032266137994224715,0.03151154046279503,0.12518404504856884,0.34425438956700444,0.03640784954710251,0.003215709093900716,0.03831456458022853,0.11954631238943159,0.4120348122145385,0.03993736765637106,0.0032154452524264117,0.5116469011453821,0.03831456458022853,joint,0.03151154046279503,conditioned,0.0004899669604808699,0.036416762172459795,0.1300169267108345,0.004163314817707599
