method,metric,threshold,direction,calibration_balanced_accuracy,holdout_balanced_accuracy,confirmation_balanced_accuracy,oos_mean_balanced_accuracy
legacy_random_5seed,metric_std,0.1890273560986377,ge,0.7083333333333334,0.6428571428571428,0.75,0.6964285714285714
legacy_random_5seed,metric_ambiguity,0.6359764376693118,ge,0.7083333333333334,0.6428571428571428,0.75,0.6964285714285714
legacy_random_5seed,metric_anchored_span,0.4638705364728847,ge,0.7083333333333334,0.6428571428571428,0.75,0.6964285714285714
legacy_random_5seed,ratio_std_over_geomspan,0.20578111396400994,ge,0.7083333333333334,0.6428571428571428,0.75,0.6964285714285714
legacy_random_5seed,ratio_std_times_effective_over_count,0.10303881582612634,ge,0.7083333333333334,0.6428571428571428,0.75,0.6964285714285714
legacy_random_5seed,metric_set_span,0.5681688205092524,ge,0.75,0.7142857142857143,0.5833333333333333,0.6488095238095237
legacy_random_5seed,ratio_anchored_span_over_std,2.4258920562396984,le,0.7916666666666667,0.5714285714285714,0.6666666666666666,0.6190476190476191
legacy_random_5seed,ratio_std_over_ambiguity,0.1910728692402081,ge,0.5833333333333334,0.5,0.5,0.5
legacy_random_5seed,ratio_std_over_set_span,0.2657214761462699,le,0.6666666666666666,0.39285714285714285,0.5833333333333334,0.48809523809523814
legacy_random_5seed,ratio_ambiguity_over_std,4.122934418217895,ge,0.5833333333333334,0.39285714285714285,0.5833333333333334,0.48809523809523814
legacy_random_5seed,ratio_candidate_times_anchored_span_over_std,223.58870914779516,ge,0.75,0.5357142857142857,0.4166666666666667,0.47619047619047616
legacy_random_5seed,ratio_count_over_effective,1.7840866510049176,ge,0.75,0.5,0.4166666666666667,0.45833333333333337
legacy_random_5seed,ratio_ambiguity_over_effective,0.00988610292730172,le,0.6666666666666666,0.21428571428571427,0.6666666666666666,0.44047619047619047
legacy_random_5seed,ratio_effective_over_ambiguity,101.15916868240029,ge,0.6666666666666666,0.21428571428571427,0.6666666666666666,0.44047619047619047
legacy_random_5seed,ratio_effective_times_anchored_span_over_std,121.04805415659185,ge,0.75,0.5357142857142857,0.3333333333333333,0.43452380952380953
legacy_random_5seed,ratio_geometry_over_candidate_effective,0.0002115017037727004,le,0.75,0.6071428571428572,0.25,0.4285714285714286
