e,alpha,a1,a2,mean_collapse_error,max_collapse_error
0.45,1.0,2.5,4.0,3.201146813898532e-16,9.26139344786865e-15
0.45,1.5,0.75,1.0,2.478029616937234e-11,1.239000885610429e-08
0.45,1.5,0.75,1.5,0.0,0.0
0.45,1.5,0.75,2.5,2.478030305087479e-11,1.239000885610429e-08
0.45,1.5,0.75,4.0,2.478029616937234e-11,1.239000885610429e-08
0.45,1.5,1.0,1.5,2.478029616937234e-11,1.239000885610429e-08
0.45,1.5,1.0,2.5,2.6925605290329403e-16,6.196785795568934e-15
0.45,1.5,1.0,4.0,0.0,0.0
0.45,1.5,1.5,2.5,2.478030305087479e-11,1.239000885610429e-08
0.45,1.5,1.5,4.0,2.478029616937234e-11,1.239000885610429e-08
0.45,1.5,2.5,4.0,2.6925605290329403e-16,6.196785795568934e-15
0.45,2.0,0.75,1.0,1.8585266198494536e-11,9.29250664207822e-09
0.45,2.0,0.75,1.5,0.0,0.0
0.45,2.0,0.75,2.5,1.858526904639187e-11,9.29250664207822e-09
0.45,2.0,0.75,4.0,1.8585266198494536e-11,9.29250664207822e-09
0.45,2.0,1.0,1.5,1.8585266198494536e-11,9.29250664207822e-09
0.45,2.0,1.0,2.5,2.4115811631060883e-16,4.679351543961617e-15
0.45,2.0,1.0,4.0,0.0,0.0
0.45,2.0,1.5,2.5,1.858526904639187e-11,9.29250664207822e-09
0.45,2.0,1.5,4.0,1.8585266198494536e-11,9.29250664207822e-09
0.45,2.0,2.5,4.0,2.4115811631060883e-16,4.679351543961617e-15
0.5,0.5,0.75,1.0,4.377635873483844e-16,8.373908221563065e-15
0.5,0.5,0.75,1.5,0.0,0.0
0.5,0.5,0.75,2.5,3.776978636518721e-16,4.5305398105856445e-15
0.5,0.5,0.75,4.0,4.377635873483844e-16,8.373908221563065e-15
0.5,0.5,1.0,1.5,4.377635873483844e-16,8.373908221563065e-15
0.5,0.5,1.0,2.5,3.8422565744289754e-16,5.302695275805847e-15
0.5,0.5,1.0,4.0,0.0,0.0
0.5,0.5,1.5,2.5,3.776978636518721e-16,4.5305398105856445e-15
0.5,0.5,1.5,4.0,4.377635873483844e-16,8.373908221563065e-15
0.5,0.5,2.5,4.0,3.8422565744289754e-16,5.302695275805847e-15
0.5,0.75,0.75,1.0,3.358982535877327e-16,5.6217203786222585e-15
0.5,0.75,0.75,1.5,0.0,0.0
0.5,0.75,0.75,2.5,2.928282670560193e-16,3.0485681130056856e-15
0.5,0.75,0.75,4.0,3.358982535877327e-16,5.6217203786222585e-15
0.5,0.75,1.0,1.5,3.358982535877327e-16,5.6217203786222585e-15
0.5,0.75,1.0,2.5,2.991243648823976e-16,3.595820250601821e-15
0.5,0.75,1.0,4.0,0.0,0.0
0.5,0.75,1.5,2.5,2.928282670560193e-16,3.0485681130056856e-15
0.5,0.75,1.5,4.0,3.358982535877327e-16,5.6217203786222585e-15
0.5,0.75,2.5,4.0,2.991243648823976e-16,3.595820250601821e-15
0.5,1.0,0.75,1.0,2.8470700802170447e-16,4.257021306583529e-15
0.5,1.0,0.75,1.5,0.0,0.0
0.5,1.0,0.75,2.5,2.4310139682969324e-16,2.315720047231923e-15
0.5,1.0,0.75,4.0,2.8470700802170447e-16,4.257021306583529e-15
0.5,1.0,1.0,1.5,2.8470700802170447e-16,4.257021306583529e-15
0.5,1.0,1.0,2.5,2.495383365180707e-16,2.6945789820192467e-15
0.5,1.0,1.0,4.0,0.0,0.0
0.5,1.0,1.5,2.5,2.4310139682969324e-16,2.315720047231923e-15
0.5,1.0,1.5,4.0,2.8470700802170447e-16,4.257021306583529e-15
0.5,1.0,2.5,4.0,2.495383365180707e-16,2.6945789820192467e-15
0.5,1.5,0.75,1.0,2.4086325604435396e-16,2.914203267236168e-15
0.5,1.5,0.75,1.5,0.0,0.0
0.5,1.5,0.75,2.5,2.069176344783264e-16,1.5982970556924734e-15
0.5,1.5,0.75,4.0,2.4086325604435396e-16,2.914203267236168e-15
0.5,1.5,1.0,1.5,2.4086325604435396e-16,2.914203267236168e-15
0.5,1.5,1.0,2.5,2.1290651956310855e-16,1.8610729195778454e-15
0.5,1.5,1.0,4.0,0.0,0.0
0.5,1.5,1.5,2.5,2.069176344783264e-16,1.5982970556924734e-15
0.5,1.5,1.5,4.0,2.4086325604435396e-16,2.914203267236168e-15
0.5,1.5,2.5,4.0,2.1290651956310855e-16,1.8610729195778454e-15
0.5,2.0,0.75,1.0,2.1919979808267486e-16,2.263228508147662e-15
0.5,2.0,0.75,1.5,0.0,0.0
0.5,2.0,0.75,2.5,1.8649618234491295e-16,1.2536951095120469e-15
0.5,2.0,0.75,4.0,2.1919979808267486e-16,2.263228508147662e-15
0.5,2.0,1.0,1.5,2.1919979808267486e-16,2.263228508147662e-15
0.5,2.0,1.0,2.5,1.9257596380712122e-16,1.4304896245381992e-15
0.5,2.0,1.0,4.0,0.0,0.0
0.5,2.0,1.5,2.5,1.8649618234491295e-16,1.2536951095120469e-15
0.5,2.0,1.5,4.0,2.1919979808267486e-16,2.263228508147662e-15
0.5,2.0,2.5,4.0,1.9257596380712122e-16,1.4304896245381992e-15
0.55,0.5,0.75,1.0,4.756700686248799e-16,7.617982792592256e-15
0.55,0.5,0.75,1.5,0.0,0.0
0.55,0.5,0.75,2.5,4.549352388121405e-16,6.780545673646929e-15
0.55,0.5,0.75,4.0,4.756700686248799e-16,7.617982792592256e-15
0.55,0.5,1.0,1.5,4.756700686248799e-16,7.617982792592256e-15
0.55,0.5,1.0,2.5,3.660344927544891e-16,3.693160687832362e-15
0.55,0.5,1.0,4.0,0.0,0.0
0.55,0.5,1.5,2.5,4.549352388121405e-16,6.780545673646929e-15
0.55,0.5,1.5,4.0,4.756700686248799e-16,7.617982792592256e-15
0.55,0.5,2.5,4.0,3.660344927544891e-16,3.693160687832362e-15
0.55,0.75,0.75,1.0,3.705698165549984e-16,5.0986471136311156e-15
0.55,0.75,0.75,1.5,0.0,0.0
0.55,0.75,0.75,2.5,3.50507777597073e-16,4.536402389754076e-15
0.55,0.75,0.75,4.0,3.705698165549984e-16,5.0986471136311156e-15
0.55,0.75,1.0,1.5,3.705698165549984e-16,5.0986471136311156e-15
0.55,0.75,1.0,2.5,2.8310127534686167e-16,2.4727398543802776e-15
0.55,0.75,1.0,4.0,0.0,0.0
0.55,0.75,1.5,2.5,3.50507777597073e-16,4.536402389754076e-15
0.55,0.75,1.5,4.0,3.705698165549984e-16,5.0986471136311156e-15
0.55,0.75,2.5,4.0,2.8310127534686167e-16,2.4727398543802776e-15
0.55,1.0,0.75,1.0,3.102526622048904e-16,3.828358248229503e-15
0.55,1.0,0.75,1.5,0.0,0.0
0.55,1.0,0.75,2.5,2.9397911113683836e-16,3.402521136113713e-15
0.55,1.0,0.75,4.0,3.102526622048904e-16,3.828358248229503e-15
0.55,1.0,1.0,1.5,3.102526622048904e-16,3.828358248229503e-15
0.55,1.0,1.0,2.5,2.355417500668864e-16,1.849081780308989e-15
0.55,1.0,1.0,4.0,0.0,0.0
0.55,1.0,1.5,2.5,2.9397911113683836e-16,3.402521136113713e-15
0.55,1.0,1.5,4.0,3.102526622048904e-16,3.828358248229503e-15
0.55,1.0,2.5,4.0,2.355417500668864e-16,1.849081780308989e-15
0.55,1.5,0.75,1.0,2.6432558454096396e-16,2.578170284729786e-15
0.55,1.5,0.75,1.5,0.0,0.0
0.55,1.5,0.75,2.5,2.489425354779198e-16,2.2864682009682863e-15
0.55,1.5,0.75,4.0,2.6432558454096396e-16,2.578170284729786e-15
0.55,1.5,1.0,1.5,2.6432558454096396e-16,2.578170284729786e-15
0.55,1.5,1.0,2.5,1.9900215471809467e-16,1.2401028427486196e-15
0.55,1.5,1.0,4.0,0.0,0.0
0.55,1.5,1.5,2.5,2.489425354779198e-16,2.2864682009682863e-15
0.55,1.5,1.5,4.0,2.6432558454096396e-16,2.578170284729786e-15
0.55,1.5,2.5,4.0,1.9900215471809467e-16,1.2401028427486196e-15
0.55,2.0,0.75,1.0,2.3923938205223716e-16,1.9524326208414097e-15
0.55,2.0,0.75,1.5,0.0,0.0
0.55,2.0,0.75,2.5,2.257046862643818e-16,1.7255398268433755e-15
0.55,2.0,0.75,4.0,2.3923938205223716e-16,1.9524326208414097e-15
0.55,2.0,1.0,1.5,2.3923938205223716e-16,1.9524326208414097e-15
0.55,2.0,1.0,2.5,1.7892706397669618e-16,9.295269341448496e-16
0.55,2.0,1.0,4.0,0.0,0.0
0.55,2.0,1.5,2.5,2.257046862643818e-16,1.7255398268433755e-15
0.55,2.0,1.5,4.0,2.3923938205223716e-16,1.9524326208414097e-15
0.55,2.0,2.5,4.0,1.7892706397669618e-16,9.295269341448496e-16
0.6,0.5,0.75,1.0,6.126024347275322e-16,1.6566149623717745e-14
0.6,0.5,0.75,1.5,0.0,0.0
0.6,0.5,0.75,2.5,4.3991753501107685e-16,7.494827758526267e-15
0.6,0.5,0.75,4.0,6.126024347275322e-16,1.6566149623717745e-14
0.6,0.5,1.0,1.5,6.126024347275322e-16,1.6566149623717745e-14
0.6,0.5,1.0,2.5,5.40313723619707e-16,9.924277655526648e-15
0.6,0.5,1.0,4.0,0.0,0.0
0.6,0.5,1.5,2.5,4.3991753501107685e-16,7.494827758526267e-15
0.6,0.5,1.5,4.0,6.126024347275322e-16,1.6566149623717745e-14
0.6,0.5,2.5,4.0,5.40313723619707e-16,9.924277655526648e-15
0.6,0.75,0.75,1.0,4.6247560377014e-16,1.1054701169511194e-14
0.6,0.75,0.75,1.5,0.0,0.0
0.6,0.75,0.75,2.5,3.318497689183787e-16,4.997237039695301e-15
0.6,0.75,0.75,4.0,4.6247560377014e-16,1.1054701169511194e-14
0.6,0.75,1.0,1.5,4.6247560377014e-16,1.1054701169511194e-14
0.6,0.75,1.0,2.5,4.215235259257175e-16,6.6152810341918935e-15
0.6,0.75,1.0,4.0,0.0,0.0
0.6,0.75,1.5,2.5,3.318497689183787e-16,4.997237039695301e-15
0.6,0.75,1.5,4.0,4.6247560377014e-16,1.1054701169511194e-14
0.6,0.75,2.5,4.0,4.215235259257175e-16,6.6152810341918935e-15
0.6,1.0,0.75,1.0,3.8668388877099996e-16,8.318712281222776e-15
0.6,1.0,0.75,1.5,0.0,0.0
0.6,1.0,0.75,2.5,2.651828740883995e-16,3.748647122126465e-15
0.6,1.0,0.75,4.0,3.8668388877099996e-16,8.318712281222776e-15
0.6,1.0,1.0,1.5,3.8668388877099996e-16,8.318712281222776e-15
0.6,1.0,1.0,2.5,3.4849405342329116e-16,4.985371935906372e-15
0.6,1.0,1.0,4.0,0.0,0.0
0.6,1.0,1.5,2.5,2.651828740883995e-16,3.748647122126465e-15
0.6,1.0,1.5,4.0,3.8668388877099996e-16,8.318712281222776e-15
0.6,1.0,2.5,4.0,3.4849405342329116e-16,4.985371935906372e-15
0.6,1.5,0.75,1.0,3.2017038996603383e-16,5.580613780375219e-15
0.6,1.5,0.75,1.5,0.0,0.0
0.6,1.5,0.75,2.5,2.1593064520239811e-16,2.5004677505336322e-15
0.6,1.5,0.75,4.0,3.2017038996603383e-16,5.580613780375219e-15
0.6,1.5,1.0,1.5,3.2017038996603383e-16,5.580613780375219e-15
0.6,1.5,1.0,2.5,2.9589647953930935e-16,3.342393959972584e-15
0.6,1.5,1.0,4.0,0.0,0.0
0.6,1.5,1.5,2.5,2.1593064520239811e-16,2.5004677505336322e-15
0.6,1.5,1.5,4.0,3.2017038996603383e-16,5.580613780375219e-15
0.6,1.5,2.5,4.0,2.9589647953930935e-16,3.342393959972584e-15
0.6,2.0,0.75,1.0,2.877625119130642e-16,4.229880516439846e-15
0.6,2.0,0.75,1.5,0.0,0.0
0.6,2.0,0.75,2.5,1.8718824709930144e-16,1.8767880208723135e-15
0.6,2.0,0.75,4.0,2.877625119130642e-16,4.229880516439846e-15
0.6,2.0,1.0,1.5,2.877625119130642e-16,4.229880516439846e-15
0.6,2.0,1.0,2.5,2.65649045436817e-16,2.5386206743342295e-15
0.6,2.0,1.0,4.0,0.0,0.0
0.6,2.0,1.5,2.5,1.8718824709930144e-16,1.8767880208723135e-15
0.6,2.0,1.5,4.0,2.877625119130642e-16,4.229880516439846e-15
0.6,2.0,2.5,4.0,2.65649045436817e-16,2.5386206743342295e-15
0.65,0.5,0.75,1.0,4.9422108103853797e-11,2.47107803102985e-08
0.65,0.5,0.75,1.5,0.0,0.0
0.65,0.5,0.75,2.5,4.473119258758251e-16,7.93809462606987e-15
0.65,0.5,0.75,4.0,4.9422108103853797e-11,2.47107803102985e-08
0.65,0.5,1.0,1.5,4.9422108103853797e-11,2.47107803102985e-08
0.65,0.5,1.0,2.5,4.942210204555407e-11,2.47107803102985e-08
0.65,0.5,1.0,4.0,0.0,0.0
0.65,0.5,1.5,2.5,4.473119258758251e-16,7.93809462606987e-15
0.65,0.5,1.5,4.0,4.9422108103853797e-11,2.47107803102985e-08
0.65,0.5,2.5,4.0,4.942210204555407e-11,2.47107803102985e-08
0.65,0.75,0.75,1.0,3.2948122690495034e-11,1.6473853540199003e-08
0.65,0.75,0.75,1.5,0.0,0.0
0.65,0.75,0.75,2.5,3.299243892253728e-16,5.3013149425851225e-15
0.65,0.75,0.75,4.0,3.2948122690495034e-11,1.6473853540199003e-08
0.65,0.75,1.0,1.5,3.2948122690495034e-11,1.6473853540199003e-08
0.65,0.75,1.0,2.5,3.294812563653315e-11,1.6473853540199003e-08
0.65,0.75,1.0,4.0,0.0,0.0
0.65,0.75,1.5,2.5,3.299243892253728e-16,5.3013149425851225e-15
0.65,0.75,1.5,4.0,3.2948122690495034e-11,1.6473853540199003e-08
0.65,0.75,2.5,4.0,3.294812563653315e-11,1.6473853540199003e-08
0.65,1.0,0.75,1.0,2.4711132231060754e-11,1.2355390155149252e-08
0.65,1.0,0.75,1.5,0.0,0.0
0.65,1.0,0.75,2.5,2.663495109647886e-16,3.969047313034935e-15
0.65,1.0,0.75,4.0,2.4711132231060754e-11,1.2355390155149252e-08
0.65,1.0,1.0,1.5,2.4711132231060754e-11,1.2355390155149252e-08
0.65,1.0,1.0,2.5,2.4711127384613264e-11,1.2355390155149252e-08
0.65,1.0,1.0,4.0,0.0,0.0
0.65,1.0,1.5,2.5,2.663495109647886e-16,3.969047313034935e-15
0.65,1.0,1.5,4.0,2.4711132231060754e-11,1.2355390155149252e-08
0.65,1.0,2.5,4.0,2.4711127384613264e-11,1.2355390155149252e-08
0.65,1.5,0.75,1.0,1.6474147693735153e-11,8.236926770099503e-09
0.65,1.5,0.75,1.5,0.0,0.0
0.65,1.5,0.75,2.5,2.1259924611659133e-16,2.6506574712925612e-15
0.65,1.5,0.75,4.0,1.6474147693735153e-11,8.236926770099503e-09
0.65,1.5,1.0,1.5,1.6474147693735153e-11,8.236926770099503e-09
0.65,1.5,1.0,2.5,1.6474145939676702e-11,8.236926770099503e-09
0.65,1.5,1.0,4.0,0.0,0.0
0.65,1.5,1.5,2.5,2.1259924611659133e-16,2.6506574712925612e-15
0.65,1.5,1.5,4.0,1.6474147693735153e-11,8.236926770099503e-09
0.65,1.5,2.5,4.0,1.6474145939676702e-11,8.236926770099503e-09
0.65,2.0,0.75,1.0,1.2355657280378816e-11,6.177695077574629e-09
0.65,2.0,0.75,1.5,0.0,0.0
0.65,2.0,0.75,2.5,1.846864748180477e-16,1.9845236565174673e-15
0.65,2.0,0.75,4.0,1.2355657280378816e-11,6.177695077574629e-09
0.65,2.0,1.0,1.5,1.2355657280378816e-11,6.177695077574629e-09
0.65,2.0,1.0,2.5,1.2355652452172406e-11,6.177695077574629e-09
0.65,2.0,1.0,4.0,0.0,0.0
0.65,2.0,1.5,2.5,1.846864748180477e-16,1.9845236565174673e-15
0.65,2.0,1.5,4.0,1.2355657280378816e-11,6.177695077574629e-09
0.65,2.0,2.5,4.0,1.2355652452172406e-11,6.177695077574629e-09
0.7,0.5,0.75,1.0,5.132038432712135e-16,1.2353226894277027e-14
0.7,0.5,0.75,1.5,0.0,0.0
0.7,0.5,0.75,2.5,5.6074188230553e-16,1.6793591246791484e-14
0.7,0.5,0.75,4.0,5.132038432712135e-16,1.2353226894277027e-14
0.7,0.5,1.0,1.5,5.132038432712135e-16,1.2353226894277027e-14
0.7,0.5,1.0,2.5,4.550622138213277e-16,7.3838178207259e-15
0.7,0.5,1.0,4.0,0.0,0.0
0.7,0.5,1.5,2.5,5.6074188230553e-16,1.6793591246791484e-14
0.7,0.5,1.5,4.0,5.132038432712135e-16,1.2353226894277027e-14
0.7,0.5,2.5,4.0,4.550622138213277e-16,7.3838178207259e-15
0.7,0.75,0.75,1.0,3.734646337718181e-16,8.24639591532918e-15
0.7,0.75,0.75,1.5,0.0,0.0
0.7,0.75,0.75,2.5,4.0588487443616873e-16,1.121545079467692e-14
0.7,0.75,0.75,4.0,3.734646337718181e-16,8.24639591532918e-15
0.7,0.75,1.0,1.5,3.734646337718181e-16,8.24639591532918e-15
0.7,0.75,1.0,2.5,3.356681267701813e-16,4.941739743737033e-15
0.7,0.75,1.0,4.0,0.0,0.0
0.7,0.75,1.5,2.5,4.0588487443616873e-16,1.121545079467692e-14
0.7,0.75,1.5,4.0,3.734646337718181e-16,8.24639591532918e-15
0.7,0.75,2.5,4.0,3.356681267701813e-16,4.941739743737033e-15
0.7,1.0,0.75,1.0,3.030317005214024e-16,6.1796060983127845e-15
0.7,1.0,0.75,1.5,0.0,0.0
0.7,1.0,0.75,2.5,3.2693308858931017e-16,8.398997237528425e-15
0.7,1.0,0.75,4.0,3.030317005214024e-16,6.1796060983127845e-15
0.7,1.0,1.0,1.5,3.030317005214024e-16,6.1796060983127845e-15
0.7,1.0,1.0,2.5,2.674116546949647e-16,3.693160687832362e-15
0.7,1.0,1.0,4.0,0.0,0.0
0.7,1.0,1.5,2.5,3.2693308858931017e-16,8.398997237528425e-15
0.7,1.0,1.5,4.0,3.030317005214024e-16,6.1796060983127845e-15
0.7,1.0,2.5,4.0,2.674116546949647e-16,3.693160687832362e-15
0.7,1.5,0.75,1.0,2.387975438268995e-16,4.127679645154367e-15
0.7,1.5,0.75,1.5,0.0,0.0
0.7,1.5,0.75,2.5,2.5579969115945715e-16,5.611021474463186e-15
0.7,1.5,0.75,4.0,2.387975438268995e-16,4.127679645154367e-15
0.7,1.5,1.0,1.5,2.387975438268995e-16,4.127679645154367e-15
0.7,1.5,1.0,2.5,2.1184353171676968e-16,2.4727398543802776e-15
0.7,1.5,1.0,4.0,0.0,0.0
0.7,1.5,1.5,2.5,2.5579969115945715e-16,5.611021474463186e-15
0.7,1.5,1.5,4.0,2.387975438268995e-16,4.127679645154367e-15
0.7,1.5,2.5,4.0,2.1184353171676968e-16,2.4727398543802776e-15
0.7,2.0,0.75,1.0,2.0717522627048698e-16,3.0957811191213716e-15
0.7,2.0,0.75,1.5,0.0,0.0
0.7,2.0,0.75,2.5,2.2087125702966688e-16,4.203898964525047e-15
0.7,2.0,0.75,4.0,2.0717522627048698e-16,3.0957811191213716e-15
0.7,2.0,1.0,1.5,2.0717522627048698e-16,3.0957811191213716e-15
0.7,2.0,1.0,2.5,1.8159502908453058e-16,1.849081780308989e-15
0.7,2.0,1.0,4.0,0.0,0.0
0.7,2.0,1.5,2.5,2.2087125702966688e-16,4.203898964525047e-15
0.7,2.0,1.5,4.0,2.0717522627048698e-16,3.0957811191213716e-15
0.7,2.0,2.5,4.0,1.8159502908453058e-16,1.849081780308989e-15
0.75,0.5,0.75,1.0,5.853980185889161e-16,2.4189238932079152e-14
0.75,0.5,0.75,1.5,0.0,0.0
0.75,0.5,0.75,2.5,5.698889938642361e-16,7.771561172376096e-15
0.75,0.5,0.75,4.0,5.853980185889161e-16,2.4189238932079152e-14
0.75,0.5,1.0,1.5,5.853980185889161e-16,2.4189238932079152e-14
0.75,0.5,1.0,2.5,5.753894392336071e-16,1.832170753709459e-14
0.75,0.5,1.0,4.0,0.0,0.0
0.75,0.5,1.5,2.5,5.698889938642361e-16,7.771561172376096e-15
0.75,0.5,1.5,4.0,5.853980185889161e-16,2.4189238932079152e-14
0.75,0.5,2.5,4.0,5.753894392336071e-16,1.832170753709459e-14
0.75,0.75,0.75,1.0,4.1749451873947224e-16,1.6126371604752385e-14
0.75,0.75,0.75,1.5,0.0,0.0
0.75,0.75,0.75,2.5,4.1371906716571745e-16,5.190292640122607e-15
0.75,0.75,0.75,4.0,4.1749451873947224e-16,1.6126371604752385e-14
0.75,0.75,1.0,1.5,4.1749451873947224e-16,1.6126371604752385e-14
0.75,0.75,1.0,2.5,4.1315597923281253e-16,1.2216994248101463e-14
0.75,0.75,1.0,4.0,0.0,0.0
0.75,0.75,1.5,2.5,4.1371906716571745e-16,5.190292640122607e-15
0.75,0.75,1.5,4.0,4.1749451873947224e-16,1.6126371604752385e-14
0.75,0.75,2.5,4.0,4.1315597923281253e-16,1.2216994248101463e-14
0.75,1.0,0.75,1.0,3.329019465388714e-16,1.2095001632576843e-14
0.75,1.0,0.75,1.5,0.0,0.0
0.75,1.0,0.75,2.5,3.318165644583275e-16,3.885780586188048e-15
0.75,1.0,0.75,4.0,3.329019465388714e-16,1.2095001632576843e-14
0.75,1.0,1.0,1.5,3.329019465388714e-16,1.2095001632576843e-14
0.75,1.0,1.0,2.5,3.2667499371041957e-16,9.165393714527746e-15
0.75,1.0,1.0,4.0,0.0,0.0
0.75,1.0,1.5,2.5,3.318165644583275e-16,3.885780586188048e-15
0.75,1.0,1.5,4.0,3.329019465388714e-16,1.2095001632576843e-14
0.75,1.0,2.5,4.0,3.2667499371041957e-16,9.165393714527746e-15
0.75,1.5,0.75,1.0,2.5302233066255623e-16,8.063759033315296e-15
0.75,1.5,0.75,1.5,0.0,0.0
0.75,1.5,0.75,2.5,2.5868492270787614e-16,2.5951463200613034e-15
0.75,1.5,0.75,4.0,2.5302233066255623e-16,8.063759033315296e-15
0.75,1.5,1.0,1.5,2.5302233066255623e-16,8.063759033315296e-15
0.75,1.5,1.0,2.5,2.4919871540597136e-16,6.115303531970722e-15
0.75,1.5,1.0,4.0,0.0,0.0
0.75,1.5,1.5,2.5,2.5868492270787614e-16,2.5951463200613034e-15
0.75,1.5,1.5,4.0,2.5302233066255623e-16,8.063759033315296e-15
0.75,1.5,2.5,4.0,2.4919871540597136e-16,6.115303531970722e-15
0.75,2.0,0.75,1.0,2.1355822402868901e-16,6.048265088993884e-15
0.75,2.0,0.75,1.5,0.0,0.0
0.75,2.0,0.75,2.5,2.2199958644070873e-16,1.942890293094024e-15
0.75,2.0,0.75,4.0,2.1355822402868901e-16,6.048265088993884e-15
0.75,2.0,1.0,1.5,2.1355822402868901e-16,6.048265088993884e-15
0.75,2.0,1.0,2.5,2.0960274061933686e-16,4.591765527460402e-15
0.75,2.0,1.0,4.0,0.0,0.0
0.75,2.0,1.5,2.5,2.2199958644070873e-16,1.942890293094024e-15
0.75,2.0,1.5,4.0,2.1355822402868901e-16,6.048265088993884e-15
0.75,2.0,2.5,4.0,2.0960274061933686e-16,4.591765527460402e-15
0.8,0.5,0.75,1.0,5.5893418686848e-16,1.3017838397775124e-14
0.8,0.5,0.75,1.5,0.0,0.0
0.8,0.5,0.75,2.5,6.416246617079454e-16,1.5008460194190958e-14
0.8,0.5,0.75,4.0,5.5893418686848e-16,1.3017838397775124e-14
0.8,0.5,1.0,1.5,5.5893418686848e-16,1.3017838397775124e-14
0.8,0.5,1.0,2.5,5.794420416754322e-16,1.2490009027033011e-14
0.8,0.5,1.0,4.0,0.0,0.0
0.8,0.5,1.5,2.5,6.416246617079454e-16,1.5008460194190958e-14
0.8,0.5,1.5,4.0,5.5893418686848e-16,1.3017838397775124e-14
0.8,0.5,2.5,4.0,5.794420416754322e-16,1.2490009027033011e-14
0.8,0.75,0.75,1.0,3.967232283614746e-16,8.674327893518349e-15
0.8,0.75,0.75,1.5,0.0,0.0
0.8,0.75,0.75,2.5,4.487211859311672e-16,1.001573512271195e-14
0.8,0.75,0.75,4.0,3.967232283614746e-16,8.674327893518349e-15
0.8,0.75,1.0,1.5,3.967232283614746e-16,8.674327893518349e-15
0.8,0.75,1.0,2.5,4.073673226104002e-16,8.326672684688674e-15
0.8,0.75,1.0,4.0,0.0,0.0
0.8,0.75,1.5,2.5,4.487211859311672e-16,1.001573512271195e-14
0.8,0.75,1.5,4.0,3.967232283614746e-16,8.674327893518349e-15
0.8,0.75,2.5,4.0,4.073673226104002e-16,8.326672684688674e-15
0.8,1.0,0.75,1.0,3.153944102225805e-16,6.509629298307251e-15
0.8,1.0,0.75,1.5,0.0,0.0
0.8,1.0,0.75,2.5,3.530597410667482e-16,7.514078837081933e-15
0.8,1.0,0.75,4.0,3.153944102225805e-16,6.509629298307251e-15
0.8,1.0,1.0,1.5,3.153944102225805e-16,6.509629298307251e-15
0.8,1.0,1.0,2.5,3.216954352836226e-16,6.2450045135165055e-15
0.8,1.0,1.0,4.0,0.0,0.0
0.8,1.0,1.5,2.5,3.530597410667482e-16,7.514078837081933e-15
0.8,1.0,1.5,4.0,3.153944102225805e-16,6.509629298307251e-15
0.8,1.0,2.5,4.0,3.216954352836226e-16,6.2450045135165055e-15
0.8,1.5,0.75,1.0,2.3917962155604844e-16,4.338229542659157e-15
0.8,1.5,0.75,1.5,0.0,0.0
0.8,1.5,0.75,2.5,2.632144985192747e-16,5.022613754989565e-15
0.8,1.5,0.75,4.0,2.3917962155604844e-16,4.338229542659157e-15
0.8,1.5,1.0,1.5,2.3917962155604844e-16,4.338229542659157e-15
0.8,1.5,1.0,2.5,2.4005622649426707e-16,4.163336342344337e-15
0.8,1.5,1.0,4.0,0.0,0.0
0.8,1.5,1.5,2.5,2.632144985192747e-16,5.022613754989565e-15
0.8,1.5,1.5,4.0,2.3917962155604844e-16,4.338229542659157e-15
0.8,1.5,2.5,4.0,2.4005622649426707e-16,4.163336342344337e-15
0.8,2.0,0.75,1.0,2.0186746121260681e-16,3.2562344608578322e-15
0.8,2.0,0.75,1.5,0.0,0.0
0.8,2.0,0.75,2.5,2.1992942921371437e-16,3.776672690636505e-15
0.8,2.0,0.75,4.0,2.0186746121260681e-16,3.2562344608578322e-15
0.8,2.0,1.0,1.5,2.0186746121260681e-16,3.2562344608578322e-15
0.8,2.0,1.0,2.5,2.0024726177890336e-16,3.1225022567582528e-15
0.8,2.0,1.0,4.0,0.0,0.0
0.8,2.0,1.5,2.5,2.1992942921371437e-16,3.776672690636505e-15
0.8,2.0,1.5,4.0,2.0186746121260681e-16,3.2562344608578322e-15
0.8,2.0,2.5,4.0,2.0024726177890336e-16,3.1225022567582528e-15
0.85,0.5,0.75,1.0,7.030864692388817e-16,1.3350893494331913e-14
0.85,0.5,0.75,1.5,0.0,0.0
0.85,0.5,0.75,2.5,7.246897826465908e-16,1.4932499681208355e-14
0.85,0.5,0.75,4.0,7.030864692388817e-16,1.3350893494331913e-14
0.85,0.5,1.0,1.5,7.030864692388817e-16,1.3350893494331913e-14
0.85,0.5,1.0,2.5,6.767201343058529e-16,1.6210776941644393e-14
0.85,0.5,1.0,4.0,0.0,0.0
0.85,0.5,1.5,2.5,7.246897826465908e-16,1.4932499681208355e-14
0.85,0.5,1.5,4.0,7.030864692388817e-16,1.3350893494331913e-14
0.85,0.5,2.5,4.0,6.767201343058529e-16,1.6210776941644393e-14
0.85,0.75,0.75,1.0,5.193401515881155e-16,8.910231473507641e-15
0.85,0.75,0.75,1.5,0.0,0.0
0.85,0.75,0.75,2.5,5.049796393786188e-16,9.96425164601078e-15
0.85,0.75,0.75,4.0,5.193401515881155e-16,8.910231473507641e-15
0.85,0.75,1.0,1.5,5.193401515881155e-16,8.910231473507641e-15
0.85,0.75,1.0,2.5,4.978694890056458e-16,1.0813076765877776e-14
0.85,0.75,1.0,4.0,0.0,0.0
0.85,0.75,1.5,2.5,5.049796393786188e-16,9.96425164601078e-15
