split,condition,count,point_output_rate,alpha_point_recoverable_rate,gate_precision,mean_refined_alpha_output_abs_error_open,mean_refined_alpha_bank_log_span_open,refined_beats_anchored_rate_open,refined_beats_best_rate_open
calibration,sparse_full_noisy,18,0.8333333333333334,0.6111111111111112,0.7333333333333333,0.13292994877598477,0.2180071871899415,0.5333333333333333,0.3333333333333333
calibration,sparse_partial_high_noise,18,0.5555555555555556,0.3333333333333333,0.5,0.12970800368651378,0.15801953775869126,0.7,0.7
holdout,sparse_full_noisy,9,0.7777777777777778,0.5555555555555556,0.7142857142857143,0.12901353490964546,0.133887547973896,0.42857142857142855,0.42857142857142855
holdout,sparse_partial_high_noise,9,0.7777777777777778,0.2222222222222222,0.2857142857142857,0.2010796181574984,0.1488449873036152,0.2857142857142857,0.7142857142857143
confirmation,sparse_full_noisy,9,0.8888888888888888,0.5555555555555556,0.625,0.11102361857042138,0.14107432972441242,0.625,0.5
confirmation,sparse_partial_high_noise,9,0.6666666666666666,0.3333333333333333,0.5,0.12322839047648564,0.20855340280856396,0.8333333333333334,0.3333333333333333
