split,count,point_output_count,point_output_rate,alpha_point_recoverable_rate,gate_balanced_accuracy,gate_precision,gate_reject_unrecoverable_rate,mean_best_alpha_output_abs_error_open,mean_anchored_alpha_output_abs_error_open,mean_refined_alpha_output_abs_error_open,mean_best_alpha_bank_log_span_open,mean_anchored_alpha_bank_log_span_open,mean_refined_alpha_bank_log_span_open,refined_beats_anchored_rate_open,refined_beats_best_rate_open
calibration,36,25,0.6944444444444444,0.4722222222222222,0.7337461300309598,0.64,0.5263157894736842,0.1404621718435468,0.13821346150712968,0.13164117074019635,0.2622721713690237,0.08012169903332761,0.19401212741744145,0.6,0.48
holdout,18,14,0.7777777777777778,0.3888888888888889,0.6818181818181819,0.5,0.36363636363636365,0.17937593505391683,0.1598283040848855,0.16504657653357194,0.21919649837975677,0.0540687602836905,0.1413662676387556,0.35714285714285715,0.5714285714285714
confirmation,18,14,0.7777777777777778,0.4444444444444444,0.7,0.5714285714285714,0.4,0.12659224122534682,0.13531419750233462,0.11625423510159176,0.2623745558242428,0.06176717729326775,0.16999393247476305,0.7142857142857143,0.42857142857142855
