condition,out_of_sample_alpha_error_mean,baseline_alpha_error_mean,joint_alpha_error_mean,choose_joint_fraction
sparse_full_noisy,0.12331280002327193,0.12331280002327193,0.12836542819635968,0.0
sparse_partial_high_noise,0.19595857388711888,0.2194753860512715,0.23869513446294247,0.16666666666666666
