condition,geometry_skew_bin,count,out_of_sample_alpha_error_mean,baseline_alpha_error_mean,joint_alpha_error_mean,choose_joint_fraction
sparse_full_noisy,low_skew,2,0.0277113962899524,0.0277113962899524,0.043649719025415354,0.0
sparse_full_noisy,mid_skew,2,0.01127518308596105,0.01127518308596105,0.01127518308596105,0.0
sparse_full_noisy,high_skew,2,0.3309518206939023,0.3309518206939023,0.33017138247770267,0.0
sparse_partial_high_noise,low_skew,2,0.03372114911132645,0.10427158560378445,0.18903846174357128,0.5
sparse_partial_high_noise,mid_skew,2,0.3057758645276058,0.3057758645276058,0.3057758645276058,0.0
sparse_partial_high_noise,high_skew,2,0.2483787080224243,0.2483787080224243,0.22127107711765034,0.0
