split,observation_seed,condition,geometry_skew_bin,mean_band_candidate_count,mean_frontier_candidate_count,mean_cluster_count,mean_cluster_entropy,mean_geometry_span_norm_set,consensus_geometry_bank_span_norm,compression_load,mean_alpha_log_span_set,mean_ambiguity_ratio,mean_poison_pull,mean_supportive_pull,mode_persistence_rate,true_alpha,true_t,true_rotation_shift,alpha_fan,broad_fan,compact_minor,dominant_core,fringe_singleton,dominant_core_mean_mass,broad_fan_mean_mass,alpha_fan_mean_mass,fringe_singleton_mean_mass,compact_minor_mean_mass,fan_vs_core,fringe_vs_fan,useful_structure_ratio,fringe_burden,residual_shell_mass,residual_shell_alpha_mass,gate_open_flag,anchored_alpha_output_abs_error,refined_alpha_output_abs_error,correction_pressure,correction_flux,refined_alpha_bank_log_span,triggered_alpha_output_abs_error,improve,fan_rule_fire_flag,fan_rule_output_abs_error
calibration,20260410,sparse_full_noisy,low_skew,13.0,16.0,11.6,0.7479459438287472,0.6824064842475962,0.1212117515588381,5.629870664119107,0.3092062215748091,0.4575974799688913,0.0367823410198274,0.2347218586949426,0.8631954842831814,1.147529461864347,0.1097249787770338,47,1.527290004539278,0.2080360641406128,3.264673931320107,0.0,0.0,0.0,0.04160721282812256,0.30545800090785563,0.0,0.6529347862640213,1.0,0.0,0.5315465204753826,0.3264673931320107,0.0117273504150863,0.0,1,0.0964175272313667,0.0780220473797872,0.177368459974473,0.0275292926286931,0.0884198553860905,0.0964175272313667,0.018395479851579508,1,0.0780220473797872
calibration,20260410,sparse_full_noisy,mid_skew,25.4,16.0,10.6,0.8162504457700412,0.6867965643713807,0.0812277314106134,8.455198150242099,0.4337581666402146,0.6341431850335879,0.0029791867536553,0.2919335006344085,0.9296641988018196,1.2255287217844368,-0.4221119319628429,21,1.3126486891014406,0.7971176359498121,0.9859194606087526,1.9043142143399931,0.0,0.38086284286799865,0.15942352718996242,0.2625297378202881,0.0,0.19718389212175053,0.2950722728260935,0.0,0.7299639276013441,0.09859194606087526,0.0,0.0,1,0.249102185324214,0.2873615431150824,0.2343489009720646,0.0667666731518881,0.2497025256269249,0.249102185324214,-0.03825935779086839,0,0.249102185324214
calibration,20260410,sparse_full_noisy,high_skew,34.2,16.0,14.8,0.7937531721443926,0.7699462056848045,0.080889640119062,9.518477329748476,0.3833291324029437,0.5047247380572231,0.0,0.4121995883628018,0.9221235048791304,0.8719494631553358,0.467482721240582,4,1.3106763885457595,0.3814783829224209,1.2730317305090917,1.9681151156683838,0.0666983823543416,0.39362302313367675,0.07629567658448419,0.2621352777091519,0.01333967647086832,0.2546063461018183,0.16235931157930805,0.14882159790937255,0.5115580248049396,0.14064284952177747,0.0,0.0,1,0.1097640971386623,0.1092368086096069,0.3804713327232948,0.0858611969872715,0.2400000697051439,0.1092368086096069,0.0005272885290553975,0,0.1097640971386623
calibration,20260410,sparse_partial_high_noise,low_skew,83.2,16.0,18.4,0.8628638891122689,0.9192895345895782,0.094473057494985,9.730705864350558,0.5668153830038625,0.6170786987485253,0.0,0.5180464453586211,0.9547876047348184,1.1217890161161423,0.1451518868676587,53,0.923306800269115,3.1958478737300213,0.3280525558945209,0.2504103909781464,0.3023823791281925,0.05008207819562928,0.6391695747460042,0.184661360053823,0.0604764758256385,0.06561051117890418,0.9273384721213425,0.08643867249193568,4.676365478035261,0.09328173141509058,0.34702392358486445,0.30870802865218155,1,0.1165738575234203,0.0686400387167749,0.251064868439714,0.0759190288135857,0.2927171655762546,0.0686400387167749,0.04793381880664539,1,0.0686400387167749
calibration,20260410,sparse_partial_high_noise,mid_skew,112.0,16.0,19.0,0.8078147523366018,0.918766229420792,0.0616727741605495,14.89743637977132,0.546755526774937,0.5956417164724126,0.0,0.4038677042587795,0.9705718142427372,1.1386629736527398,-0.2053148391190289,6,0.6221220084147518,2.5967470274133517,0.1501555005713164,1.3127277357985332,0.3182477278020419,0.2625455471597066,0.5193494054826704,0.12442440168295037,0.06364954556040839,0.03003110011426328,0.6642189001573083,0.10917608933348702,1.8072051413269687,0.07866509561754002,0.17442279762263638,0.14009303118283137,1,0.1166836213102104,0.0807332703190972,0.2810863772183089,0.0577319484349646,0.2237273149020286,0.0807332703190972,0.0359503509911132,1,0.0807332703190972
calibration,20260410,sparse_partial_high_noise,high_skew,132.0,16.0,20.2,0.823415289166044,0.9261441588664436,0.06805065076799,13.60962971572473,0.5695222580146424,0.61624679384921,0.0,0.3812018210271171,0.9514392964511742,1.2163133874347725,-0.6622995711727697,22,0.4188435704122888,2.72396227746827,0.2523802286440273,1.3058315341999918,0.2989823892754184,0.26116630683999836,0.544792455493654,0.08376871408245776,0.059796477855083685,0.050476045728805465,0.6759557448276984,0.09890435394488442,1.6922333318215415,0.08503450071948641,0.17222941060105354,0.14603919350161862,1,0.2015456615082673,0.153403012304403,0.3711253622018037,0.0916542947539441,0.2031116797315872,0.153403012304403,0.048142649203864296,1,0.153403012304403
calibration,20260411,sparse_full_noisy,low_skew,15.8,16.0,12.0,0.7622440003077988,0.7149403647758235,0.1346122184883109,5.311110483168399,0.2808480655303154,0.4063526204598866,0.0215385834444123,0.2641920338176233,0.847718100351079,1.140408896762633,0.0249653779070563,55,1.5683984076597532,0.0,2.8780195583984503,0.553582033941795,0.0,0.11071640678835899,0.0,0.31367968153195064,0.0,0.57560391167969,0.0,0.0,0.4570455996875075,0.287801955839845,0.0,0.0,1,0.1129112012884647,0.117153198246322,0.2425136834338118,0.0401273467614191,0.1460636219385296,0.1129112012884647,-0.004241996957857305,0,0.1129112012884647
calibration,20260411,sparse_full_noisy,mid_skew,27.0,16.0,12.0,0.8293349197332851,0.8137281379460584,0.1073955706730817,7.576924568175101,0.4297523709498376,0.5300069481997214,0.0039711459626698,0.5203840097514381,0.8112046421386314,1.1623349409627526,0.2213605062322707,61,1.3036285489136965,1.119183486436666,1.0588310058720083,1.5183569587776276,0.0,0.3036713917555255,0.22383669728733321,0.2607257097827393,0.0,0.21176620117440165,0.42432846422028425,0.0,0.9400990803089289,0.10588310058720082,0.0,0.0,1,0.1547410628119294,0.1931737333387789,0.2201439175830331,0.044699240257801,0.0854471952568792,0.1547410628119294,-0.03843267052684951,1,0.1931737333387789
calibration,20260411,sparse_full_noisy,high_skew,32.2,16.0,14.4,0.803907052320578,0.8345099303788235,0.0658624759736593,12.670491323657084,0.3456232927417875,0.4149870208607492,0.0009608360396303,0.4050543739514795,0.9023759150555464,0.8975141620964918,-0.4599187187254189,58,1.4382045401690042,0.0,1.6020476031970075,1.9285817470110294,0.031166109622956698,0.3857163494022059,0.0,0.2876409080338008,0.00623322192459134,0.3204095206394015,0.0,1.0,0.4037863926743414,0.16643798224429207,0.0,0.0,1,0.0818441699547222,0.0801853485381148,0.2146212445691958,0.042893635275192,0.2024174456427061,0.0818441699547222,0.0016588214166073922,0,0.0818441699547222
calibration,20260411,sparse_partial_high_noise,low_skew,60.2,16.0,16.6,0.8263812141858734,0.8633458012861934,0.0604443553072446,14.28331557012597,0.2774963521412705,0.3219125215475749,0.0,0.4595422954364244,0.9763553153642974,1.159371427099871,0.1468696359607939,15,1.365629595901551,0.0,1.8147280449323882,1.6373465266525327,0.1822958325135256,0.32746930533050655,0.0,0.2731259191803102,0.03645916650270512,0.36294560898647765,0.0,1.0,0.3757541043041575,0.21793197099594394,0.21478695627405497,0.14743509181060319,1,0.1635882658119428,0.1696856880476874,0.1560850297378448,0.0183568916118291,0.067518469342943,0.1635882658119428,-0.0060974222357446095,0,0.1635882658119428
