split,count,mean_dominant_core_mass,mean_broad_fan_mass,mean_alpha_fan_mass,mean_fringe_singleton_mass,mean_compact_minor_mass,mean_fan_vs_core,mean_useful_structure_ratio,mean_fringe_burden,mean_residual_shell_alpha_mass,mean_improve,mean_correction_pressure
calibration,36,0.2686918939728628,0.296737677870331,0.19613933656319382,0.02844969214893854,0.2099813994446732,0.4570417124048154,1.2876892799980384,0.13344039187127515,0.1316132415420771,0.006572290766933333,0.27790097014739634
holdout,18,0.2652923990073759,0.24631817101818823,0.2217372530718552,0.03229421565611776,0.23435796124646227,0.43264226659787197,1.0804156110611494,0.1494731962793489,0.12743023947513907,-0.005218272448686478,0.26619892001907713
confirmation,18,0.2508672349038159,0.28482566735649817,0.23730345294673372,0.03034509469308207,0.19665855009986954,0.5491908670198566,1.3231306512147663,0.12867436974301683,0.1547372476435361,0.01905996240074287,0.31411644398604627
