condition,trial,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_alpha,true_rotation_shift,softmin_temperature,baseline_geometry_mae,baseline_weight_mae,baseline_alpha_error,baseline_fit_rmse,baseline_alpha_span_topk,baseline_geometry_dispersion_topk,baseline_weight_dispersion_topk,baseline_near_tie_diverse,refined_geometry_mae,refined_weight_mae,refined_alpha_error,refined_fit_rmse,refined_alpha_span_topk,refined_geometry_dispersion_topk,refined_weight_dispersion_topk,refined_near_tie_diverse,alpha_error_improvement_factor,alpha_span_reduction_factor,geometry_ratio_refined_over_baseline,weight_ratio_refined_over_baseline
full_clean,0,0.07473191925289527,-0.6130944629488481,1.2949298417854564,0.2090737071421406,0.49563704001624603,0.2952892528416134,1.2477239253421017,42,0.0001,0.11004030335617628,0.25521873133065265,0.4430400534471586,0.0107950028099497,0.502193603208597,0.06944550602814523,0.10569803159244388,0,0.1498275690042272,0.25521873133065265,0.4430400534471586,0.006881091181411979,0.19999999999999996,0.02333514335428885,3.700743415417188e-17,0,1.0,2.5109680160429853,1.3615699378732926,1.0
full_clean,1,0.20448013198469242,0.43737503466125816,1.0237455766254115,0.39658471880436763,0.24310123551015828,0.3603140456854741,0.7730751084888957,8,0.0001,0.14286884681077658,0.08514377411360992,0.4936209171296203,0.004480264655915158,0.5510409935767877,0.06658738771673008,0.1349117390058464,0,0.12250483377245562,0.08514377411360992,0.4936209171296203,0.0025298667666183035,0.20000000000000018,0.01943266946655507,1.850371707708594e-17,0,1.0,2.755204967883936,0.8574635864087838,1.0
full_noisy,0,0.1065035517043827,0.5813949587750752,0.7750701220130153,0.35281467108031045,0.12079794770876699,0.5263873812109227,1.7726642686154566,11,0.0001,0.1318320467740959,0.10354751788038967,0.020054707853800702,0.005880328356312136,0.10890530310417601,0.06497724330671072,0.18070574366053874,0,0.11337310464099411,0.10354751788038967,0.020054707853800702,0.004911745475900944,0.047390439238344184,0.018338130469350154,9.25185853854297e-18,0,1.0,2.2980437584984315,0.859981373385391,1.0
full_noisy,1,0.20500584883491815,-0.261377249879069,0.8705729896006629,0.3238850449972103,0.5729202613282695,0.10319469367452017,1.215255685972431,18,0.0001,0.05445388193316809,0.117294658387142,0.04269252646773447,0.02072604272381172,0.5423819722743344,0.06124729910999462,0.14082710133446882,0,0.044362220574888984,0.117294658387142,0.05730747353226562,0.016964189371755097,0.10000000000000009,0.021759938499052816,6.47630097698008e-17,0,0.7449731044886746,5.423819722743339,0.8146750791676391,1.0
partial_arc_noisy,0,0.10066120598728029,-0.5037153140899697,0.6558163624826093,0.35908256330677346,0.36907722939886595,0.2718402072943606,1.452073210235066,34,0.0001,0.05306341331717376,0.13367370397343034,0.02257364819919716,0.00850145347870605,0.8453404916366681,0.06093265304876816,0.19423055374206977,1,0.018663814880726468,0.13367370397343034,0.02257364819919716,0.012989814596758653,0.20000000000000018,0.021318177940639987,3.700743415417188e-17,0,1.0,4.226702458183337,0.3517266175315186,1.0
partial_arc_noisy,1,0.18272170595594273,-0.28406096527210917,0.6053567469587284,0.26088388265294177,0.5326942530820372,0.20642186426502096,1.182322910671236,22,0.0001,0.037234908967712636,0.10568364370628026,0.013083983605120197,0.01672379640723551,0.5248194750526354,0.05586363675557132,0.1390996080996655,0,0.046455099399803156,0.10568364370628026,0.013083983605120197,0.01642639495911619,0.20000000000000018,0.01678438224268167,1.850371707708594e-17,0,1.0,2.6240973752631747,1.2476222095798755,1.0
sparse_full_noisy,0,0.06113318671127711,-0.5284596649873264,0.6022285059245239,0.03993250978834773,0.6385209614411639,0.3215465287704884,1.0814974079666189,42,0.0004,0.09469621098882801,0.10686137188726509,0.0014108402915342655,0.004570470536483658,0.2286017642187751,0.08786274879855238,0.165247438218339,1,0.13563097700023186,0.10686137188726509,0.0014108402915342655,0.007438555883488342,0.20000000000000007,0.02358971727424986,4.625929269271486e-17,0,1.0,1.1430088210938751,1.4322745924462934,1.0
sparse_full_noisy,1,0.21871303525786018,0.6035660149766559,0.7167380588495682,0.11114327023385392,0.1836287555357693,0.7052279742303768,1.0668173481706105,60,0.0004,0.19315501428042836,0.3020155572343845,0.17386178975599276,0.019593801468308542,0.24146785883744748,0.05961383635743973,0.1393395868644959,1,0.2175252715324055,0.3020155572343845,0.17386178975599276,0.023751018236297255,0.09999999999999998,0.017930217215397653,3.700743415417188e-17,0,1.0,2.4146785883744752,1.1261694258508643,1.0
sparse_partial_high_noise,0,0.21140876490185426,-0.106927064866119,1.2387225681165215,0.5057325994480238,0.38160369123209736,0.11266370931987879,1.174573914088886,54,0.0009,0.19127601467849034,0.051267195916776954,0.13363573851511723,0.06508716711969664,0.08578464065349012,0.09125445520751897,0.1747695117502447,0,0.19695706530879864,0.051267195916776954,0.13363573851511723,0.0651221732242987,0.20000000000000007,0.015156152608958515,0.042152331608814875,0,1.0,0.4289232032674504,1.029700799861694,1.0
sparse_partial_high_noise,1,0.16436964910850105,0.2780573566667521,1.434724110553233,0.6443058206589859,0.21222949318367731,0.1434646861573368,1.2932107215956794,54,0.0009,0.09334090154268067,0.17264683219338015,0.03565150268059325,0.030915687456796667,0.6156011532396879,0.07931923369109718,0.1821089530638891,1,0.05275197837084485,0.17264683219338015,0.03565150268059325,0.03089368684481279,0.20000000000000018,0.02207333275385441,3.700743415417188e-17,1,1.0,3.078005766198437,0.5651539410804137,1.0
