condition,alpha_strength_bin,geometry_skew_bin,count,marginalized_alpha_error_mean,conditioned_alpha_error_mean,family_alpha_error_mean,oracle_alpha_error_mean,conditioned_fraction_of_marginalized_oracle_gap_mean,family_fraction_of_marginalized_oracle_gap_mean,family_minus_conditioned_oracle_gap_capture,family_vs_conditioned_alpha_ratio,marginalized_geometry_mae_mean,conditioned_geometry_mae_mean,family_geometry_mae_mean,oracle_geometry_mae_mean,family_winner_seed_rank_mean,family_non_top1_seed_fraction,family_score_improvement_over_seed_mean,family_delta_rho_mean,family_delta_t_mean,family_delta_h_mean,family_delta_alpha_mean
sparse_full_noisy,moderate,low_skew,4,0.11524663240825059,0.10732996574158396,0.10433781175566195,0.041515877680484176,0.1073726519672431,0.14795482146991318,0.040582169502670074,1.0286775612366592,0.08005844889982787,0.08005844889982787,0.08072005389670298,0.09914259202403179,1.75,0.5,9.166940570629024e-05,0.019875064110779665,0.17500000000000004,0.21000000000000002,0.0
sparse_full_noisy,moderate,mid_skew,4,0.11392311030164445,0.2246791769481836,0.20883521262628377,0.012302004728469373,-1.089892360665041,-0.933980217881956,0.15591214278308507,1.0758682605421195,0.05998434701420019,0.07760015597550991,0.06093751339446738,0.06258368496051694,2.5,1.0,5.347372580539886e-05,0.022789582679138772,0.21000000000000002,0.13997142307660132,0.0
sparse_full_noisy,moderate,high_skew,4,0.14403554181458234,0.13760344874883573,0.01721484355907721,0.03522867091127335,0.05911476924524803,1.1655578108500528,1.1064430416048048,7.9933023077795475,0.07961203329057799,0.07326839083430058,0.08630353966541578,0.06733595169988454,1.5,0.5,6.585157379662547e-05,0.021424028466431266,0.12355332320059051,0.15750000000000003,0.0
sparse_partial_high_noise,moderate,low_skew,4,0.2686980026784799,0.20105792822523863,0.24743334410100734,0.04523544835093299,0.3026908676345648,0.09515982953592855,-0.20753103809863627,0.8125741053847726,0.08643567876897525,0.08835281787723816,0.09947969455681033,0.046594112200048846,1.5,0.5,0.00010908260786215784,0.024299774167167665,0.09937928861209969,0.16036241612066027,0.0
sparse_partial_high_noise,moderate,mid_skew,4,0.2162996860639532,0.2021888771028087,0.2162996860639532,0.01398873813494736,0.06974812339911635,0.0,-0.06974812339911635,0.9347626932894745,0.11816371496410755,0.07652075071665171,0.10552734617781756,0.07065777467329412,1.0,0.0,1.682358199216183e-05,0.025260933726193435,0.08750000000000001,0.1925,0.0
sparse_partial_high_noise,moderate,high_skew,4,0.3177850735637151,0.11587860240189843,0.21244150333891196,0.0921054370569181,0.8946596790346021,0.4667836755472194,-0.4278760034873827,0.5454612238223295,0.12181727462597443,0.10925411350461331,0.11750641839337361,0.06976510012473888,2.0,0.75,3.0107593148324946e-05,0.030000000000000002,0.14,0.10500000000000001,0.014999999999999986
