condition,geometry_skew_bin,trial_in_cell,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_alpha,true_rotation_shift,marginalized_geometry_mae,marginalized_weight_mae,marginalized_alpha_error,marginalized_fit_rmse,conditioned_geometry_mae,conditioned_weight_mae,conditioned_alpha_error,conditioned_fit_rmse,conditioned_seed_rank,family_geometry_mae,family_weight_mae,family_alpha_error,family_fit_rmse,family_winner_seed_rank,family_switched_seed,family_score_improvement_over_seed,family_delta_rho,family_delta_t,family_delta_h,family_delta_alpha,oracle_geometry_mae,oracle_weight_mae,oracle_alpha_error,oracle_fit_rmse
sparse_full_noisy,low_skew,0,0.19797216095887704,-0.02429252745133885,0.7943702062496282,0.2121890011892885,0.6154926324151425,0.17231836639556897,0.8281148971377308,18,0.0521110514087731,0.11475645012778087,0.035986664974327454,0.027761200331500507,0.0521110514087731,0.11475645012778087,0.035986664974327454,0.027761200331500507,1,0.11142854990098522,0.034648877242275805,0.02146066672266289,0.012287132021904979,2,1,0.00010903004176053294,0.036000000000000004,0.21000000000000008,0.20999999999999996,0.0,0.16179376782146473,0.034648877242275805,0.02146066672266289,0.02153964965893668
sparse_full_noisy,low_skew,1,0.12324466927856427,0.017798300301169356,1.4216990824072344,0.46619321409883385,0.27336221717963305,0.2604445687215331,0.8594985190077352,4,0.12270416406933321,0.11148632363128713,0.03396212585724201,0.019672784111410654,0.12270416406933321,0.11148632363128713,0.03396212585724212,0.01967278411141071,1,0.12251132114471763,0.11148632363128713,0.03396212585724201,0.01912610414348389,1,0,7.663512243761064e-07,0.004302698451601028,0.07,0.20999999999999996,0.0,0.0716190610552824,0.12236019211740023,0.021953690323584296,0.014211326248369143
sparse_full_noisy,low_skew,2,0.09599715418860714,0.04671199788075486,1.0577866830180556,0.25379612134827606,0.23313033674444883,0.5130735419072752,1.1628828694876643,36,0.08902984208653325,0.3180805791895396,0.3258051202593627,0.016688718879222127,0.08902984208653325,0.3180805791895396,0.3258051202593626,0.016688718879222093,1,0.01839517249629331,0.3180805791895396,0.3258051202593627,0.016028591723757007,1,0,2.5500622011394997e-05,0.03599999999999999,0.21000000000000002,0.2100000000000002,0.0,0.10676880118470812,0.18444474211411901,0.05741653513361933,0.016279557699452222
sparse_full_noisy,low_skew,3,0.16619212528662025,0.04856223973500107,1.4284033439813442,0.5549812423905628,0.14475401497981855,0.30026474262961866,1.2603639110539575,51,0.05638873803467193,0.1372372483223067,0.06523261854207019,0.03395647985946089,0.05638873803467193,0.1372372483223067,0.03356595187540368,0.029287153304168076,1,0.07054517204481577,0.07730931659855263,0.03612333418338021,0.011771242761629714,3,1,0.0002313806078288569,0.0031975579915176355,0.21000000000000002,0.20999999999999996,0.0,0.05638873803467193,0.1372372483223067,0.06523261854207019,0.03395647985946089
sparse_full_noisy,mid_skew,0,0.11820640083552096,0.4053114757844846,1.4257613226585917,0.10367482562396527,0.27748049310071143,0.6188446812753233,1.2293728232604186,19,0.03959170687137766,0.2928646194766357,0.422677545425689,0.007146820690555044,0.03959170687137766,0.2928646194766357,0.422677545425689,0.007146820690555044,1,0.08466949316711218,0.0407726877661562,0.006814174259977879,0.003906077598214192,3,1,6.635771250809112e-05,0.0,0.21000000000000002,0.0,0.0,0.08765741928658861,0.0407726877661562,0.006814174259977879,0.005884812611090933
sparse_full_noisy,mid_skew,1,0.07786659705579345,0.29276956122274206,1.0404241299685968,0.5144430798698102,0.2317769876463827,0.25377993248380715,1.2600326448670152,18,0.04120412149765027,0.051451383120399014,0.008991556011394009,0.005659514133820073,0.10951800201560612,0.19776137357610465,0.47320546883719294,0.004978560597098714,2,0.0605934204974396,0.19776137357610465,0.4498721355038596,0.011687807259898554,2,1,3.7372516617040956e-05,0.023999999999999994,0.21000000000000002,0.14000000000000012,0.0,0.04120412149765027,0.051451383120399014,0.008991556011394009,0.005659514133820073
sparse_full_noisy,mid_skew,2,0.1262724069011724,0.29499331345660407,0.6769451759998923,0.04439034311501399,0.8310928954888652,0.12451676139612078,1.1359221827561117,12,0.0717799985481185,0.27557929884889193,0.003156990974174434,0.012346833595888543,0.07392935387540155,0.23851279899231223,0.0003667089918395483,0.006907930656954803,2,0.07584135872607185,0.26439722750837175,0.001279968657524222,0.005846695660001804,3,1,4.07423583189577e-05,0.031158330716555105,0.21000000000000002,0.2098856923064052,0.0,0.0655845934337011,0.06298166038261048,0.024099745670377093,0.010310667925403898
sparse_full_noisy,mid_skew,3,0.12944819575750105,-0.26409282047069704,1.1766575222317557,0.5209155468044023,0.1780585616333136,0.3010258915622841,0.8159978208068581,48,0.08736156113965432,0.18233219119718735,0.020866348795320344,0.018467831853101954,0.08736156113965432,0.18233219119718735,0.002466984538012862,0.015127665350672082,1,0.02264578118724588,0.05641517983537974,0.37737457208377334,0.01899094494209008,2,1,6.942231577750568e-05,0.03599999999999999,0.20999999999999996,0.20999999999999996,0.0,0.05588860562412776,0.07804062682837572,0.009302542972128514,0.010922972136673391
sparse_full_noisy,high_skew,0,0.14292325302174316,0.5642529042637765,1.2221747948219306,0.07756490448320984,0.4766243860495537,0.44581070946723644,1.2829845787767118,42,0.061226827311635985,0.12167770824509065,0.5089866283886242,0.01161287562860486,0.061226827311635985,0.12167770824509065,0.5089866283886242,0.01161287562860486,1,0.06210925158560345,0.07680872866741234,0.016288553158195773,0.004325510979749722,2,1,0.00010750632773445855,0.023999999999999994,0.0,0.20999999999999996,0.0,0.08763361101970413,0.1492389751392517,0.038827956264590346,0.026598040398729584
sparse_full_noisy,high_skew,1,0.16753549189243908,-0.6517225495163158,1.3312519659273878,0.1240748900343948,0.3302670716876591,0.5456580382779461,1.2258326128740453,16,0.05669745127470982,0.05444398273895745,0.044009432558947514,0.023895784239517305,0.05669745127470982,0.05444398273895745,0.012342765892281005,0.02035275361480749,1,0.08738928860642846,0.13182328030781623,0.02942471476735542,0.016409526545940863,2,1,8.243463478128476e-05,0.036000000000000004,0.074213292802362,0.20999999999999996,0.0,0.05669745127470982,0.05444398273895745,0.044009432558947514,0.023895784239517305
