e,alpha,a,c,b,raw_vertical_residue,whitened_vertical_residue,raw_major_tip_response,whitened_major_tip_response,max_equation_residual,rms_equation_residual
0.1,0.5,0.75,0.07500000000000001,0.746240577829965,1.98997487421324,0.99498743710662,0.25252525252525254,1.0101010101010102,4.440892098500626e-16,1.4720401825456283e-16
0.1,0.5,1.0,0.1,0.99498743710662,1.98997487421324,0.99498743710662,0.25252525252525254,1.0101010101010102,1.7763568394002505e-15,1.4845471208288412e-16
0.1,0.5,1.5,0.15000000000000002,1.49248115565993,1.98997487421324,0.99498743710662,0.25252525252525254,1.0101010101010102,4.440892098500626e-16,1.4720401825456283e-16
0.1,0.5,2.5,0.25,2.48746859276655,1.98997487421324,0.99498743710662,0.25252525252525254,1.0101010101010102,3.3306690738754696e-16,1.117967574086807e-16
0.1,0.5,4.0,0.4,3.97994974842648,1.98997487421324,0.99498743710662,0.25252525252525254,1.0101010101010102,1.7763568394002505e-15,1.4845471208288412e-16
0.1,0.75,0.75,0.07500000000000001,0.746240577829965,1.3266499161421599,0.99498743710662,0.5681818181818181,1.0101010101010102,4.440892098500626e-16,1.4762209355896038e-16
0.1,0.75,1.0,0.1,0.99498743710662,1.3266499161421599,0.99498743710662,0.5681818181818182,1.0101010101010102,1.7763568394002505e-15,1.777744076503049e-16
0.1,0.75,1.5,0.15000000000000002,1.49248115565993,1.3266499161421599,0.99498743710662,0.5681818181818181,1.0101010101010102,4.440892098500626e-16,1.4762209355896038e-16
0.1,0.75,2.5,0.25,2.48746859276655,1.3266499161421599,0.99498743710662,0.5681818181818182,1.0101010101010102,3.3306690738754696e-16,1.1957467920563633e-16
0.1,0.75,4.0,0.4,3.97994974842648,1.3266499161421599,0.99498743710662,0.5681818181818182,1.0101010101010102,1.7763568394002505e-15,1.777744076503049e-16
0.1,1.0,0.75,0.07500000000000001,0.746240577829965,0.99498743710662,0.99498743710662,1.0101010101010102,1.0101010101010102,4.440892098500626e-16,1.4720401825456283e-16
0.1,1.0,1.0,0.1,0.99498743710662,0.99498743710662,0.99498743710662,1.0101010101010102,1.0101010101010102,1.7763568394002505e-15,1.4845471208288412e-16
0.1,1.0,1.5,0.15000000000000002,1.49248115565993,0.99498743710662,0.99498743710662,1.0101010101010102,1.0101010101010102,4.440892098500626e-16,1.4720401825456283e-16
0.1,1.0,2.5,0.25,2.48746859276655,0.99498743710662,0.99498743710662,1.0101010101010102,1.0101010101010102,3.3306690738754696e-16,1.117967574086807e-16
0.1,1.0,4.0,0.4,3.97994974842648,0.99498743710662,0.99498743710662,1.0101010101010102,1.0101010101010102,1.7763568394002505e-15,1.4845471208288412e-16
0.1,1.5,0.75,0.07500000000000001,0.746240577829965,0.6633249580710799,0.99498743710662,2.2727272727272725,1.0101010101010102,4.440892098500626e-16,1.4762209355896038e-16
0.1,1.5,1.0,0.1,0.99498743710662,0.6633249580710799,0.99498743710662,2.272727272727273,1.0101010101010102,1.7763568394002505e-15,1.777744076503049e-16
0.1,1.5,1.5,0.15000000000000002,1.49248115565993,0.6633249580710799,0.99498743710662,2.2727272727272725,1.0101010101010102,4.440892098500626e-16,1.4762209355896038e-16
0.1,1.5,2.5,0.25,2.48746859276655,0.6633249580710799,0.99498743710662,2.272727272727273,1.0101010101010102,3.3306690738754696e-16,1.1957467920563633e-16
0.1,1.5,4.0,0.4,3.97994974842648,0.6633249580710799,0.99498743710662,2.272727272727273,1.0101010101010102,1.7763568394002505e-15,1.777744076503049e-16
0.1,2.0,0.75,0.07500000000000001,0.746240577829965,0.49749371855331,0.99498743710662,4.040404040404041,1.0101010101010102,4.440892098500626e-16,1.4720401825456283e-16
0.1,2.0,1.0,0.1,0.99498743710662,0.49749371855331,0.99498743710662,4.040404040404041,1.0101010101010102,1.7763568394002505e-15,1.4845471208288412e-16
0.1,2.0,1.5,0.15000000000000002,1.49248115565993,0.49749371855331,0.99498743710662,4.040404040404041,1.0101010101010102,4.440892098500626e-16,1.4720401825456283e-16
0.1,2.0,2.5,0.25,2.48746859276655,0.49749371855331,0.99498743710662,4.040404040404041,1.0101010101010102,3.3306690738754696e-16,1.117967574086807e-16
0.1,2.0,4.0,0.4,3.97994974842648,0.49749371855331,0.99498743710662,4.040404040404041,1.0101010101010102,1.7763568394002505e-15,1.4845471208288412e-16
0.15,0.5,0.75,0.11249999999999999,0.7415144974981945,1.9773719933285188,0.9886859966642594,0.2557544757033248,1.0230179028132993,8.881784197001252e-16,1.456043846448818e-16
0.15,0.5,1.0,0.15,0.9886859966642595,1.977371993328519,0.9886859966642595,0.25575447570332477,1.023017902813299,4.440892098500626e-16,1.631687946612622e-16
0.15,0.5,1.5,0.22499999999999998,1.483028994996389,1.9773719933285188,0.9886859966642594,0.2557544757033248,1.0230179028132993,8.881784197001252e-16,1.456043846448818e-16
0.15,0.5,2.5,0.375,2.4717149916606487,1.977371993328519,0.9886859966642595,0.25575447570332477,1.023017902813299,4.440892098500626e-16,1.5802651053194413e-16
0.15,0.5,4.0,0.6,3.954743986657038,1.977371993328519,0.9886859966642595,0.25575447570332477,1.023017902813299,4.440892098500626e-16,1.631687946612622e-16
0.15,0.75,0.75,0.11249999999999999,0.7415144974981945,1.3182479955523458,0.9886859966642594,0.5754475703324808,1.0230179028132993,8.881784197001252e-16,1.4753857327303356e-16
0.15,0.75,1.0,0.15,0.9886859966642595,1.318247995552346,0.9886859966642595,0.5754475703324807,1.023017902813299,5.551115123125783e-16,2.0070179364631477e-16
0.15,0.75,1.5,0.22499999999999998,1.483028994996389,1.3182479955523458,0.9886859966642594,0.5754475703324808,1.0230179028132993,8.881784197001252e-16,1.4753857327303356e-16
