split,condition,count,point_output_rate,alpha_point_recoverable_rate,gate_precision,trigger_fire_rate_open,mean_correction_flux_open,mean_triggered_alpha_output_abs_error_open,mean_triggered_alpha_bank_log_span_open,triggered_beats_anchored_rate_open,triggered_beats_best_rate_open
calibration,sparse_full_noisy,18,0.8333333333333334,0.6111111111111112,0.7333333333333333,0.2,0.05869606374306678,0.1270315122013664,0.1435161822257934,1.0,0.4
calibration,sparse_partial_high_noise,18,0.5555555555555556,0.3333333333333333,0.5,0.4,0.05313202672825802,0.12961944700094835,0.11538871653327858,1.0,0.7
holdout,sparse_full_noisy,9,0.7777777777777778,0.5555555555555556,0.7142857142857143,0.0,0.04346806583246865,0.13244500684985275,0.07302483393491989,1.0,0.2857142857142857
holdout,sparse_partial_high_noise,9,0.7777777777777778,0.2222222222222222,0.2857142857142857,0.14285714285714285,0.04593288805615927,0.18603600086149913,0.06840396011927023,1.0,0.8571428571428571
confirmation,sparse_full_noisy,9,0.8888888888888888,0.5555555555555556,0.625,0.0,0.041754769139960526,0.12304886792526126,0.07432196502977739,1.0,0.5
confirmation,sparse_partial_high_noise,9,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.07733698360923302,0.13049710611967724,0.09511679676168144,1.0,0.3333333333333333
