e,a,c,b,normalized_width,normalized_area,normalized_perimeter,normalized_major_tip_curvature,normalized_minor_tip_curvature,max_equation_residual,rms_equation_residual
0.05,0.75,0.037500000000000006,0.7490619133289317,0.998749217771909,0.998749217771909,0.9993747067256564,1.0025062656641606,0.998749217771909,4.440892098500626e-16,1.4812222630807096e-16
0.05,1.0,0.05,0.998749217771909,0.998749217771909,0.998749217771909,0.9993747067256564,1.0025062656641603,0.998749217771909,4.440892098500626e-16,1.2658490090568387e-16
0.05,1.5,0.07500000000000001,1.4981238266578634,0.998749217771909,0.998749217771909,0.9993747067256564,1.0025062656641606,0.998749217771909,4.440892098500626e-16,1.4812222630807096e-16
0.05,2.5,0.125,2.496873044429772,0.9987492177719088,0.9987492177719088,0.9993747067256563,1.0025062656641606,0.9987492177719088,4.440892098500626e-16,1.510066572755813e-16
0.05,4.0,0.2,3.994996871087636,0.998749217771909,0.998749217771909,0.9993747067256564,1.0025062656641603,0.998749217771909,4.440892098500626e-16,1.2658490090568387e-16
0.1,0.75,0.07500000000000001,0.746240577829965,0.99498743710662,0.99498743710662,0.9974952928612606,1.0101010101010102,0.99498743710662,4.440892098500626e-16,1.3350403019136626e-16
0.1,1.0,0.1,0.99498743710662,0.99498743710662,0.99498743710662,0.997495292861261,1.0101010101010102,0.99498743710662,1.7763568394002505e-15,1.3804318614747006e-16
0.1,1.5,0.15000000000000002,1.49248115565993,0.99498743710662,0.99498743710662,0.9974952928612606,1.0101010101010102,0.99498743710662,4.440892098500626e-16,1.3350403019136626e-16
0.1,2.5,0.25,2.48746859276655,0.99498743710662,0.99498743710662,0.9974952928612613,1.0101010101010102,0.99498743710662,3.3306690738754696e-16,1.1190695630917483e-16
0.1,4.0,0.4,3.97994974842648,0.99498743710662,0.99498743710662,0.997495292861261,1.0101010101010102,0.99498743710662,1.7763568394002505e-15,1.3804318614747006e-16
0.15,0.75,0.11249999999999999,0.7415144974981945,0.9886859966642594,0.9886859966642594,0.9943510442812296,1.0230179028132993,0.9886859966642594,1.1102230246251565e-15,1.533555207252136e-16
0.15,1.0,0.15,0.9886859966642595,0.9886859966642595,0.9886859966642595,0.9943510442812291,1.023017902813299,0.9886859966642595,4.440892098500626e-16,1.573229509680938e-16
0.15,1.5,0.22499999999999998,1.483028994996389,0.9886859966642594,0.9886859966642594,0.9943510442812296,1.0230179028132993,0.9886859966642594,1.1102230246251565e-15,1.533555207252136e-16
0.15,2.5,0.375,2.4717149916606487,0.9886859966642595,0.9886859966642595,0.9943510442812293,1.023017902813299,0.9886859966642595,4.440892098500626e-16,1.570877308749629e-16
0.15,4.0,0.6,3.954743986657038,0.9886859966642595,0.9886859966642595,0.9943510442812291,1.023017902813299,0.9886859966642595,4.440892098500626e-16,1.573229509680938e-16
0.2,0.75,0.15000000000000002,0.7348469228349535,0.9797958971132713,0.9797958971132713,0.9899237219476655,1.0416666666666665,0.9797958971132713,3.3306690738754696e-16,1.1494964185438747e-16
0.2,1.0,0.2,0.9797958971132712,0.9797958971132712,0.9797958971132712,0.9899237219476659,1.0416666666666667,0.9797958971132712,4.440892098500626e-16,1.1864331745841158e-16
0.2,1.5,0.30000000000000004,1.469693845669907,0.9797958971132713,0.9797958971132713,0.9899237219476655,1.0416666666666665,0.9797958971132713,3.3306690738754696e-16,1.1494964185438747e-16
0.2,2.5,0.5,2.449489742783178,0.9797958971132712,0.9797958971132712,0.9899237219476653,1.0416666666666667,0.9797958971132712,4.440892098500626e-16,1.6608877078071008e-16
0.2,4.0,0.8,3.919183588453085,0.9797958971132712,0.9797958971132712,0.9899237219476659,1.0416666666666667,0.9797958971132712,4.440892098500626e-16,1.1864331745841158e-16
