e,a1,a2,mean_collapse_error,max_collapse_error
0.05,0.75,1.0,1.5381492601410924e-10,3.973642985026043e-08
0.05,0.75,1.5,0.0,0.0
0.05,0.75,2.5,1.5381453284481974e-10,3.973642985026042e-08
0.05,0.75,4.0,1.5381492601410924e-10,3.973642985026043e-08
0.05,1.0,1.5,1.5381492601410924e-10,3.973642985026043e-08
0.05,1.0,2.5,2.0631317243919903e-15,1.511341428679589e-14
0.05,1.0,4.0,0.0,0.0
0.05,1.5,2.5,1.5381453284481974e-10,3.973642985026042e-08
0.05,1.5,4.0,1.5381492601410924e-10,3.973642985026043e-08
0.05,2.5,4.0,2.0631317243919903e-15,1.511341428679589e-14
0.1,0.75,1.0,1.5381386246790979e-10,3.973642985026043e-08
0.1,0.75,1.5,0.0,0.0
0.1,0.75,2.5,1.5381374488794639e-10,3.973642985026043e-08
0.1,0.75,4.0,1.5381386246790979e-10,3.973642985026043e-08
0.1,1.0,1.5,1.5381386246790979e-10,3.973642985026043e-08
0.1,1.0,2.5,9.871743155659746e-16,9.157867948288323e-15
0.1,1.0,4.0,0.0,0.0
0.1,1.5,2.5,1.5381374488794639e-10,3.973642985026043e-08
0.1,1.5,4.0,1.5381386246790979e-10,3.973642985026043e-08
0.1,2.5,4.0,9.871743155659746e-16,9.157867948288323e-15
0.15,0.75,1.0,8.771415565009133e-11,3.332000937312531e-08
0.15,0.75,1.5,0.0,0.0
0.15,0.75,2.5,5.765170287571636e-16,6.394046719601499e-15
0.15,0.75,4.0,8.771415565009133e-11,3.332000937312531e-08
0.15,1.0,1.5,8.771415565009133e-11,3.332000937312531e-08
0.15,1.0,2.5,8.771414663185369e-11,3.332000937312529e-08
0.15,1.0,4.0,0.0,0.0
0.15,1.5,2.5,5.765170287571636e-16,6.394046719601499e-15
0.15,1.5,4.0,8.771415565009133e-11,3.332000937312531e-08
0.15,2.5,4.0,8.771414663185369e-11,3.332000937312529e-08
0.2,0.75,1.0,5.900486583188575e-11,2.3560804576936215e-08
0.2,0.75,1.5,0.0,0.0
0.2,0.75,2.5,3.973689075820913e-11,1.9868214925130207e-08
0.2,0.75,4.0,5.900486583188575e-11,2.3560804576936215e-08
0.2,1.0,1.5,5.900486583188575e-11,2.3560804576936215e-08
0.2,1.0,2.5,9.874127578150979e-11,2.5809568279517847e-08
0.2,1.0,4.0,0.0,0.0
0.2,1.5,2.5,3.973689075820913e-11,1.9868214925130207e-08
0.2,1.5,4.0,5.900486583188575e-11,2.3560804576936215e-08
0.2,2.5,4.0,9.874127578150979e-11,2.5809568279517847e-08
0.25,0.75,1.0,4.53784347565365e-16,4.668302997739993e-15
0.25,0.75,1.5,0.0,0.0
0.25,0.75,2.5,3.7881867241049274e-16,3.0574313027560124e-15
0.25,0.75,4.0,4.53784347565365e-16,4.668302997739993e-15
0.25,1.0,1.5,4.53784347565365e-16,4.668302997739993e-15
0.25,1.0,2.5,4.044422588193771e-16,4.0351681652475706e-15
0.25,1.0,4.0,0.0,0.0
0.25,1.5,2.5,3.7881867241049274e-16,3.0574313027560124e-15
0.25,1.5,4.0,4.53784347565365e-16,4.668302997739993e-15
0.25,2.5,4.0,4.044422588193771e-16,4.0351681652475706e-15
0.3,0.75,1.0,3.7421532389999253e-16,4.0076062163376876e-15
0.3,0.75,1.5,0.0,0.0
0.3,0.75,2.5,3.223958993918448e-16,4.9302098571071864e-15
0.3,0.75,4.0,3.7421532389999253e-16,4.0076062163376876e-15
0.3,1.0,1.5,3.7421532389999253e-16,4.0076062163376876e-15
0.3,1.0,2.5,3.558051157823422e-16,4.131410670961176e-15
0.3,1.0,4.0,0.0,0.0
0.3,1.5,2.5,3.223958993918448e-16,4.9302098571071864e-15
0.3,1.5,4.0,3.7421532389999253e-16,4.0076062163376876e-15
0.3,2.5,4.0,3.558051157823422e-16,4.131410670961176e-15
0.35,0.75,1.0,3.179360308671502e-16,5.646059903994778e-15
0.35,0.75,1.5,0.0,0.0
0.35,0.75,2.5,2.76164598875095e-16,2.6990424254992213e-15
0.35,0.75,4.0,3.179360308671502e-16,5.646059903994778e-15
0.35,1.0,1.5,3.179360308671502e-16,5.646059903994778e-15
0.35,1.0,2.5,3.2665171859809323e-16,3.734130795427979e-15
0.35,1.0,4.0,0.0,0.0
0.35,1.5,2.5,2.76164598875095e-16,2.6990424254992213e-15
0.35,1.5,4.0,3.179360308671502e-16,5.646059903994778e-15
0.35,2.5,4.0,3.2665171859809323e-16,3.734130795427979e-15
0.4,0.75,1.0,9.104418366452522e-11,2.5809568279517847e-08
0.4,0.75,1.5,0.0,0.0
0.4,0.75,2.5,2.5812516667116726e-16,2.4925990452925283e-15
0.4,0.75,4.0,9.104418366452522e-11,2.5809568279517847e-08
0.4,1.0,1.5,9.104418366452522e-11,2.5809568279517847e-08
0.4,1.0,2.5,9.10441776756935e-11,2.5809568279517847e-08
0.4,1.0,4.0,0.0,0.0
0.4,1.5,2.5,2.5812516667116726e-16,2.4925990452925283e-15
0.4,1.5,4.0,9.104418366452522e-11,2.5809568279517847e-08
0.4,2.5,4.0,9.10441776756935e-11,2.5809568279517847e-08
0.45,0.75,1.0,7.229269393865839e-11,2.8097899007262697e-08
0.45,0.75,1.5,0.0,0.0
0.45,0.75,2.5,9.336610005543445e-11,2.8097899007262694e-08
0.45,0.75,4.0,7.229269393865839e-11,2.8097899007262697e-08
0.45,1.0,1.5,7.229269393865839e-11,2.8097899007262697e-08
0.45,1.0,2.5,2.1073669535726942e-11,1.0536712127723509e-08
0.45,1.0,4.0,0.0,0.0
0.45,1.5,2.5,9.336610005543445e-11,2.8097899007262694e-08
0.45,1.5,4.0,7.229269393865839e-11,2.8097899007262697e-08
0.45,2.5,4.0,2.1073669535726942e-11,1.0536712127723509e-08
0.5,0.75,1.0,2.8681999582243073e-16,3.650675994272797e-15
0.5,0.75,1.5,0.0,0.0
0.5,0.75,2.5,2.618624905993818e-16,2.3714374201337737e-15
0.5,0.75,4.0,2.8681999582243073e-16,3.650675994272797e-15
0.5,1.0,1.5,2.8681999582243073e-16,3.650675994272797e-15
0.5,1.0,2.5,2.431272754478824e-16,2.776112617575152e-15
0.5,1.0,4.0,0.0,0.0
0.5,1.5,2.5,2.618624905993818e-16,2.3714374201337737e-15
