condition,trial,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_rotation_shift,pred_rho,pred_t,pred_h,pred_w1,pred_w2,pred_w3,pred_rotation_shift,equal_pred_rho,equal_pred_t,equal_pred_h,equal_pred_rotation_shift,geometry_mae,weight_mae,weighted_fit_rmse,equal_weight_baseline_fit_rmse,weighted_fit_improvement_factor
full_clean,0,0.12404299613835927,0.6548448394158368,1.3701729460310121,0.4008171232372844,0.28851565587328465,0.310667220889431,31,0.1233224502069799,0.24309515713387714,1.1921560120834886,0.4396098941440175,0.30400103283528795,0.2563890730206945,0,0.12619265153670234,-0.2814036836620496,1.4372705542270698,7,0.018886146508999047,0.03618543191249096,0.0008220842977336101,0.0010248795637896634,1.2466842714489694
full_clean,1,0.0788117977746861,0.5445740923991096,1.2389380808462829,0.4976306583262181,0.36652497239062654,0.13584436928315535,8,0.09225124112319426,-0.4467186930624208,0.9686739205115714,0.22114566575195266,0.5252728765532894,0.25358145769475804,45,0.18185090666821893,0.5388443432866283,0.6793532307562775,35,0.01085402903957669,0.09691953775911594,0.001080002289250586,0.0037072968469888654,3.4326749895700317
full_clean,2,0.09310588112310218,0.4956311238608086,1.2078125459325237,0.10911716524804906,0.2295613382963992,0.6613214964555518,51,0.12650763329165376,0.48449379294983924,1.0568549486496746,0.10141484038625943,0.17948542721973598,0.7190997323940045,52,0.08952555648211018,-0.604482225595504,0.6392216083528522,40,0.04841239827433344,0.038518823958968496,0.00034684162678266507,0.0012034277696857238,3.469675139194885
full_clean,3,0.21152326456784507,-0.41760793610772157,1.3142087963445774,0.4507851936670862,0.36098313828141143,0.18823166805150243,28,0.16705331963546702,0.4402835828066992,1.3897293562251798,0.40187042291897146,0.11201705312486451,0.486112523956164,53,0.21472018130540177,0.6431500059987969,0.574662504364543,57,0.09261226731210305,0.19858723726977442,0.0017923227023408255,0.018017824288393183,10.052779147896404
full_clean,4,0.13685395222736896,-0.3886999108611995,1.4017496829233251,0.3984959471790758,0.3932514830989025,0.2082525697220216,33,0.07359569235119753,-0.31406043309395393,1.4194874034464686,0.7754075901648156,0.21320228708628558,0.011390122748898779,34,0.1079087074534189,0.485167250410328,0.9577494172273753,60,0.11581659785686448,0.2512744286571598,0.0014782031070008196,0.000793571611432054,0.5368488319863977
full_clean,5,0.15025804681807897,0.6561457551500105,0.7063490534682405,0.33614091580432426,0.22808310230443854,0.43577598189123723,13,0.17580279604404145,0.22812869895112844,0.6024002767122572,0.4263164099076426,0.15035394390255608,0.4233296461898013,13,0.21472018130540177,0.6431500059987969,0.574662504364543,15,0.04507770995516342,0.06011699606887891,0.0005006622110163139,0.0033466961135298506,6.684539076229181
full_clean,6,0.15915950280838456,-0.44943938855086346,0.7035371040038597,0.5352309820482898,0.106146057480681,0.3586229604710292,38,0.12100413766049252,-0.1576674836771944,1.347722891086223,0.585978838990194,0.20334985211594656,0.21067130889385946,39,0.18185090666821893,0.5388443432866283,0.6793532307562775,5,0.05596145866403234,0.09863443438477985,0.0008596498893904175,0.0031911563204307016,3.7121581236909926
full_clean,7,0.0710685206152578,0.07190672461988402,0.9881160172974828,0.19332465535972268,0.3226690000991888,0.48400634454108854,45,0.06041408058013985,0.626709075490201,1.1456637714562565,0.2100550535354474,0.5428935247429776,0.24705142172157502,4,0.08338726997404958,-0.5710957065371663,0.6058678452471691,37,0.02048367200277455,0.15796994854634236,0.0005870926033750943,0.0010526472273090803,1.7929832896166509
full_clean,8,0.14533851404351483,0.08989039580586408,0.5563741752509338,0.4268854543194042,0.03373245649957455,0.5393820891810212,36,0.1034474490424841,0.4130377954051476,0.6331771948985838,0.5975237191573983,0.245253037953687,0.15722324288891468,8,0.1733598633408338,0.6797689091620738,0.7770409460941102,37,0.05572304883364695,0.25477256419473765,0.000478967172749647,0.0030154013027216043,6.295632507361281
full_clean,9,0.10468074852697609,-0.1382530240389448,0.9039578286692862,0.21972395950424278,0.454955189600506,0.32532085089525115,59,0.07466689063142387,0.2829857682764112,1.155537330651714,0.051272076891878134,0.0920498584366197,0.8566780646715021,49,0.07453020749727052,0.2404751400300519,1.2739036163556194,56,0.03748531610344962,0.3542381425175007,0.001063733546411182,0.0008918900482712266,0.8384524971317113
