condition,alpha_strength_bin,geometry_skew_bin,count,support_gated_alpha_error_mean,joint_alpha_error_mean,policy_alpha_error_mean,oracle_two_alpha_error_mean,policy_choose_joint_fraction
sparse_full_noisy,moderate,low_skew,2,0.02771139628995245,0.04364971902541537,0.02771139628995245,0.02771139628995245,0.5
sparse_full_noisy,moderate,mid_skew,2,0.011275183085961094,0.011275183085961094,0.011275183085961094,0.011275183085961094,1.0
sparse_full_noisy,moderate,high_skew,2,0.33095182069390233,0.33017138247770267,0.33017138247770267,0.33017138247770267,1.0
sparse_partial_high_noise,moderate,low_skew,2,0.10427158560378452,0.1890384617435713,0.10427158560378452,0.03372114911132651,0.0
sparse_partial_high_noise,moderate,mid_skew,2,0.30577586452760586,0.30577586452760586,0.30577586452760586,0.30577586452760586,0.5
sparse_partial_high_noise,moderate,high_skew,2,0.24837870802242434,0.22127107711765037,0.059964320927081816,0.059964320927081816,0.5
