condition,support_gated_alpha_error_mean,joint_alpha_error_mean,policy_alpha_error_mean,oracle_two_alpha_error_mean,oracle_pose_alpha_error_mean,policy_choose_joint_fraction,joint_pose_entropy_mean
sparse_full_noisy,0.12331280002327195,0.1283654281963597,0.1230526539512054,0.1230526539512054,0.01747297893366469,0.8333333333333334,0.4908581597139814
sparse_partial_high_noise,0.21947538605127156,0.23869513446294252,0.15667059035282407,0.13315377818867138,0.034840472094735585,0.3333333333333333,0.7013004526724199
